year,week,loc,state,country,loc_type,number,event
1919,2,NORWICH,CT,US,CITY,1,CASES
1919,3,NORWICH,CT,US,CITY,1,CASES
1919,6,NORWICH,CT,US,CITY,1,CASES
1919,8,NORWICH,CT,US,CITY,2,CASES
1919,11,NORWICH,CT,US,CITY,1,CASES
1919,15,NORWICH,CT,US,CITY,1,CASES
1919,17,NORWICH,CT,US,CITY,1,CASES
1919,21,NORWICH,CT,US,CITY,2,CASES
1919,23,NORWICH,CT,US,CITY,1,CASES
1919,29,NORWICH,CT,US,CITY,1,CASES
1919,33,NORWICH,CT,US,CITY,1,CASES
1919,53,NORWICH,CT,US,CITY,1,CASES
1920,11,NORWICH,CT,US,CITY,2,CASES
1920,14,NORWICH,CT,US,CITY,1,CASES
1920,15,NORWICH,CT,US,CITY,2,CASES
1920,16,NORWICH,CT,US,CITY,1,CASES
1920,17,NORWICH,CT,US,CITY,1,CASES
1920,18,NORWICH,CT,US,CITY,6,CASES
1920,20,NORWICH,CT,US,CITY,1,CASES
1920,39,NORWICH,CT,US,CITY,1,CASES
1920,40,NORWICH,CT,US,CITY,1,CASES
1920,46,NORWICH,CT,US,CITY,1,CASES
1920,49,NORWICH,CT,US,CITY,1,CASES
1920,50,NORWICH,CT,US,CITY,4,CASES
1920,51,NORWICH,CT,US,CITY,1,CASES
1920,52,NORWICH,CT,US,CITY,4,CASES
1921,1,NORWICH,CT,US,CITY,3,CASES
1921,2,NORWICH,CT,US,CITY,1,CASES
1921,3,NORWICH,CT,US,CITY,1,CASES
1921,6,NORWICH,CT,US,CITY,1,CASES
1921,16,NORWICH,CT,US,CITY,1,CASES
1921,17,NORWICH,CT,US,CITY,1,CASES
1921,18,NORWICH,CT,US,CITY,1,CASES
1921,21,NORWICH,CT,US,CITY,1,CASES
1921,34,NORWICH,CT,US,CITY,4,CASES
1921,37,NORWICH,CT,US,CITY,1,CASES
1921,42,NORWICH,CT,US,CITY,3,CASES
1921,44,NORWICH,CT,US,CITY,1,CASES
1921,45,NORWICH,CT,US,CITY,1,CASES
1921,46,NORWICH,CT,US,CITY,4,CASES
1921,47,NORWICH,CT,US,CITY,3,CASES
1921,50,NORWICH,CT,US,CITY,1,CASES
1921,51,NORWICH,CT,US,CITY,2,CASES
1922,4,NORWICH,CT,US,CITY,1,CASES
1922,5,NORWICH,CT,US,CITY,5,CASES
1922,6,NORWICH,CT,US,CITY,3,CASES
1922,8,NORWICH,CT,US,CITY,1,CASES
1922,16,NORWICH,CT,US,CITY,1,CASES
1922,40,NORWICH,CT,US,CITY,1,CASES
1922,45,NORWICH,CT,US,CITY,1,CASES
1923,4,NORWICH,CT,US,CITY,1,CASES
1923,20,NORWICH,CT,US,CITY,1,CASES
1923,27,NORWICH,CT,US,CITY,1,CASES
1923,48,NORWICH,CT,US,CITY,2,CASES
