year,week,loc,state,country,loc_type,number,event
1918,5,OAK PARK,IL,US,CITY,1,CASES
1918,6,OAK PARK,IL,US,CITY,4,CASES
1918,8,OAK PARK,IL,US,CITY,3,CASES
1918,9,OAK PARK,IL,US,CITY,2,CASES
1918,10,OAK PARK,IL,US,CITY,3,CASES
1918,11,OAK PARK,IL,US,CITY,3,CASES
1918,15,OAK PARK,IL,US,CITY,1,CASES
1918,16,OAK PARK,IL,US,CITY,1,CASES
1918,17,OAK PARK,IL,US,CITY,1,CASES
1918,18,OAK PARK,IL,US,CITY,6,CASES
1918,20,OAK PARK,IL,US,CITY,1,CASES
1918,21,OAK PARK,IL,US,CITY,1,CASES
1918,25,OAK PARK,IL,US,CITY,2,CASES
1918,36,OAK PARK,IL,US,CITY,2,CASES
1918,43,OAK PARK,IL,US,CITY,2,CASES
1918,44,OAK PARK,IL,US,CITY,1,CASES
1918,45,OAK PARK,IL,US,CITY,1,CASES
1918,48,OAK PARK,IL,US,CITY,1,CASES
1919,1,OAK PARK,IL,US,CITY,1,CASES
1919,2,OAK PARK,IL,US,CITY,1,CASES
1919,3,OAK PARK,IL,US,CITY,1,CASES
1919,7,OAK PARK,IL,US,CITY,1,CASES
1919,11,OAK PARK,IL,US,CITY,1,CASES
1919,13,OAK PARK,IL,US,CITY,2,CASES
1919,14,OAK PARK,IL,US,CITY,2,CASES
1919,15,OAK PARK,IL,US,CITY,2,CASES
1919,17,OAK PARK,IL,US,CITY,4,CASES
1919,18,OAK PARK,IL,US,CITY,1,CASES
1919,19,OAK PARK,IL,US,CITY,2,CASES
1919,20,OAK PARK,IL,US,CITY,1,CASES
1919,23,OAK PARK,IL,US,CITY,1,CASES
1919,27,OAK PARK,IL,US,CITY,1,CASES
1919,28,OAK PARK,IL,US,CITY,1,CASES
1919,31,OAK PARK,IL,US,CITY,1,CASES
1919,41,OAK PARK,IL,US,CITY,1,CASES
1919,42,OAK PARK,IL,US,CITY,3,CASES
1919,43,OAK PARK,IL,US,CITY,3,CASES
1919,44,OAK PARK,IL,US,CITY,4,CASES
1919,47,OAK PARK,IL,US,CITY,3,CASES
1919,48,OAK PARK,IL,US,CITY,1,CASES
1919,49,OAK PARK,IL,US,CITY,3,CASES
1919,50,OAK PARK,IL,US,CITY,9,CASES
1919,51,OAK PARK,IL,US,CITY,7,CASES
1919,52,OAK PARK,IL,US,CITY,8,CASES
1919,53,OAK PARK,IL,US,CITY,7,CASES
1920,1,OAK PARK,IL,US,CITY,7,CASES
1920,2,OAK PARK,IL,US,CITY,2,CASES
1920,3,OAK PARK,IL,US,CITY,5,CASES
1920,5,OAK PARK,IL,US,CITY,4,CASES
1920,6,OAK PARK,IL,US,CITY,7,CASES
1920,7,OAK PARK,IL,US,CITY,6,CASES
1920,8,OAK PARK,IL,US,CITY,9,CASES
1920,9,OAK PARK,IL,US,CITY,1,CASES
1920,10,OAK PARK,IL,US,CITY,7,CASES
1920,11,OAK PARK,IL,US,CITY,8,CASES
1920,12,OAK PARK,IL,US,CITY,9,CASES
1920,13,OAK PARK,IL,US,CITY,9,CASES
1920,14,OAK PARK,IL,US,CITY,5,CASES
1920,15,OAK PARK,IL,US,CITY,3,CASES
1920,17,OAK PARK,IL,US,CITY,5,CASES
1920,18,OAK PARK,IL,US,CITY,3,CASES
1920,19,OAK PARK,IL,US,CITY,3,CASES
1920,20,OAK PARK,IL,US,CITY,12,CASES
1920,21,OAK PARK,IL,US,CITY,2,CASES
1920,22,OAK PARK,IL,US,CITY,9,CASES
1920,24,OAK PARK,IL,US,CITY,8,CASES
1920,26,OAK PARK,IL,US,CITY,1,CASES
1920,27,OAK PARK,IL,US,CITY,1,CASES
1920,29,OAK PARK,IL,US,CITY,2,CASES
1920,32,OAK PARK,IL,US,CITY,1,CASES
1920,33,OAK PARK,IL,US,CITY,5,CASES
1920,35,OAK PARK,IL,US,CITY,4,CASES
1920,37,OAK PARK,IL,US,CITY,1,CASES
1920,40,OAK PARK,IL,US,CITY,2,CASES
1920,41,OAK PARK,IL,US,CITY,2,CASES
1920,42,OAK PARK,IL,US,CITY,1,CASES
1920,44,OAK PARK,IL,US,CITY,3,CASES
1920,45,OAK PARK,IL,US,CITY,5,CASES
1920,46,OAK PARK,IL,US,CITY,8,CASES
1920,47,OAK PARK,IL,US,CITY,11,CASES
1920,48,OAK PARK,IL,US,CITY,23,CASES
1920,50,OAK PARK,IL,US,CITY,8,CASES
1920,51,OAK PARK,IL,US,CITY,20,CASES
1921,1,OAK PARK,IL,US,CITY,10,CASES
1921,2,OAK PARK,IL,US,CITY,10,CASES
1921,3,OAK PARK,IL,US,CITY,17,CASES
1921,4,OAK PARK,IL,US,CITY,4,CASES
1921,5,OAK PARK,IL,US,CITY,4,CASES
1921,6,OAK PARK,IL,US,CITY,7,CASES
1921,7,OAK PARK,IL,US,CITY,12,CASES
1921,8,OAK PARK,IL,US,CITY,5,CASES
1921,9,OAK PARK,IL,US,CITY,12,CASES
1921,11,OAK PARK,IL,US,CITY,3,CASES
1921,12,OAK PARK,IL,US,CITY,5,CASES
1921,13,OAK PARK,IL,US,CITY,1,CASES
1921,14,OAK PARK,IL,US,CITY,5,CASES
1921,15,OAK PARK,IL,US,CITY,3,CASES
1921,16,OAK PARK,IL,US,CITY,6,CASES
1921,19,OAK PARK,IL,US,CITY,5,CASES
1921,20,OAK PARK,IL,US,CITY,4,CASES
1921,21,OAK PARK,IL,US,CITY,4,CASES
1921,22,OAK PARK,IL,US,CITY,4,CASES
1921,23,OAK PARK,IL,US,CITY,1,CASES
1921,24,OAK PARK,IL,US,CITY,2,CASES
1921,35,OAK PARK,IL,US,CITY,1,CASES
1921,39,OAK PARK,IL,US,CITY,1,CASES
1921,40,OAK PARK,IL,US,CITY,2,CASES
1921,42,OAK PARK,IL,US,CITY,1,CASES
1921,44,OAK PARK,IL,US,CITY,1,CASES
1921,45,OAK PARK,IL,US,CITY,1,CASES
1921,46,OAK PARK,IL,US,CITY,1,CASES
1921,48,OAK PARK,IL,US,CITY,2,CASES
1921,49,OAK PARK,IL,US,CITY,3,CASES
1921,50,OAK PARK,IL,US,CITY,1,CASES
1921,51,OAK PARK,IL,US,CITY,2,CASES
1921,52,OAK PARK,IL,US,CITY,4,CASES
1922,1,OAK PARK,IL,US,CITY,2,CASES
1922,2,OAK PARK,IL,US,CITY,6,CASES
1922,3,OAK PARK,IL,US,CITY,3,CASES
1922,4,OAK PARK,IL,US,CITY,4,CASES
1922,5,OAK PARK,IL,US,CITY,6,CASES
1922,6,OAK PARK,IL,US,CITY,6,CASES
1922,7,OAK PARK,IL,US,CITY,2,CASES
1922,8,OAK PARK,IL,US,CITY,1,CASES
1922,10,OAK PARK,IL,US,CITY,4,CASES
