year,week,loc,state,country,loc_type,number,event
1918,5,OAK PARK,IL,US,CITY,1,CASES
1918,11,OAK PARK,IL,US,CITY,1,CASES
1919,11,OAK PARK,IL,US,CITY,2,CASES
1919,13,OAK PARK,IL,US,CITY,1,CASES
1919,27,OAK PARK,IL,US,CITY,2,CASES
1920,2,OAK PARK,IL,US,CITY,1,CASES
1920,8,OAK PARK,IL,US,CITY,1,CASES
1920,33,OAK PARK,IL,US,CITY,1,CASES
1920,45,OAK PARK,IL,US,CITY,1,CASES
1920,47,OAK PARK,IL,US,CITY,2,CASES
1920,48,OAK PARK,IL,US,CITY,1,CASES
1920,50,OAK PARK,IL,US,CITY,7,CASES
1920,51,OAK PARK,IL,US,CITY,5,CASES
1921,1,OAK PARK,IL,US,CITY,2,CASES
1921,3,OAK PARK,IL,US,CITY,3,CASES
1921,4,OAK PARK,IL,US,CITY,1,CASES
1921,5,OAK PARK,IL,US,CITY,1,CASES
1921,6,OAK PARK,IL,US,CITY,1,CASES
1921,16,OAK PARK,IL,US,CITY,1,CASES
1923,20,OAK PARK,IL,US,CITY,1,CASES
1923,23,OAK PARK,IL,US,CITY,3,CASES
