year,week,loc,state,country,loc_type,number,event
1918,40,ORANGE,CT,US,CITY,1,CASES
1919,6,ORANGE,CT,US,CITY,1,CASES
1919,17,ORANGE,CT,US,CITY,3,CASES
1919,20,ORANGE,CT,US,CITY,3,CASES
1919,23,ORANGE,CT,US,CITY,2,CASES
1919,38,ORANGE,CT,US,CITY,2,CASES
1919,44,ORANGE,CT,US,CITY,1,CASES
1919,47,ORANGE,CT,US,CITY,1,CASES
1919,51,ORANGE,CT,US,CITY,1,CASES
1920,1,ORANGE,CT,US,CITY,3,CASES
1920,3,ORANGE,CT,US,CITY,1,CASES
1920,5,ORANGE,CT,US,CITY,1,CASES
1920,8,ORANGE,CT,US,CITY,1,CASES
1920,11,ORANGE,CT,US,CITY,2,CASES
1920,14,ORANGE,CT,US,CITY,1,CASES
1920,15,ORANGE,CT,US,CITY,3,CASES
1920,24,ORANGE,CT,US,CITY,1,CASES
1920,43,ORANGE,CT,US,CITY,2,CASES
1923,1,ORANGE,CT,US,CITY,1,CASES
1923,7,ORANGE,CT,US,CITY,1,CASES
