year,week,loc,state,country,loc_type,number,event
1916,27,OSHKOSH,WI,US,CITY,1,CASES
1918,12,OSHKOSH,WI,US,CITY,2,CASES
1918,16,OSHKOSH,WI,US,CITY,2,CASES
1918,17,OSHKOSH,WI,US,CITY,2,CASES
1918,19,OSHKOSH,WI,US,CITY,1,CASES
1918,22,OSHKOSH,WI,US,CITY,1,CASES
1918,24,OSHKOSH,WI,US,CITY,1,CASES
1918,25,OSHKOSH,WI,US,CITY,1,CASES
1918,29,OSHKOSH,WI,US,CITY,2,CASES
1918,33,OSHKOSH,WI,US,CITY,1,CASES
1918,39,OSHKOSH,WI,US,CITY,1,CASES
1918,42,OSHKOSH,WI,US,CITY,1,CASES
1918,50,OSHKOSH,WI,US,CITY,6,CASES
1918,52,OSHKOSH,WI,US,CITY,2,CASES
1919,1,OSHKOSH,WI,US,CITY,1,CASES
1919,2,OSHKOSH,WI,US,CITY,4,CASES
1919,3,OSHKOSH,WI,US,CITY,1,CASES
1919,11,OSHKOSH,WI,US,CITY,7,CASES
1919,13,OSHKOSH,WI,US,CITY,3,CASES
1919,14,OSHKOSH,WI,US,CITY,12,CASES
1919,15,OSHKOSH,WI,US,CITY,3,CASES
1919,16,OSHKOSH,WI,US,CITY,9,CASES
1919,17,OSHKOSH,WI,US,CITY,12,CASES
1919,19,OSHKOSH,WI,US,CITY,11,CASES
1919,20,OSHKOSH,WI,US,CITY,15,CASES
1919,22,OSHKOSH,WI,US,CITY,13,CASES
1919,24,OSHKOSH,WI,US,CITY,5,CASES
1919,25,OSHKOSH,WI,US,CITY,7,CASES
1919,26,OSHKOSH,WI,US,CITY,2,CASES
1919,27,OSHKOSH,WI,US,CITY,3,CASES
1919,28,OSHKOSH,WI,US,CITY,2,CASES
1919,29,OSHKOSH,WI,US,CITY,3,CASES
1919,31,OSHKOSH,WI,US,CITY,2,CASES
1919,32,OSHKOSH,WI,US,CITY,1,CASES
1919,33,OSHKOSH,WI,US,CITY,1,CASES
1919,34,OSHKOSH,WI,US,CITY,2,CASES
1919,35,OSHKOSH,WI,US,CITY,1,CASES
1919,39,OSHKOSH,WI,US,CITY,1,CASES
1919,41,OSHKOSH,WI,US,CITY,1,CASES
1919,42,OSHKOSH,WI,US,CITY,1,CASES
1919,44,OSHKOSH,WI,US,CITY,2,CASES
1919,46,OSHKOSH,WI,US,CITY,1,CASES
1919,47,OSHKOSH,WI,US,CITY,1,CASES
1919,48,OSHKOSH,WI,US,CITY,2,CASES
1919,49,OSHKOSH,WI,US,CITY,2,CASES
1919,50,OSHKOSH,WI,US,CITY,1,CASES
