year,week,loc,state,country,loc_type,number,event
1922,2,OWENSBORO,KY,US,CITY,1,CASES
1922,4,OWENSBORO,KY,US,CITY,1,CASES
1922,14,OWENSBORO,KY,US,CITY,2,CASES
1922,18,OWENSBORO,KY,US,CITY,1,CASES
1922,20,OWENSBORO,KY,US,CITY,5,CASES
1922,22,OWENSBORO,KY,US,CITY,1,CASES
1922,23,OWENSBORO,KY,US,CITY,2,CASES
1922,28,OWENSBORO,KY,US,CITY,1,CASES
1922,35,OWENSBORO,KY,US,CITY,1,CASES
1923,9,OWENSBORO,KY,US,CITY,3,CASES
1923,10,OWENSBORO,KY,US,CITY,6,CASES
1923,11,OWENSBORO,KY,US,CITY,3,CASES
1923,12,OWENSBORO,KY,US,CITY,5,CASES
1923,14,OWENSBORO,KY,US,CITY,15,CASES
1923,15,OWENSBORO,KY,US,CITY,1,CASES
1923,16,OWENSBORO,KY,US,CITY,1,CASES
1923,18,OWENSBORO,KY,US,CITY,1,CASES
1923,41,OWENSBORO,KY,US,CITY,1,CASES
