year,week,loc,state,country,loc_type,number,event
1907,15,PALMER,MA,US,CITY,1,CASES
1907,40,PALMER,MA,US,CITY,1,CASES
1907,45,PALMER,MA,US,CITY,1,CASES
1907,49,PALMER,MA,US,CITY,1,CASES
1907,50,PALMER,MA,US,CITY,1,CASES
1907,52,PALMER,MA,US,CITY,1,CASES
1908,3,PALMER,MA,US,CITY,4,CASES
1908,6,PALMER,MA,US,CITY,1,CASES
1908,8,PALMER,MA,US,CITY,2,CASES
1908,10,PALMER,MA,US,CITY,3,CASES
1908,11,PALMER,MA,US,CITY,4,CASES
1908,13,PALMER,MA,US,CITY,2,CASES
1908,14,PALMER,MA,US,CITY,3,CASES
1908,16,PALMER,MA,US,CITY,2,CASES
1908,18,PALMER,MA,US,CITY,2,CASES
1908,21,PALMER,MA,US,CITY,1,CASES
1908,22,PALMER,MA,US,CITY,1,CASES
1908,26,PALMER,MA,US,CITY,1,CASES
1908,31,PALMER,MA,US,CITY,1,CASES
1909,8,PALMER,MA,US,CITY,1,CASES
1909,15,PALMER,MA,US,CITY,1,CASES
1909,18,PALMER,MA,US,CITY,7,CASES
1909,19,PALMER,MA,US,CITY,1,CASES
1909,20,PALMER,MA,US,CITY,2,CASES
1909,21,PALMER,MA,US,CITY,3,CASES
1909,22,PALMER,MA,US,CITY,2,CASES
1909,23,PALMER,MA,US,CITY,1,CASES
1910,4,PALMER,MA,US,CITY,1,CASES
1910,6,PALMER,MA,US,CITY,1,CASES
1910,7,PALMER,MA,US,CITY,3,CASES
1910,8,PALMER,MA,US,CITY,3,CASES
1910,9,PALMER,MA,US,CITY,3,CASES
1910,10,PALMER,MA,US,CITY,2,CASES
1910,11,PALMER,MA,US,CITY,5,CASES
1910,13,PALMER,MA,US,CITY,3,CASES
1910,14,PALMER,MA,US,CITY,1,CASES
1910,16,PALMER,MA,US,CITY,2,CASES
1910,22,PALMER,MA,US,CITY,1,CASES
1910,23,PALMER,MA,US,CITY,1,CASES
1910,50,PALMER,MA,US,CITY,1,CASES
1913,26,PALMER,MA,US,CITY,2,CASES
1913,29,PALMER,MA,US,CITY,2,CASES
