year,week,loc,state,country,loc_type,number,event
1920,3,PARSONS,KS,US,CITY,14,CASES
1920,4,PARSONS,KS,US,CITY,32,CASES
1920,5,PARSONS,KS,US,CITY,113,CASES
1920,6,PARSONS,KS,US,CITY,114,CASES
1920,8,PARSONS,KS,US,CITY,5,CASES
1920,10,PARSONS,KS,US,CITY,1,CASES
1920,11,PARSONS,KS,US,CITY,2,CASES
1920,14,PARSONS,KS,US,CITY,1,CASES
1920,37,PARSONS,KS,US,CITY,1,CASES
1920,43,PARSONS,KS,US,CITY,1,CASES
1920,44,PARSONS,KS,US,CITY,1,CASES
1920,45,PARSONS,KS,US,CITY,3,CASES
1920,46,PARSONS,KS,US,CITY,1,CASES
1920,47,PARSONS,KS,US,CITY,4,CASES
1921,3,PARSONS,KS,US,CITY,1,CASES
1921,6,PARSONS,KS,US,CITY,1,CASES
1921,52,PARSONS,KS,US,CITY,1,CASES
1922,9,PARSONS,KS,US,CITY,1,CASES
1922,10,PARSONS,KS,US,CITY,1,CASES
1923,8,PARSONS,KS,US,CITY,32,CASES
1923,10,PARSONS,KS,US,CITY,2,CASES
1923,11,PARSONS,KS,US,CITY,2,CASES
