year,week,loc,state,country,loc_type,number,event
1909,5,PASSAIC,NJ,US,CITY,3,CASES
1909,8,PASSAIC,NJ,US,CITY,4,CASES
1909,10,PASSAIC,NJ,US,CITY,1,CASES
1909,7,PASSAIC,NJ,US,CITY,12,CASES
1909,9,PASSAIC,NJ,US,CITY,7,CASES
1909,12,PASSAIC,NJ,US,CITY,5,CASES
1909,11,PASSAIC,NJ,US,CITY,7,CASES
1909,14,PASSAIC,NJ,US,CITY,9,CASES
1909,15,PASSAIC,NJ,US,CITY,15,CASES
1909,16,PASSAIC,NJ,US,CITY,15,CASES
1911,4,PASSAIC,NJ,US,CITY,8,CASES
1911,5,PASSAIC,NJ,US,CITY,12,CASES
1911,6,PASSAIC,NJ,US,CITY,7,CASES
1911,7,PASSAIC,NJ,US,CITY,3,CASES
1911,8,PASSAIC,NJ,US,CITY,15,CASES
1911,11,PASSAIC,NJ,US,CITY,10,CASES
1911,14,PASSAIC,NJ,US,CITY,9,CASES
1911,15,PASSAIC,NJ,US,CITY,10,CASES
1911,17,PASSAIC,NJ,US,CITY,4,CASES
1911,18,PASSAIC,NJ,US,CITY,8,CASES
1911,19,PASSAIC,NJ,US,CITY,19,CASES
1911,20,PASSAIC,NJ,US,CITY,14,CASES
1911,21,PASSAIC,NJ,US,CITY,15,CASES
1911,22,PASSAIC,NJ,US,CITY,5,CASES
1911,23,PASSAIC,NJ,US,CITY,4,CASES
1911,24,PASSAIC,NJ,US,CITY,10,CASES
1911,25,PASSAIC,NJ,US,CITY,4,CASES
1911,26,PASSAIC,NJ,US,CITY,5,CASES
1911,30,PASSAIC,NJ,US,CITY,1,CASES
1911,34,PASSAIC,NJ,US,CITY,3,CASES
1911,36,PASSAIC,NJ,US,CITY,1,CASES
1911,40,PASSAIC,NJ,US,CITY,2,CASES
1911,43,PASSAIC,NJ,US,CITY,1,CASES
1911,47,PASSAIC,NJ,US,CITY,1,CASES
1911,48,PASSAIC,NJ,US,CITY,1,CASES
1911,49,PASSAIC,NJ,US,CITY,2,CASES
1911,50,PASSAIC,NJ,US,CITY,1,CASES
1912,1,PASSAIC,NJ,US,CITY,3,CASES
1912,2,PASSAIC,NJ,US,CITY,1,CASES
1912,3,PASSAIC,NJ,US,CITY,3,CASES
1912,4,PASSAIC,NJ,US,CITY,3,CASES
1912,6,PASSAIC,NJ,US,CITY,2,CASES
1912,7,PASSAIC,NJ,US,CITY,3,CASES
1912,8,PASSAIC,NJ,US,CITY,4,CASES
1912,10,PASSAIC,NJ,US,CITY,9,CASES
1912,11,PASSAIC,NJ,US,CITY,9,CASES
1912,12,PASSAIC,NJ,US,CITY,23,CASES
1912,13,PASSAIC,NJ,US,CITY,22,CASES
1912,14,PASSAIC,NJ,US,CITY,34,CASES
1912,15,PASSAIC,NJ,US,CITY,37,CASES
1912,16,PASSAIC,NJ,US,CITY,27,CASES
1912,17,PASSAIC,NJ,US,CITY,59,CASES
1912,18,PASSAIC,NJ,US,CITY,49,CASES
1912,20,PASSAIC,NJ,US,CITY,26,CASES
1912,21,PASSAIC,NJ,US,CITY,36,CASES
1912,22,PASSAIC,NJ,US,CITY,16,CASES
1912,23,PASSAIC,NJ,US,CITY,56,CASES
1912,26,PASSAIC,NJ,US,CITY,9,CASES
1912,27,PASSAIC,NJ,US,CITY,7,CASES
1912,28,PASSAIC,NJ,US,CITY,5,CASES
1912,29,PASSAIC,NJ,US,CITY,17,CASES
1912,30,PASSAIC,NJ,US,CITY,5,CASES
1912,31,PASSAIC,NJ,US,CITY,10,CASES
1912,32,PASSAIC,NJ,US,CITY,14,CASES
1912,35,PASSAIC,NJ,US,CITY,1,CASES
1912,36,PASSAIC,NJ,US,CITY,8,CASES
1912,37,PASSAIC,NJ,US,CITY,8,CASES
1912,38,PASSAIC,NJ,US,CITY,8,CASES
1912,39,PASSAIC,NJ,US,CITY,6,CASES
1912,40,PASSAIC,NJ,US,CITY,2,CASES
1912,41,PASSAIC,NJ,US,CITY,3,CASES
1912,42,PASSAIC,NJ,US,CITY,3,CASES
1912,43,PASSAIC,NJ,US,CITY,7,CASES
1912,44,PASSAIC,NJ,US,CITY,4,CASES
1912,45,PASSAIC,NJ,US,CITY,8,CASES
1912,46,PASSAIC,NJ,US,CITY,8,CASES
1912,47,PASSAIC,NJ,US,CITY,6,CASES
1912,48,PASSAIC,NJ,US,CITY,2,CASES
1912,50,PASSAIC,NJ,US,CITY,6,CASES
1912,51,PASSAIC,NJ,US,CITY,4,CASES
1912,52,PASSAIC,NJ,US,CITY,2,CASES
1913,1,PASSAIC,NJ,US,CITY,5,CASES
1913,3,PASSAIC,NJ,US,CITY,8,CASES
1913,4,PASSAIC,NJ,US,CITY,5,CASES
1913,5,PASSAIC,NJ,US,CITY,2,CASES
1913,6,PASSAIC,NJ,US,CITY,5,CASES
1913,7,PASSAIC,NJ,US,CITY,2,CASES
1913,8,PASSAIC,NJ,US,CITY,5,CASES
1913,9,PASSAIC,NJ,US,CITY,8,CASES
1913,10,PASSAIC,NJ,US,CITY,7,CASES
1913,11,PASSAIC,NJ,US,CITY,9,CASES
1913,12,PASSAIC,NJ,US,CITY,5,CASES
1913,13,PASSAIC,NJ,US,CITY,3,CASES
1913,14,PASSAIC,NJ,US,CITY,7,CASES
1913,15,PASSAIC,NJ,US,CITY,1,CASES
1913,16,PASSAIC,NJ,US,CITY,2,CASES
1913,17,PASSAIC,NJ,US,CITY,2,CASES
1913,18,PASSAIC,NJ,US,CITY,4,CASES
1913,19,PASSAIC,NJ,US,CITY,5,CASES
1913,20,PASSAIC,NJ,US,CITY,7,CASES
1913,21,PASSAIC,NJ,US,CITY,6,CASES
1913,22,PASSAIC,NJ,US,CITY,9,CASES
1913,23,PASSAIC,NJ,US,CITY,19,CASES
1913,24,PASSAIC,NJ,US,CITY,19,CASES
1913,25,PASSAIC,NJ,US,CITY,16,CASES
1913,26,PASSAIC,NJ,US,CITY,14,CASES
1913,27,PASSAIC,NJ,US,CITY,19,CASES
1913,28,PASSAIC,NJ,US,CITY,10,CASES
1913,30,PASSAIC,NJ,US,CITY,3,CASES
1913,31,PASSAIC,NJ,US,CITY,3,CASES
1913,32,PASSAIC,NJ,US,CITY,7,CASES
1913,33,PASSAIC,NJ,US,CITY,3,CASES
1913,35,PASSAIC,NJ,US,CITY,5,CASES
1913,36,PASSAIC,NJ,US,CITY,4,CASES
1913,37,PASSAIC,NJ,US,CITY,1,CASES
1913,38,PASSAIC,NJ,US,CITY,8,CASES
1913,39,PASSAIC,NJ,US,CITY,2,CASES
1913,40,PASSAIC,NJ,US,CITY,3,CASES
1913,43,PASSAIC,NJ,US,CITY,4,CASES
1913,45,PASSAIC,NJ,US,CITY,1,CASES
1913,46,PASSAIC,NJ,US,CITY,5,CASES
1913,48,PASSAIC,NJ,US,CITY,5,CASES
1913,49,PASSAIC,NJ,US,CITY,2,CASES
1913,50,PASSAIC,NJ,US,CITY,1,CASES
1913,51,PASSAIC,NJ,US,CITY,3,CASES
1913,53,PASSAIC,NJ,US,CITY,2,CASES
1914,1,PASSAIC,NJ,US,CITY,5,CASES
1914,2,PASSAIC,NJ,US,CITY,7,CASES
1914,3,PASSAIC,NJ,US,CITY,10,CASES
1914,4,PASSAIC,NJ,US,CITY,11,CASES
1914,5,PASSAIC,NJ,US,CITY,12,CASES
1914,6,PASSAIC,NJ,US,CITY,12,CASES
1914,7,PASSAIC,NJ,US,CITY,12,CASES
1914,8,PASSAIC,NJ,US,CITY,12,CASES
1914,9,PASSAIC,NJ,US,CITY,13,CASES
1914,10,PASSAIC,NJ,US,CITY,10,CASES
1914,11,PASSAIC,NJ,US,CITY,11,CASES
1914,12,PASSAIC,NJ,US,CITY,10,CASES
1914,13,PASSAIC,NJ,US,CITY,3,CASES
1914,14,PASSAIC,NJ,US,CITY,13,CASES
1914,15,PASSAIC,NJ,US,CITY,15,CASES
1914,16,PASSAIC,NJ,US,CITY,7,CASES
1914,17,PASSAIC,NJ,US,CITY,19,CASES
1914,18,PASSAIC,NJ,US,CITY,13,CASES
1914,19,PASSAIC,NJ,US,CITY,6,CASES
1914,20,PASSAIC,NJ,US,CITY,14,CASES
1914,21,PASSAIC,NJ,US,CITY,20,CASES
1914,22,PASSAIC,NJ,US,CITY,13,CASES
1914,23,PASSAIC,NJ,US,CITY,13,CASES
1914,24,PASSAIC,NJ,US,CITY,9,CASES
1914,25,PASSAIC,NJ,US,CITY,10,CASES
1914,26,PASSAIC,NJ,US,CITY,5,CASES
1914,27,PASSAIC,NJ,US,CITY,8,CASES
1914,28,PASSAIC,NJ,US,CITY,5,CASES
1914,29,PASSAIC,NJ,US,CITY,6,CASES
1914,30,PASSAIC,NJ,US,CITY,2,CASES
1914,31,PASSAIC,NJ,US,CITY,1,CASES
1914,32,PASSAIC,NJ,US,CITY,2,CASES
1914,34,PASSAIC,NJ,US,CITY,2,CASES
1914,35,PASSAIC,NJ,US,CITY,2,CASES
1914,37,PASSAIC,NJ,US,CITY,1,CASES
1914,38,PASSAIC,NJ,US,CITY,1,CASES
1915,1,PASSAIC,NJ,US,CITY,1,CASES
1915,10,PASSAIC,NJ,US,CITY,1,CASES
1915,12,PASSAIC,NJ,US,CITY,1,CASES
1915,14,PASSAIC,NJ,US,CITY,1,CASES
1915,16,PASSAIC,NJ,US,CITY,1,CASES
1915,18,PASSAIC,NJ,US,CITY,2,CASES
1915,19,PASSAIC,NJ,US,CITY,1,CASES
1915,20,PASSAIC,NJ,US,CITY,1,CASES
1915,21,PASSAIC,NJ,US,CITY,1,CASES
1915,22,PASSAIC,NJ,US,CITY,1,CASES
1915,23,PASSAIC,NJ,US,CITY,2,CASES
1915,24,PASSAIC,NJ,US,CITY,1,CASES
1915,25,PASSAIC,NJ,US,CITY,8,CASES
1915,26,PASSAIC,NJ,US,CITY,22,CASES
1915,27,PASSAIC,NJ,US,CITY,16,CASES
1915,28,PASSAIC,NJ,US,CITY,24,CASES
1915,29,PASSAIC,NJ,US,CITY,8,CASES
1915,30,PASSAIC,NJ,US,CITY,13,CASES
1915,35,PASSAIC,NJ,US,CITY,2,CASES
1915,36,PASSAIC,NJ,US,CITY,3,CASES
1915,37,PASSAIC,NJ,US,CITY,2,CASES
1915,38,PASSAIC,NJ,US,CITY,2,CASES
1915,39,PASSAIC,NJ,US,CITY,1,CASES
1915,40,PASSAIC,NJ,US,CITY,1,CASES
1915,41,PASSAIC,NJ,US,CITY,4,CASES
1915,42,PASSAIC,NJ,US,CITY,6,CASES
1915,43,PASSAIC,NJ,US,CITY,7,CASES
1915,44,PASSAIC,NJ,US,CITY,11,CASES
1915,45,PASSAIC,NJ,US,CITY,16,CASES
1915,46,PASSAIC,NJ,US,CITY,18,CASES
1915,47,PASSAIC,NJ,US,CITY,16,CASES
1915,48,PASSAIC,NJ,US,CITY,44,CASES
1915,49,PASSAIC,NJ,US,CITY,36,CASES
1915,50,PASSAIC,NJ,US,CITY,38,CASES
1915,51,PASSAIC,NJ,US,CITY,18,CASES
1915,52,PASSAIC,NJ,US,CITY,32,CASES
1916,1,PASSAIC,NJ,US,CITY,58,CASES
1916,2,PASSAIC,NJ,US,CITY,40,CASES
1916,3,PASSAIC,NJ,US,CITY,31,CASES
1916,4,PASSAIC,NJ,US,CITY,37,CASES
1916,5,PASSAIC,NJ,US,CITY,57,CASES
1916,6,PASSAIC,NJ,US,CITY,35,CASES
1916,7,PASSAIC,NJ,US,CITY,55,CASES
1916,8,PASSAIC,NJ,US,CITY,54,CASES
1916,9,PASSAIC,NJ,US,CITY,32,CASES
1916,10,PASSAIC,NJ,US,CITY,40,CASES
1916,11,PASSAIC,NJ,US,CITY,23,CASES
1916,12,PASSAIC,NJ,US,CITY,30,CASES
1916,13,PASSAIC,NJ,US,CITY,21,CASES
1916,14,PASSAIC,NJ,US,CITY,13,CASES
1916,15,PASSAIC,NJ,US,CITY,7,CASES
1916,16,PASSAIC,NJ,US,CITY,9,CASES
1916,17,PASSAIC,NJ,US,CITY,2,CASES
1916,18,PASSAIC,NJ,US,CITY,4,CASES
1916,19,PASSAIC,NJ,US,CITY,2,CASES
1916,20,PASSAIC,NJ,US,CITY,6,CASES
1916,21,PASSAIC,NJ,US,CITY,5,CASES
1916,22,PASSAIC,NJ,US,CITY,2,CASES
1916,24,PASSAIC,NJ,US,CITY,1,CASES
1916,25,PASSAIC,NJ,US,CITY,1,CASES
1916,26,PASSAIC,NJ,US,CITY,1,CASES
1916,28,PASSAIC,NJ,US,CITY,2,CASES
1916,29,PASSAIC,NJ,US,CITY,1,CASES
1916,30,PASSAIC,NJ,US,CITY,1,CASES
1916,44,PASSAIC,NJ,US,CITY,1,CASES
1916,52,PASSAIC,NJ,US,CITY,1,CASES
1917,1,PASSAIC,NJ,US,CITY,1,CASES
1917,3,PASSAIC,NJ,US,CITY,1,CASES
1917,12,PASSAIC,NJ,US,CITY,3,CASES
1917,14,PASSAIC,NJ,US,CITY,1,CASES
1917,15,PASSAIC,NJ,US,CITY,1,CASES
1917,16,PASSAIC,NJ,US,CITY,5,CASES
1917,17,PASSAIC,NJ,US,CITY,9,CASES
1917,19,PASSAIC,NJ,US,CITY,1,CASES
1917,20,PASSAIC,NJ,US,CITY,3,CASES
1917,21,PASSAIC,NJ,US,CITY,4,CASES
1917,22,PASSAIC,NJ,US,CITY,2,CASES
1917,23,PASSAIC,NJ,US,CITY,7,CASES
1917,24,PASSAIC,NJ,US,CITY,3,CASES
1917,26,PASSAIC,NJ,US,CITY,1,CASES
1917,31,PASSAIC,NJ,US,CITY,3,CASES
1917,32,PASSAIC,NJ,US,CITY,1,CASES
1917,39,PASSAIC,NJ,US,CITY,5,CASES
1917,40,PASSAIC,NJ,US,CITY,1,CASES
1917,43,PASSAIC,NJ,US,CITY,1,CASES
1917,44,PASSAIC,NJ,US,CITY,4,CASES
1917,45,PASSAIC,NJ,US,CITY,1,CASES
1917,47,PASSAIC,NJ,US,CITY,1,CASES
1917,48,PASSAIC,NJ,US,CITY,1,CASES
1917,49,PASSAIC,NJ,US,CITY,2,CASES
1917,50,PASSAIC,NJ,US,CITY,1,CASES
1917,51,PASSAIC,NJ,US,CITY,1,CASES
1917,52,PASSAIC,NJ,US,CITY,5,CASES
1918,2,PASSAIC,NJ,US,CITY,2,CASES
1918,4,PASSAIC,NJ,US,CITY,1,CASES
1918,5,PASSAIC,NJ,US,CITY,1,CASES
1918,6,PASSAIC,NJ,US,CITY,1,CASES
1918,8,PASSAIC,NJ,US,CITY,1,CASES
1918,9,PASSAIC,NJ,US,CITY,1,CASES
1918,10,PASSAIC,NJ,US,CITY,1,CASES
1918,11,PASSAIC,NJ,US,CITY,2,CASES
1918,12,PASSAIC,NJ,US,CITY,4,CASES
1918,13,PASSAIC,NJ,US,CITY,2,CASES
1918,14,PASSAIC,NJ,US,CITY,8,CASES
1918,15,PASSAIC,NJ,US,CITY,4,CASES
1918,16,PASSAIC,NJ,US,CITY,21,CASES
1918,17,PASSAIC,NJ,US,CITY,21,CASES
1918,18,PASSAIC,NJ,US,CITY,31,CASES
1918,19,PASSAIC,NJ,US,CITY,33,CASES
1918,20,PASSAIC,NJ,US,CITY,60,CASES
1918,21,PASSAIC,NJ,US,CITY,87,CASES
1918,22,PASSAIC,NJ,US,CITY,65,CASES
1918,23,PASSAIC,NJ,US,CITY,96,CASES
1918,24,PASSAIC,NJ,US,CITY,66,CASES
1918,25,PASSAIC,NJ,US,CITY,58,CASES
1918,26,PASSAIC,NJ,US,CITY,36,CASES
1918,27,PASSAIC,NJ,US,CITY,29,CASES
1918,28,PASSAIC,NJ,US,CITY,33,CASES
1918,29,PASSAIC,NJ,US,CITY,29,CASES
1918,30,PASSAIC,NJ,US,CITY,16,CASES
1918,31,PASSAIC,NJ,US,CITY,9,CASES
1918,32,PASSAIC,NJ,US,CITY,6,CASES
1918,33,PASSAIC,NJ,US,CITY,5,CASES
1918,34,PASSAIC,NJ,US,CITY,3,CASES
1918,35,PASSAIC,NJ,US,CITY,3,CASES
1918,36,PASSAIC,NJ,US,CITY,1,CASES
1918,41,PASSAIC,NJ,US,CITY,1,CASES
1918,42,PASSAIC,NJ,US,CITY,2,CASES
1919,1,PASSAIC,NJ,US,CITY,1,CASES
1919,6,PASSAIC,NJ,US,CITY,3,CASES
1919,10,PASSAIC,NJ,US,CITY,1,CASES
1919,14,PASSAIC,NJ,US,CITY,3,CASES
1919,15,PASSAIC,NJ,US,CITY,2,CASES
1919,16,PASSAIC,NJ,US,CITY,2,CASES
1919,17,PASSAIC,NJ,US,CITY,2,CASES
1919,18,PASSAIC,NJ,US,CITY,2,CASES
1919,19,PASSAIC,NJ,US,CITY,1,CASES
1919,20,PASSAIC,NJ,US,CITY,1,CASES
1919,23,PASSAIC,NJ,US,CITY,1,CASES
1919,25,PASSAIC,NJ,US,CITY,1,CASES
1919,26,PASSAIC,NJ,US,CITY,3,CASES
1919,27,PASSAIC,NJ,US,CITY,3,CASES
1919,31,PASSAIC,NJ,US,CITY,3,CASES
1919,32,PASSAIC,NJ,US,CITY,1,CASES
1919,33,PASSAIC,NJ,US,CITY,1,CASES
1919,34,PASSAIC,NJ,US,CITY,1,CASES
1919,35,PASSAIC,NJ,US,CITY,2,CASES
1919,36,PASSAIC,NJ,US,CITY,1,CASES
1919,43,PASSAIC,NJ,US,CITY,1,CASES
