year,week,loc,state,country,loc_type,number,event
1911,7,PATERSON,NJ,US,CITY,7,CASES
1911,8,PATERSON,NJ,US,CITY,5,CASES
1911,13,PATERSON,NJ,US,CITY,17,CASES
1911,16,PATERSON,NJ,US,CITY,14,CASES
1911,17,PATERSON,NJ,US,CITY,24,CASES
1911,18,PATERSON,NJ,US,CITY,15,CASES
1911,19,PATERSON,NJ,US,CITY,18,CASES
1911,23,PATERSON,NJ,US,CITY,26,CASES
1911,24,PATERSON,NJ,US,CITY,13,CASES
1911,30,PATERSON,NJ,US,CITY,5,CASES
1919,10,PATERSON,NJ,US,CITY,5,CASES
1919,12,PATERSON,NJ,US,CITY,6,CASES
1919,13,PATERSON,NJ,US,CITY,3,CASES
1919,14,PATERSON,NJ,US,CITY,4,CASES
1919,15,PATERSON,NJ,US,CITY,9,CASES
1919,16,PATERSON,NJ,US,CITY,2,CASES
1919,17,PATERSON,NJ,US,CITY,2,CASES
1919,18,PATERSON,NJ,US,CITY,1,CASES
1919,19,PATERSON,NJ,US,CITY,4,CASES
1919,20,PATERSON,NJ,US,CITY,3,CASES
1919,21,PATERSON,NJ,US,CITY,1,CASES
1919,22,PATERSON,NJ,US,CITY,3,CASES
1919,23,PATERSON,NJ,US,CITY,2,CASES
1919,24,PATERSON,NJ,US,CITY,1,CASES
1919,25,PATERSON,NJ,US,CITY,2,CASES
1919,26,PATERSON,NJ,US,CITY,3,CASES
1919,27,PATERSON,NJ,US,CITY,1,CASES
1919,28,PATERSON,NJ,US,CITY,2,CASES
1919,29,PATERSON,NJ,US,CITY,2,CASES
1919,30,PATERSON,NJ,US,CITY,3,CASES
1919,31,PATERSON,NJ,US,CITY,1,CASES
1919,32,PATERSON,NJ,US,CITY,1,CASES
1919,33,PATERSON,NJ,US,CITY,2,CASES
1919,34,PATERSON,NJ,US,CITY,1,CASES
1919,36,PATERSON,NJ,US,CITY,2,CASES
1919,37,PATERSON,NJ,US,CITY,1,CASES
1919,38,PATERSON,NJ,US,CITY,2,CASES
1919,39,PATERSON,NJ,US,CITY,1,CASES
1919,40,PATERSON,NJ,US,CITY,3,CASES
1919,41,PATERSON,NJ,US,CITY,1,CASES
1919,42,PATERSON,NJ,US,CITY,4,CASES
1919,43,PATERSON,NJ,US,CITY,3,CASES
1919,44,PATERSON,NJ,US,CITY,6,CASES
1919,45,PATERSON,NJ,US,CITY,1,CASES
1919,47,PATERSON,NJ,US,CITY,4,CASES
1919,48,PATERSON,NJ,US,CITY,7,CASES
1919,49,PATERSON,NJ,US,CITY,3,CASES
1919,50,PATERSON,NJ,US,CITY,7,CASES
1919,53,PATERSON,NJ,US,CITY,3,CASES
1920,1,PATERSON,NJ,US,CITY,3,CASES
1920,2,PATERSON,NJ,US,CITY,3,CASES
1920,3,PATERSON,NJ,US,CITY,2,CASES
1920,3,PATERSON,NJ,US,CITY,1,CASES
1920,5,PATERSON,NJ,US,CITY,2,CASES
1920,6,PATERSON,NJ,US,CITY,1,CASES
1920,7,PATERSON,NJ,US,CITY,4,CASES
1920,8,PATERSON,NJ,US,CITY,2,CASES
1920,9,PATERSON,NJ,US,CITY,2,CASES
1920,10,PATERSON,NJ,US,CITY,1,CASES
1920,11,PATERSON,NJ,US,CITY,3,CASES
1920,13,PATERSON,NJ,US,CITY,1,CASES
1920,16,PATERSON,NJ,US,CITY,4,CASES
1920,17,PATERSON,NJ,US,CITY,2,CASES
1920,18,PATERSON,NJ,US,CITY,2,CASES
1920,19,PATERSON,NJ,US,CITY,1,CASES
1920,22,PATERSON,NJ,US,CITY,2,CASES
1920,23,PATERSON,NJ,US,CITY,1,CASES
1920,25,PATERSON,NJ,US,CITY,1,CASES
1920,29,PATERSON,NJ,US,CITY,1,CASES
1920,33,PATERSON,NJ,US,CITY,1,CASES
1920,36,PATERSON,NJ,US,CITY,1,CASES
1920,38,PATERSON,NJ,US,CITY,1,CASES
1920,39,PATERSON,NJ,US,CITY,2,CASES
1920,40,PATERSON,NJ,US,CITY,2,CASES
1920,41,PATERSON,NJ,US,CITY,3,CASES
1920,42,PATERSON,NJ,US,CITY,2,CASES
1920,43,PATERSON,NJ,US,CITY,4,CASES
1920,44,PATERSON,NJ,US,CITY,4,CASES
1920,45,PATERSON,NJ,US,CITY,7,CASES
1920,47,PATERSON,NJ,US,CITY,7,CASES
1920,48,PATERSON,NJ,US,CITY,3,CASES
1920,49,PATERSON,NJ,US,CITY,7,CASES
1920,50,PATERSON,NJ,US,CITY,7,CASES
1920,51,PATERSON,NJ,US,CITY,1,CASES
1920,52,PATERSON,NJ,US,CITY,11,CASES
1921,1,PATERSON,NJ,US,CITY,9,CASES
1921,2,PATERSON,NJ,US,CITY,6,CASES
1921,3,PATERSON,NJ,US,CITY,17,CASES
1921,4,PATERSON,NJ,US,CITY,11,CASES
1921,5,PATERSON,NJ,US,CITY,8,CASES
1921,6,PATERSON,NJ,US,CITY,7,CASES
1921,8,PATERSON,NJ,US,CITY,21,CASES
1921,9,PATERSON,NJ,US,CITY,18,CASES
1921,10,PATERSON,NJ,US,CITY,6,CASES
1921,11,PATERSON,NJ,US,CITY,3,CASES
1921,12,PATERSON,NJ,US,CITY,2,CASES
1921,14,PATERSON,NJ,US,CITY,3,CASES
1921,15,PATERSON,NJ,US,CITY,6,CASES
1921,16,PATERSON,NJ,US,CITY,4,CASES
1921,17,PATERSON,NJ,US,CITY,3,CASES
1921,18,PATERSON,NJ,US,CITY,4,CASES
1921,19,PATERSON,NJ,US,CITY,2,CASES
1921,20,PATERSON,NJ,US,CITY,1,CASES
1921,22,PATERSON,NJ,US,CITY,5,CASES
1921,23,PATERSON,NJ,US,CITY,2,CASES
1921,24,PATERSON,NJ,US,CITY,5,CASES
1921,25,PATERSON,NJ,US,CITY,13,CASES
