year,week,loc,state,country,loc_type,number,event
1924,2,PAWTUCKET,RI,US,CITY,0,CASES
1924,6,PAWTUCKET,RI,US,CITY,0,CASES
1924,20,PAWTUCKET,RI,US,CITY,0,CASES
1924,21,PAWTUCKET,RI,US,CITY,0,CASES
1924,38,PAWTUCKET,RI,US,CITY,0,CASES
1924,41,PAWTUCKET,RI,US,CITY,0,CASES
1924,45,PAWTUCKET,RI,US,CITY,0,CASES
1925,23,PAWTUCKET,RI,US,CITY,0,CASES
1925,24,PAWTUCKET,RI,US,CITY,0,CASES
1925,38,PAWTUCKET,RI,US,CITY,0,CASES
1926,49,PAWTUCKET,RI,US,CITY,0,CASES
1927,38,PAWTUCKET,RI,US,CITY,0,CASES
1927,39,PAWTUCKET,RI,US,CITY,0,CASES
1927,40,PAWTUCKET,RI,US,CITY,0,CASES
1928,52,PAWTUCKET,RI,US,CITY,0,CASES
1929,29,PAWTUCKET,RI,US,CITY,0,CASES
1930,28,PAWTUCKET,RI,US,CITY,0,CASES
1930,35,PAWTUCKET,RI,US,CITY,0,CASES
1931,31,PAWTUCKET,RI,US,CITY,0,CASES
1931,33,PAWTUCKET,RI,US,CITY,0,CASES
1931,34,PAWTUCKET,RI,US,CITY,0,CASES
1931,36,PAWTUCKET,RI,US,CITY,0,CASES
1931,37,PAWTUCKET,RI,US,CITY,0,CASES
