year,week,loc,state,country,loc_type,number,event
1909,10,PEEKSKILL,NY,US,CITY,1,CASES
1909,16,PEEKSKILL,NY,US,CITY,1,CASES
1909,19,PEEKSKILL,NY,US,CITY,1,CASES
1909,20,PEEKSKILL,NY,US,CITY,3,CASES
1909,21,PEEKSKILL,NY,US,CITY,3,CASES
1909,37,PEEKSKILL,NY,US,CITY,2,CASES
1909,38,PEEKSKILL,NY,US,CITY,5,CASES
1909,41,PEEKSKILL,NY,US,CITY,1,CASES
1909,43,PEEKSKILL,NY,US,CITY,2,CASES
1909,50,PEEKSKILL,NY,US,CITY,5,CASES
1909,52,PEEKSKILL,NY,US,CITY,2,CASES
1910,1,PEEKSKILL,NY,US,CITY,5,CASES
1910,2,PEEKSKILL,NY,US,CITY,2,CASES
1910,3,PEEKSKILL,NY,US,CITY,4,CASES
1910,4,PEEKSKILL,NY,US,CITY,5,CASES
1910,5,PEEKSKILL,NY,US,CITY,8,CASES
1910,6,PEEKSKILL,NY,US,CITY,1,CASES
1910,7,PEEKSKILL,NY,US,CITY,2,CASES
1910,8,PEEKSKILL,NY,US,CITY,2,CASES
1910,9,PEEKSKILL,NY,US,CITY,1,CASES
1910,10,PEEKSKILL,NY,US,CITY,1,CASES
1910,12,PEEKSKILL,NY,US,CITY,13,CASES
1910,13,PEEKSKILL,NY,US,CITY,10,CASES
1910,15,PEEKSKILL,NY,US,CITY,5,CASES
1910,16,PEEKSKILL,NY,US,CITY,2,CASES
1910,17,PEEKSKILL,NY,US,CITY,2,CASES
1910,21,PEEKSKILL,NY,US,CITY,1,CASES
1910,22,PEEKSKILL,NY,US,CITY,1,CASES
1910,24,PEEKSKILL,NY,US,CITY,1,CASES
1910,31,PEEKSKILL,NY,US,CITY,1,CASES
1910,33,PEEKSKILL,NY,US,CITY,3,CASES
1910,35,PEEKSKILL,NY,US,CITY,1,CASES
1910,50,PEEKSKILL,NY,US,CITY,1,CASES
1910,51,PEEKSKILL,NY,US,CITY,1,CASES
1911,1,PEEKSKILL,NY,US,CITY,1,CASES
1911,2,PEEKSKILL,NY,US,CITY,4,CASES
1911,4,PEEKSKILL,NY,US,CITY,6,CASES
1911,5,PEEKSKILL,NY,US,CITY,5,CASES
1911,6,PEEKSKILL,NY,US,CITY,3,CASES
1911,7,PEEKSKILL,NY,US,CITY,4,CASES
1911,8,PEEKSKILL,NY,US,CITY,5,CASES
1911,13,PEEKSKILL,NY,US,CITY,5,CASES
1911,14,PEEKSKILL,NY,US,CITY,1,CASES
1911,17,PEEKSKILL,NY,US,CITY,3,CASES
