year,week,loc,state,country,loc_type,number,event
1920,1,PHILADELPHIA,PA,US,CITY,1,CASES
1920,2,PHILADELPHIA,PA,US,CITY,5,CASES
1920,3,PHILADELPHIA,PA,US,CITY,29,CASES
1920,4,PHILADELPHIA,PA,US,CITY,1321,CASES
1920,5,PHILADELPHIA,PA,US,CITY,2627,CASES
1920,6,PHILADELPHIA,PA,US,CITY,2212,CASES
1920,7,PHILADELPHIA,PA,US,CITY,1069,CASES
1920,8,PHILADELPHIA,PA,US,CITY,295,CASES
1920,9,PHILADELPHIA,PA,US,CITY,87,CASES
1920,10,PHILADELPHIA,PA,US,CITY,24,CASES
1920,11,PHILADELPHIA,PA,US,CITY,19,CASES
1920,12,PHILADELPHIA,PA,US,CITY,9,CASES
1920,13,PHILADELPHIA,PA,US,CITY,19,CASES
1920,14,PHILADELPHIA,PA,US,CITY,5,CASES
1920,15,PHILADELPHIA,PA,US,CITY,4,CASES
1920,16,PHILADELPHIA,PA,US,CITY,7,CASES
1920,17,PHILADELPHIA,PA,US,CITY,2,CASES
1920,18,PHILADELPHIA,PA,US,CITY,3,CASES
1920,19,PHILADELPHIA,PA,US,CITY,4,CASES
1920,20,PHILADELPHIA,PA,US,CITY,1,CASES
1920,21,PHILADELPHIA,PA,US,CITY,3,CASES
1920,22,PHILADELPHIA,PA,US,CITY,1,CASES
1920,23,PHILADELPHIA,PA,US,CITY,2,CASES
1920,28,PHILADELPHIA,PA,US,CITY,2,CASES
1920,30,PHILADELPHIA,PA,US,CITY,1,CASES
1920,33,PHILADELPHIA,PA,US,CITY,1,CASES
1920,36,PHILADELPHIA,PA,US,CITY,1,CASES
1920,37,PHILADELPHIA,PA,US,CITY,1,CASES
1920,38,PHILADELPHIA,PA,US,CITY,2,CASES
1920,40,PHILADELPHIA,PA,US,CITY,2,CASES
1920,41,PHILADELPHIA,PA,US,CITY,1,CASES
1920,42,PHILADELPHIA,PA,US,CITY,3,CASES
1920,43,PHILADELPHIA,PA,US,CITY,1,CASES
1920,46,PHILADELPHIA,PA,US,CITY,1,CASES
1920,48,PHILADELPHIA,PA,US,CITY,2,CASES
1920,49,PHILADELPHIA,PA,US,CITY,5,CASES
1920,50,PHILADELPHIA,PA,US,CITY,3,CASES
1920,51,PHILADELPHIA,PA,US,CITY,107,CASES
1920,52,PHILADELPHIA,PA,US,CITY,4,CASES
1921,1,PHILADELPHIA,PA,US,CITY,3,CASES
1921,2,PHILADELPHIA,PA,US,CITY,7,CASES
1921,3,PHILADELPHIA,PA,US,CITY,10,CASES
1921,4,PHILADELPHIA,PA,US,CITY,4,CASES
1921,5,PHILADELPHIA,PA,US,CITY,12,CASES
1921,6,PHILADELPHIA,PA,US,CITY,9,CASES
1921,7,PHILADELPHIA,PA,US,CITY,13,CASES
1921,8,PHILADELPHIA,PA,US,CITY,9,CASES
1921,9,PHILADELPHIA,PA,US,CITY,10,CASES
1921,10,PHILADELPHIA,PA,US,CITY,14,CASES
1921,11,PHILADELPHIA,PA,US,CITY,9,CASES
1921,12,PHILADELPHIA,PA,US,CITY,5,CASES
1921,13,PHILADELPHIA,PA,US,CITY,8,CASES
1921,14,PHILADELPHIA,PA,US,CITY,2,CASES
1921,15,PHILADELPHIA,PA,US,CITY,4,CASES
1921,16,PHILADELPHIA,PA,US,CITY,3,CASES
1921,17,PHILADELPHIA,PA,US,CITY,2,CASES
1921,18,PHILADELPHIA,PA,US,CITY,4,CASES
1921,19,PHILADELPHIA,PA,US,CITY,2,CASES
1921,20,PHILADELPHIA,PA,US,CITY,2,CASES
1921,21,PHILADELPHIA,PA,US,CITY,3,CASES
1921,22,PHILADELPHIA,PA,US,CITY,2,CASES
1921,23,PHILADELPHIA,PA,US,CITY,3,CASES
1921,24,PHILADELPHIA,PA,US,CITY,3,CASES
1921,25,PHILADELPHIA,PA,US,CITY,2,CASES
1921,26,PHILADELPHIA,PA,US,CITY,2,CASES
1921,28,PHILADELPHIA,PA,US,CITY,1,CASES
1921,30,PHILADELPHIA,PA,US,CITY,1,CASES
1921,31,PHILADELPHIA,PA,US,CITY,1,CASES
1921,33,PHILADELPHIA,PA,US,CITY,1,CASES
1921,36,PHILADELPHIA,PA,US,CITY,1,CASES
1921,39,PHILADELPHIA,PA,US,CITY,2,CASES
1921,40,PHILADELPHIA,PA,US,CITY,2,CASES
1921,41,PHILADELPHIA,PA,US,CITY,2,CASES
1921,42,PHILADELPHIA,PA,US,CITY,2,CASES
1921,46,PHILADELPHIA,PA,US,CITY,4,CASES
1921,47,PHILADELPHIA,PA,US,CITY,2,CASES
1921,48,PHILADELPHIA,PA,US,CITY,1,CASES
1921,49,PHILADELPHIA,PA,US,CITY,1,CASES
1921,50,PHILADELPHIA,PA,US,CITY,2,CASES
1921,51,PHILADELPHIA,PA,US,CITY,4,CASES
1921,52,PHILADELPHIA,PA,US,CITY,3,CASES
1922,1,PHILADELPHIA,PA,US,CITY,4,CASES
1921,52,PHILADELPHIA,PA,US,CITY,7,CASES
1922,2,PHILADELPHIA,PA,US,CITY,4,CASES
1921,52,PHILADELPHIA,PA,US,CITY,10,CASES
1922,3,PHILADELPHIA,PA,US,CITY,2,CASES
1922,4,PHILADELPHIA,PA,US,CITY,7,CASES
1922,5,PHILADELPHIA,PA,US,CITY,14,CASES
1922,6,PHILADELPHIA,PA,US,CITY,49,CASES
1922,7,PHILADELPHIA,PA,US,CITY,126,CASES
1922,8,PHILADELPHIA,PA,US,CITY,77,CASES
1922,9,PHILADELPHIA,PA,US,CITY,58,CASES
