year,week,loc,state,country,loc_type,number,event
1912,8,PHILADELPHIA,PA,US,CITY,2,CASES
1912,11,PHILADELPHIA,PA,US,CITY,1,CASES
1912,16,PHILADELPHIA,PA,US,CITY,1,CASES
1912,18,PHILADELPHIA,PA,US,CITY,1,CASES
1912,21,PHILADELPHIA,PA,US,CITY,2,CASES
1912,22,PHILADELPHIA,PA,US,CITY,2,CASES
1912,23,PHILADELPHIA,PA,US,CITY,1,CASES
1912,25,PHILADELPHIA,PA,US,CITY,1,CASES
1912,29,PHILADELPHIA,PA,US,CITY,1,CASES
1912,30,PHILADELPHIA,PA,US,CITY,2,CASES
1912,32,PHILADELPHIA,PA,US,CITY,2,CASES
1912,44,PHILADELPHIA,PA,US,CITY,1,CASES
1912,45,PHILADELPHIA,PA,US,CITY,1,CASES
1912,49,PHILADELPHIA,PA,US,CITY,1,CASES
1912,50,PHILADELPHIA,PA,US,CITY,2,CASES
1912,51,PHILADELPHIA,PA,US,CITY,1,CASES
1913,1,PHILADELPHIA,PA,US,CITY,1,CASES
1913,2,PHILADELPHIA,PA,US,CITY,1,CASES
1913,3,PHILADELPHIA,PA,US,CITY,1,CASES
1913,18,PHILADELPHIA,PA,US,CITY,2,CASES
1913,21,PHILADELPHIA,PA,US,CITY,1,CASES
1913,29,PHILADELPHIA,PA,US,CITY,1,CASES
1913,30,PHILADELPHIA,PA,US,CITY,2,CASES
1913,38,PHILADELPHIA,PA,US,CITY,2,CASES
1913,41,PHILADELPHIA,PA,US,CITY,1,CASES
1913,43,PHILADELPHIA,PA,US,CITY,1,CASES
1913,50,PHILADELPHIA,PA,US,CITY,1,CASES
1913,51,PHILADELPHIA,PA,US,CITY,2,CASES
1913,53,PHILADELPHIA,PA,US,CITY,1,CASES
1914,4,PHILADELPHIA,PA,US,CITY,1,CASES
1914,6,PHILADELPHIA,PA,US,CITY,1,CASES
1914,12,PHILADELPHIA,PA,US,CITY,1,CASES
1914,15,PHILADELPHIA,PA,US,CITY,1,CASES
1914,16,PHILADELPHIA,PA,US,CITY,1,CASES
1914,24,PHILADELPHIA,PA,US,CITY,1,CASES
1914,26,PHILADELPHIA,PA,US,CITY,1,CASES
1914,31,PHILADELPHIA,PA,US,CITY,1,CASES
1914,32,PHILADELPHIA,PA,US,CITY,1,CASES
1914,33,PHILADELPHIA,PA,US,CITY,1,CASES
1914,35,PHILADELPHIA,PA,US,CITY,3,CASES
1914,36,PHILADELPHIA,PA,US,CITY,1,CASES
1914,38,PHILADELPHIA,PA,US,CITY,1,CASES
1914,39,PHILADELPHIA,PA,US,CITY,1,CASES
1914,41,PHILADELPHIA,PA,US,CITY,2,CASES
1914,42,PHILADELPHIA,PA,US,CITY,2,CASES
1914,44,PHILADELPHIA,PA,US,CITY,1,CASES
1914,45,PHILADELPHIA,PA,US,CITY,1,CASES
1914,46,PHILADELPHIA,PA,US,CITY,1,CASES
1914,48,PHILADELPHIA,PA,US,CITY,1,CASES
1914,49,PHILADELPHIA,PA,US,CITY,1,CASES
1914,50,PHILADELPHIA,PA,US,CITY,1,CASES
1915,3,PHILADELPHIA,PA,US,CITY,1,CASES
1915,5,PHILADELPHIA,PA,US,CITY,1,CASES
1915,7,PHILADELPHIA,PA,US,CITY,2,CASES
1915,9,PHILADELPHIA,PA,US,CITY,1,CASES
1915,10,PHILADELPHIA,PA,US,CITY,1,CASES
1915,11,PHILADELPHIA,PA,US,CITY,1,CASES
1915,12,PHILADELPHIA,PA,US,CITY,1,CASES
1915,16,PHILADELPHIA,PA,US,CITY,1,CASES
1915,17,PHILADELPHIA,PA,US,CITY,1,CASES
1915,20,PHILADELPHIA,PA,US,CITY,1,CASES
1915,21,PHILADELPHIA,PA,US,CITY,1,CASES
1915,23,PHILADELPHIA,PA,US,CITY,1,CASES
1915,24,PHILADELPHIA,PA,US,CITY,1,CASES
1915,26,PHILADELPHIA,PA,US,CITY,2,CASES
1915,28,PHILADELPHIA,PA,US,CITY,1,CASES
1915,29,PHILADELPHIA,PA,US,CITY,2,CASES
1915,30,PHILADELPHIA,PA,US,CITY,2,CASES
1915,31,PHILADELPHIA,PA,US,CITY,1,CASES
1915,32,PHILADELPHIA,PA,US,CITY,2,CASES
1915,35,PHILADELPHIA,PA,US,CITY,1,CASES
1915,41,PHILADELPHIA,PA,US,CITY,1,CASES
1915,42,PHILADELPHIA,PA,US,CITY,1,CASES
1915,44,PHILADELPHIA,PA,US,CITY,1,CASES
1915,45,PHILADELPHIA,PA,US,CITY,1,CASES
1915,47,PHILADELPHIA,PA,US,CITY,1,CASES
1915,52,PHILADELPHIA,PA,US,CITY,2,CASES
1916,2,PHILADELPHIA,PA,US,CITY,1,CASES
1916,5,PHILADELPHIA,PA,US,CITY,3,CASES
1916,7,PHILADELPHIA,PA,US,CITY,1,CASES
1916,8,PHILADELPHIA,PA,US,CITY,1,CASES
1916,12,PHILADELPHIA,PA,US,CITY,1,CASES
1916,13,PHILADELPHIA,PA,US,CITY,4,CASES
1916,14,PHILADELPHIA,PA,US,CITY,3,CASES
1916,15,PHILADELPHIA,PA,US,CITY,4,CASES
1916,16,PHILADELPHIA,PA,US,CITY,1,CASES
1916,18,PHILADELPHIA,PA,US,CITY,2,CASES
1916,19,PHILADELPHIA,PA,US,CITY,2,CASES
1916,20,PHILADELPHIA,PA,US,CITY,3,CASES
1916,22,PHILADELPHIA,PA,US,CITY,2,CASES
1916,24,PHILADELPHIA,PA,US,CITY,1,CASES
1916,27,PHILADELPHIA,PA,US,CITY,1,CASES
1916,29,PHILADELPHIA,PA,US,CITY,1,CASES
1916,31,PHILADELPHIA,PA,US,CITY,2,CASES
1916,32,PHILADELPHIA,PA,US,CITY,2,CASES
1916,33,PHILADELPHIA,PA,US,CITY,6,CASES
1916,34,PHILADELPHIA,PA,US,CITY,2,CASES
1916,36,PHILADELPHIA,PA,US,CITY,4,CASES
1916,37,PHILADELPHIA,PA,US,CITY,5,CASES
1916,38,PHILADELPHIA,PA,US,CITY,1,CASES
1916,39,PHILADELPHIA,PA,US,CITY,1,CASES
1916,40,PHILADELPHIA,PA,US,CITY,1,CASES
1916,43,PHILADELPHIA,PA,US,CITY,3,CASES
1916,45,PHILADELPHIA,PA,US,CITY,1,CASES
1916,46,PHILADELPHIA,PA,US,CITY,2,CASES
1916,50,PHILADELPHIA,PA,US,CITY,1,CASES
1916,51,PHILADELPHIA,PA,US,CITY,1,CASES
1916,52,PHILADELPHIA,PA,US,CITY,2,CASES
1917,1,PHILADELPHIA,PA,US,CITY,1,CASES
1917,2,PHILADELPHIA,PA,US,CITY,5,CASES
