year,week,loc,state,country,loc_type,number,event
1912,13,PHILADELPHIA,PA,US,CITY,32,CASES
1912,14,PHILADELPHIA,PA,US,CITY,39,CASES
1912,15,PHILADELPHIA,PA,US,CITY,40,CASES
1912,16,PHILADELPHIA,PA,US,CITY,18,CASES
1912,17,PHILADELPHIA,PA,US,CITY,35,CASES
1912,18,PHILADELPHIA,PA,US,CITY,20,CASES
1912,19,PHILADELPHIA,PA,US,CITY,24,CASES
1912,20,PHILADELPHIA,PA,US,CITY,25,CASES
1912,21,PHILADELPHIA,PA,US,CITY,22,CASES
1912,22,PHILADELPHIA,PA,US,CITY,24,CASES
1912,23,PHILADELPHIA,PA,US,CITY,16,CASES
1912,24,PHILADELPHIA,PA,US,CITY,14,CASES
1912,25,PHILADELPHIA,PA,US,CITY,11,CASES
1912,26,PHILADELPHIA,PA,US,CITY,10,CASES
1912,27,PHILADELPHIA,PA,US,CITY,11,CASES
1912,28,PHILADELPHIA,PA,US,CITY,7,CASES
1912,29,PHILADELPHIA,PA,US,CITY,20,CASES
1912,30,PHILADELPHIA,PA,US,CITY,9,CASES
1912,31,PHILADELPHIA,PA,US,CITY,16,CASES
1912,32,PHILADELPHIA,PA,US,CITY,7,CASES
1912,34,PHILADELPHIA,PA,US,CITY,7,CASES
1912,35,PHILADELPHIA,PA,US,CITY,4,CASES
1912,36,PHILADELPHIA,PA,US,CITY,12,CASES
1912,37,PHILADELPHIA,PA,US,CITY,14,CASES
1912,38,PHILADELPHIA,PA,US,CITY,17,CASES
1912,41,PHILADELPHIA,PA,US,CITY,9,CASES
1912,42,PHILADELPHIA,PA,US,CITY,29,CASES
1912,43,PHILADELPHIA,PA,US,CITY,17,CASES
1912,44,PHILADELPHIA,PA,US,CITY,31,CASES
1912,45,PHILADELPHIA,PA,US,CITY,17,CASES
1912,46,PHILADELPHIA,PA,US,CITY,21,CASES
1912,47,PHILADELPHIA,PA,US,CITY,26,CASES
1912,48,PHILADELPHIA,PA,US,CITY,34,CASES
1912,49,PHILADELPHIA,PA,US,CITY,25,CASES
1912,50,PHILADELPHIA,PA,US,CITY,47,CASES
1912,51,PHILADELPHIA,PA,US,CITY,44,CASES
1912,52,PHILADELPHIA,PA,US,CITY,52,CASES
1913,1,PHILADELPHIA,PA,US,CITY,67,CASES
1913,2,PHILADELPHIA,PA,US,CITY,59,CASES
1913,3,PHILADELPHIA,PA,US,CITY,42,CASES
1913,5,PHILADELPHIA,PA,US,CITY,37,CASES
1913,6,PHILADELPHIA,PA,US,CITY,36,CASES
1913,8,PHILADELPHIA,PA,US,CITY,49,CASES
1913,9,PHILADELPHIA,PA,US,CITY,51,CASES
1913,10,PHILADELPHIA,PA,US,CITY,49,CASES
1913,15,PHILADELPHIA,PA,US,CITY,29,CASES
1913,16,PHILADELPHIA,PA,US,CITY,28,CASES
1913,17,PHILADELPHIA,PA,US,CITY,21,CASES
1913,18,PHILADELPHIA,PA,US,CITY,34,CASES
1913,21,PHILADELPHIA,PA,US,CITY,23,CASES
1913,22,PHILADELPHIA,PA,US,CITY,14,CASES
1913,23,PHILADELPHIA,PA,US,CITY,27,CASES
1913,24,PHILADELPHIA,PA,US,CITY,17,CASES
1913,25,PHILADELPHIA,PA,US,CITY,21,CASES
1913,27,PHILADELPHIA,PA,US,CITY,11,CASES
1913,28,PHILADELPHIA,PA,US,CITY,8,CASES
1913,29,PHILADELPHIA,PA,US,CITY,23,CASES
1913,30,PHILADELPHIA,PA,US,CITY,19,CASES
1913,37,PHILADELPHIA,PA,US,CITY,6,CASES
1913,38,PHILADELPHIA,PA,US,CITY,6,CASES
1913,39,PHILADELPHIA,PA,US,CITY,16,CASES
1913,40,PHILADELPHIA,PA,US,CITY,16,CASES
1913,41,PHILADELPHIA,PA,US,CITY,13,CASES
1913,42,PHILADELPHIA,PA,US,CITY,11,CASES
1913,43,PHILADELPHIA,PA,US,CITY,9,CASES
1913,44,PHILADELPHIA,PA,US,CITY,16,CASES
1913,45,PHILADELPHIA,PA,US,CITY,27,CASES
1913,46,PHILADELPHIA,PA,US,CITY,28,CASES
1913,47,PHILADELPHIA,PA,US,CITY,27,CASES
1913,48,PHILADELPHIA,PA,US,CITY,30,CASES
1913,49,PHILADELPHIA,PA,US,CITY,30,CASES
1913,50,PHILADELPHIA,PA,US,CITY,30,CASES
1913,51,PHILADELPHIA,PA,US,CITY,29,CASES
1913,52,PHILADELPHIA,PA,US,CITY,42,CASES
1913,53,PHILADELPHIA,PA,US,CITY,34,CASES
1914,1,PHILADELPHIA,PA,US,CITY,55,CASES
1914,2,PHILADELPHIA,PA,US,CITY,53,CASES
1914,3,PHILADELPHIA,PA,US,CITY,50,CASES
1914,4,PHILADELPHIA,PA,US,CITY,56,CASES
1914,5,PHILADELPHIA,PA,US,CITY,55,CASES
1914,6,PHILADELPHIA,PA,US,CITY,54,CASES
1914,7,PHILADELPHIA,PA,US,CITY,58,CASES
1914,8,PHILADELPHIA,PA,US,CITY,53,CASES
1914,9,PHILADELPHIA,PA,US,CITY,57,CASES
1914,10,PHILADELPHIA,PA,US,CITY,53,CASES
1914,11,PHILADELPHIA,PA,US,CITY,57,CASES
1914,12,PHILADELPHIA,PA,US,CITY,56,CASES
1914,13,PHILADELPHIA,PA,US,CITY,69,CASES
1914,14,PHILADELPHIA,PA,US,CITY,54,CASES
1914,15,PHILADELPHIA,PA,US,CITY,38,CASES
1914,16,PHILADELPHIA,PA,US,CITY,45,CASES
1914,17,PHILADELPHIA,PA,US,CITY,44,CASES
1914,18,PHILADELPHIA,PA,US,CITY,27,CASES
1914,19,PHILADELPHIA,PA,US,CITY,18,CASES
1914,20,PHILADELPHIA,PA,US,CITY,29,CASES
1914,21,PHILADELPHIA,PA,US,CITY,22,CASES
1914,22,PHILADELPHIA,PA,US,CITY,17,CASES
1914,23,PHILADELPHIA,PA,US,CITY,11,CASES
1914,24,PHILADELPHIA,PA,US,CITY,4,CASES
1914,25,PHILADELPHIA,PA,US,CITY,7,CASES
1914,26,PHILADELPHIA,PA,US,CITY,12,CASES
1914,27,PHILADELPHIA,PA,US,CITY,6,CASES
1914,28,PHILADELPHIA,PA,US,CITY,5,CASES
1914,29,PHILADELPHIA,PA,US,CITY,5,CASES
1914,30,PHILADELPHIA,PA,US,CITY,5,CASES
1914,31,PHILADELPHIA,PA,US,CITY,3,CASES
1914,32,PHILADELPHIA,PA,US,CITY,7,CASES
1914,33,PHILADELPHIA,PA,US,CITY,6,CASES
1914,34,PHILADELPHIA,PA,US,CITY,5,CASES
1914,35,PHILADELPHIA,PA,US,CITY,10,CASES
1914,36,PHILADELPHIA,PA,US,CITY,11,CASES
1914,37,PHILADELPHIA,PA,US,CITY,9,CASES
1914,38,PHILADELPHIA,PA,US,CITY,11,CASES
1914,39,PHILADELPHIA,PA,US,CITY,9,CASES
1914,40,PHILADELPHIA,PA,US,CITY,11,CASES
1914,41,PHILADELPHIA,PA,US,CITY,15,CASES
1914,42,PHILADELPHIA,PA,US,CITY,15,CASES
1914,43,PHILADELPHIA,PA,US,CITY,14,CASES
1914,44,PHILADELPHIA,PA,US,CITY,11,CASES
1914,45,PHILADELPHIA,PA,US,CITY,22,CASES
1914,47,PHILADELPHIA,PA,US,CITY,31,CASES
1914,48,PHILADELPHIA,PA,US,CITY,39,CASES
1914,49,PHILADELPHIA,PA,US,CITY,27,CASES
1914,50,PHILADELPHIA,PA,US,CITY,26,CASES
