year,week,loc,state,country,loc_type,number,event
1913,40,PITTSFIELD,MA,US,CITY,1,CASES
1914,34,PITTSFIELD,MA,US,CITY,3,CASES
1915,37,PITTSFIELD,MA,US,CITY,1,CASES
1915,45,PITTSFIELD,MA,US,CITY,2,CASES
1915,46,PITTSFIELD,MA,US,CITY,2,CASES
1916,28,PITTSFIELD,MA,US,CITY,1,CASES
1916,29,PITTSFIELD,MA,US,CITY,1,CASES
1916,32,PITTSFIELD,MA,US,CITY,1,CASES
1916,33,PITTSFIELD,MA,US,CITY,2,CASES
1916,35,PITTSFIELD,MA,US,CITY,2,CASES
1916,36,PITTSFIELD,MA,US,CITY,10,CASES
1916,37,PITTSFIELD,MA,US,CITY,8,CASES
1916,38,PITTSFIELD,MA,US,CITY,6,CASES
1916,39,PITTSFIELD,MA,US,CITY,4,CASES
1916,40,PITTSFIELD,MA,US,CITY,4,CASES
1916,41,PITTSFIELD,MA,US,CITY,5,CASES
1916,42,PITTSFIELD,MA,US,CITY,8,CASES
1916,43,PITTSFIELD,MA,US,CITY,4,CASES
1916,48,PITTSFIELD,MA,US,CITY,1,CASES
1920,34,PITTSFIELD,MA,US,CITY,3,CASES
1920,37,PITTSFIELD,MA,US,CITY,1,CASES
1920,44,PITTSFIELD,MA,US,CITY,1,CASES
1921,33,PITTSFIELD,MA,US,CITY,3,CASES
1921,39,PITTSFIELD,MA,US,CITY,1,CASES
1921,42,PITTSFIELD,MA,US,CITY,1,CASES
1923,44,PITTSFIELD,MA,US,CITY,1,CASES
