year,week,loc,state,country,loc_type,number,event
1920,2,PLAINFIELD,NJ,US,CITY,21,CASES
1920,3,PLAINFIELD,NJ,US,CITY,149,CASES
1920,6,PLAINFIELD,NJ,US,CITY,103,CASES
1920,7,PLAINFIELD,NJ,US,CITY,22,CASES
1920,8,PLAINFIELD,NJ,US,CITY,10,CASES
1920,9,PLAINFIELD,NJ,US,CITY,2,CASES
1920,11,PLAINFIELD,NJ,US,CITY,1,CASES
1920,14,PLAINFIELD,NJ,US,CITY,1,CASES
1920,37,PLAINFIELD,NJ,US,CITY,1,CASES
1921,4,PLAINFIELD,NJ,US,CITY,1,CASES
1921,7,PLAINFIELD,NJ,US,CITY,1,CASES
1921,8,PLAINFIELD,NJ,US,CITY,2,CASES
1922,4,PLAINFIELD,NJ,US,CITY,3,CASES
1922,6,PLAINFIELD,NJ,US,CITY,46,CASES
1922,7,PLAINFIELD,NJ,US,CITY,7,CASES
1922,9,PLAINFIELD,NJ,US,CITY,2,CASES
1922,10,PLAINFIELD,NJ,US,CITY,2,CASES
