year,week,loc,state,country,loc_type,number,event
1920,3,PONTIAC,MI,US,CITY,39,CASES
1920,4,PONTIAC,MI,US,CITY,309,CASES
1920,5,PONTIAC,MI,US,CITY,308,CASES
1920,6,PONTIAC,MI,US,CITY,56,CASES
1920,7,PONTIAC,MI,US,CITY,16,CASES
1920,8,PONTIAC,MI,US,CITY,3,CASES
1920,10,PONTIAC,MI,US,CITY,5,CASES
1920,11,PONTIAC,MI,US,CITY,3,CASES
1922,8,PONTIAC,MI,US,CITY,1,CASES
1922,11,PONTIAC,MI,US,CITY,8,CASES
1922,12,PONTIAC,MI,US,CITY,1,CASES
1923,3,PONTIAC,MI,US,CITY,12,CASES
1923,4,PONTIAC,MI,US,CITY,17,CASES
1923,5,PONTIAC,MI,US,CITY,11,CASES
1923,6,PONTIAC,MI,US,CITY,2,CASES
1923,7,PONTIAC,MI,US,CITY,3,CASES
1923,8,PONTIAC,MI,US,CITY,2,CASES
1923,9,PONTIAC,MI,US,CITY,7,CASES
1923,13,PONTIAC,MI,US,CITY,1,CASES
1923,17,PONTIAC,MI,US,CITY,1,CASES
1923,18,PONTIAC,MI,US,CITY,1,CASES
