year,week,loc,state,country,loc_type,number,event
1909,48,PONTIAC,MI,US,CITY,1,CASES
1910,1,PONTIAC,MI,US,CITY,1,CASES
1910,12,PONTIAC,MI,US,CITY,2,CASES
1910,13,PONTIAC,MI,US,CITY,3,CASES
1910,13,PONTIAC,MI,US,CITY,6,CASES
1910,14,PONTIAC,MI,US,CITY,8,CASES
1910,15,PONTIAC,MI,US,CITY,10,CASES
1910,16,PONTIAC,MI,US,CITY,10,CASES
1910,17,PONTIAC,MI,US,CITY,10,CASES
1910,18,PONTIAC,MI,US,CITY,15,CASES
1910,19,PONTIAC,MI,US,CITY,18,CASES
1910,20,PONTIAC,MI,US,CITY,15,CASES
1910,21,PONTIAC,MI,US,CITY,12,CASES
1910,26,PONTIAC,MI,US,CITY,10,CASES
1910,27,PONTIAC,MI,US,CITY,5,CASES
1917,14,PONTIAC,MI,US,CITY,4,CASES
1917,15,PONTIAC,MI,US,CITY,3,CASES
1917,16,PONTIAC,MI,US,CITY,8,CASES
1917,17,PONTIAC,MI,US,CITY,15,CASES
1917,18,PONTIAC,MI,US,CITY,10,CASES
1917,19,PONTIAC,MI,US,CITY,7,CASES
1917,20,PONTIAC,MI,US,CITY,41,CASES
1917,21,PONTIAC,MI,US,CITY,28,CASES
1917,22,PONTIAC,MI,US,CITY,17,CASES
1917,23,PONTIAC,MI,US,CITY,24,CASES
1917,25,PONTIAC,MI,US,CITY,12,CASES
1917,26,PONTIAC,MI,US,CITY,6,CASES
1917,27,PONTIAC,MI,US,CITY,2,CASES
1917,28,PONTIAC,MI,US,CITY,7,CASES
1917,29,PONTIAC,MI,US,CITY,1,CASES
1917,30,PONTIAC,MI,US,CITY,1,CASES
1917,31,PONTIAC,MI,US,CITY,3,CASES
1917,33,PONTIAC,MI,US,CITY,2,CASES
1917,34,PONTIAC,MI,US,CITY,1,CASES
1917,35,PONTIAC,MI,US,CITY,1,CASES
1917,36,PONTIAC,MI,US,CITY,1,CASES
1917,44,PONTIAC,MI,US,CITY,1,CASES
1917,47,PONTIAC,MI,US,CITY,1,CASES
1917,48,PONTIAC,MI,US,CITY,1,CASES
1917,51,PONTIAC,MI,US,CITY,2,CASES
1918,1,PONTIAC,MI,US,CITY,5,CASES
1918,3,PONTIAC,MI,US,CITY,4,CASES
1918,4,PONTIAC,MI,US,CITY,4,CASES
1918,5,PONTIAC,MI,US,CITY,5,CASES
1918,6,PONTIAC,MI,US,CITY,5,CASES
1918,7,PONTIAC,MI,US,CITY,5,CASES
1918,8,PONTIAC,MI,US,CITY,1,CASES
1918,9,PONTIAC,MI,US,CITY,2,CASES
1918,11,PONTIAC,MI,US,CITY,2,CASES
1918,12,PONTIAC,MI,US,CITY,6,CASES
1918,13,PONTIAC,MI,US,CITY,1,CASES
1918,14,PONTIAC,MI,US,CITY,5,CASES
1918,15,PONTIAC,MI,US,CITY,4,CASES
1918,16,PONTIAC,MI,US,CITY,1,CASES
1918,17,PONTIAC,MI,US,CITY,1,CASES
1918,18,PONTIAC,MI,US,CITY,3,CASES
1918,19,PONTIAC,MI,US,CITY,3,CASES
1918,20,PONTIAC,MI,US,CITY,9,CASES
1918,21,PONTIAC,MI,US,CITY,3,CASES
1918,22,PONTIAC,MI,US,CITY,12,CASES
1918,23,PONTIAC,MI,US,CITY,8,CASES
1918,24,PONTIAC,MI,US,CITY,15,CASES
1918,25,PONTIAC,MI,US,CITY,6,CASES
1918,26,PONTIAC,MI,US,CITY,7,CASES
1918,27,PONTIAC,MI,US,CITY,6,CASES
1918,28,PONTIAC,MI,US,CITY,6,CASES
1918,30,PONTIAC,MI,US,CITY,1,CASES
1918,33,PONTIAC,MI,US,CITY,3,CASES
1918,41,PONTIAC,MI,US,CITY,1,CASES
1918,42,PONTIAC,MI,US,CITY,2,CASES
1919,2,PONTIAC,MI,US,CITY,1,CASES
1919,6,PONTIAC,MI,US,CITY,2,CASES
1919,7,PONTIAC,MI,US,CITY,2,CASES
1919,9,PONTIAC,MI,US,CITY,3,CASES
1919,12,PONTIAC,MI,US,CITY,2,CASES
1919,22,PONTIAC,MI,US,CITY,3,CASES
1919,23,PONTIAC,MI,US,CITY,8,CASES
1919,24,PONTIAC,MI,US,CITY,9,CASES
1919,25,PONTIAC,MI,US,CITY,4,CASES
