year,week,loc,state,country,loc_type,number,event
1907,10,PORT HURON,MI,US,CITY,2,CASES
1907,11,PORT HURON,MI,US,CITY,1,CASES
1907,12,PORT HURON,MI,US,CITY,2,CASES
1907,13,PORT HURON,MI,US,CITY,3,CASES
1907,15,PORT HURON,MI,US,CITY,1,CASES
1907,16,PORT HURON,MI,US,CITY,1,CASES
1907,17,PORT HURON,MI,US,CITY,2,CASES
1907,18,PORT HURON,MI,US,CITY,1,CASES
1907,24,PORT HURON,MI,US,CITY,2,CASES
1907,25,PORT HURON,MI,US,CITY,1,CASES
1907,48,PORT HURON,MI,US,CITY,2,CASES
1908,8,PORT HURON,MI,US,CITY,1,CASES
1908,15,PORT HURON,MI,US,CITY,1,CASES
1909,7,PORT HURON,MI,US,CITY,2,CASES
1909,8,PORT HURON,MI,US,CITY,8,CASES
1909,13,PORT HURON,MI,US,CITY,3,CASES
1919,46,PORT HURON,MI,US,CITY,1,CASES
1919,48,PORT HURON,MI,US,CITY,1,CASES
1919,49,PORT HURON,MI,US,CITY,4,CASES
1919,51,PORT HURON,MI,US,CITY,1,CASES
1919,52,PORT HURON,MI,US,CITY,2,CASES
1920,1,PORT HURON,MI,US,CITY,1,CASES
1920,2,PORT HURON,MI,US,CITY,2,CASES
1920,3,PORT HURON,MI,US,CITY,2,CASES
1920,3,PORT HURON,MI,US,CITY,2,CASES
1920,8,PORT HURON,MI,US,CITY,1,CASES
1920,10,PORT HURON,MI,US,CITY,2,CASES
1920,12,PORT HURON,MI,US,CITY,1,CASES
1920,13,PORT HURON,MI,US,CITY,2,CASES
1920,16,PORT HURON,MI,US,CITY,7,CASES
1920,17,PORT HURON,MI,US,CITY,3,CASES
1920,18,PORT HURON,MI,US,CITY,2,CASES
1920,19,PORT HURON,MI,US,CITY,9,CASES
1920,20,PORT HURON,MI,US,CITY,3,CASES
1920,22,PORT HURON,MI,US,CITY,2,CASES
1920,24,PORT HURON,MI,US,CITY,2,CASES
1920,25,PORT HURON,MI,US,CITY,1,CASES
1920,26,PORT HURON,MI,US,CITY,4,CASES
1920,27,PORT HURON,MI,US,CITY,3,CASES
1920,28,PORT HURON,MI,US,CITY,1,CASES
1920,29,PORT HURON,MI,US,CITY,1,CASES
1920,34,PORT HURON,MI,US,CITY,1,CASES
1920,35,PORT HURON,MI,US,CITY,3,CASES
1920,36,PORT HURON,MI,US,CITY,2,CASES
1920,38,PORT HURON,MI,US,CITY,2,CASES
1920,39,PORT HURON,MI,US,CITY,4,CASES
1920,40,PORT HURON,MI,US,CITY,1,CASES
1920,41,PORT HURON,MI,US,CITY,3,CASES
1920,43,PORT HURON,MI,US,CITY,2,CASES
1920,46,PORT HURON,MI,US,CITY,3,CASES
1920,47,PORT HURON,MI,US,CITY,1,CASES
1920,49,PORT HURON,MI,US,CITY,1,CASES
1920,50,PORT HURON,MI,US,CITY,2,CASES
1920,51,PORT HURON,MI,US,CITY,1,CASES
1921,2,PORT HURON,MI,US,CITY,4,CASES
1921,3,PORT HURON,MI,US,CITY,2,CASES
1921,4,PORT HURON,MI,US,CITY,6,CASES
1921,5,PORT HURON,MI,US,CITY,1,CASES
1921,6,PORT HURON,MI,US,CITY,3,CASES
1921,9,PORT HURON,MI,US,CITY,2,CASES
1921,10,PORT HURON,MI,US,CITY,2,CASES
1921,15,PORT HURON,MI,US,CITY,1,CASES
1921,16,PORT HURON,MI,US,CITY,1,CASES
1921,17,PORT HURON,MI,US,CITY,1,CASES
1921,19,PORT HURON,MI,US,CITY,4,CASES
1921,20,PORT HURON,MI,US,CITY,6,CASES
1921,21,PORT HURON,MI,US,CITY,2,CASES
1921,22,PORT HURON,MI,US,CITY,2,CASES
1921,23,PORT HURON,MI,US,CITY,1,CASES
1921,25,PORT HURON,MI,US,CITY,1,CASES
1921,30,PORT HURON,MI,US,CITY,1,CASES
1921,36,PORT HURON,MI,US,CITY,1,CASES
1921,37,PORT HURON,MI,US,CITY,3,CASES
1921,39,PORT HURON,MI,US,CITY,3,CASES
1921,40,PORT HURON,MI,US,CITY,1,CASES
1921,41,PORT HURON,MI,US,CITY,2,CASES
1921,42,PORT HURON,MI,US,CITY,1,CASES
1921,43,PORT HURON,MI,US,CITY,2,CASES
1921,44,PORT HURON,MI,US,CITY,1,CASES
1921,45,PORT HURON,MI,US,CITY,1,CASES
1921,47,PORT HURON,MI,US,CITY,1,CASES
1921,48,PORT HURON,MI,US,CITY,1,CASES
1921,49,PORT HURON,MI,US,CITY,1,CASES
1921,50,PORT HURON,MI,US,CITY,1,CASES
1921,51,PORT HURON,MI,US,CITY,1,CASES
1922,2,PORT HURON,MI,US,CITY,1,CASES
1922,4,PORT HURON,MI,US,CITY,1,CASES
1922,5,PORT HURON,MI,US,CITY,1,CASES
1922,7,PORT HURON,MI,US,CITY,1,CASES
1922,8,PORT HURON,MI,US,CITY,4,CASES
1922,9,PORT HURON,MI,US,CITY,1,CASES
1922,11,PORT HURON,MI,US,CITY,2,CASES
1922,12,PORT HURON,MI,US,CITY,1,CASES
1922,16,PORT HURON,MI,US,CITY,1,CASES
1922,18,PORT HURON,MI,US,CITY,2,CASES
1922,21,PORT HURON,MI,US,CITY,1,CASES
1922,23,PORT HURON,MI,US,CITY,1,CASES
1922,35,PORT HURON,MI,US,CITY,2,CASES
1922,36,PORT HURON,MI,US,CITY,1,CASES
1922,37,PORT HURON,MI,US,CITY,2,CASES
1922,41,PORT HURON,MI,US,CITY,1,CASES
