year,week,loc,state,country,loc_type,number,event
1915,6,PORTLAND,ME,US,CITY,1,CASES
1920,38,PORTLAND,ME,US,CITY,1,CASES
1924,24,PORTLAND,ME,US,CITY,1,CASES
1924,32,PORTLAND,ME,US,CITY,0,CASES
1924,33,PORTLAND,ME,US,CITY,0,CASES
1924,34,PORTLAND,ME,US,CITY,0,CASES
1924,36,PORTLAND,ME,US,CITY,1,CASES
1924,38,PORTLAND,ME,US,CITY,0,CASES
1924,49,PORTLAND,ME,US,CITY,0,CASES
1925,41,PORTLAND,ME,US,CITY,0,CASES
1925,49,PORTLAND,ME,US,CITY,1,CASES
1925,52,PORTLAND,ME,US,CITY,0,CASES
1926,6,PORTLAND,ME,US,CITY,0,CASES
1926,18,PORTLAND,ME,US,CITY,1,CASES
1926,25,PORTLAND,ME,US,CITY,0,CASES
1926,26,PORTLAND,ME,US,CITY,1,CASES
1927,15,PORTLAND,ME,US,CITY,1,CASES
