year,week,loc,state,country,loc_type,number,event
1916,32,PORTLAND,ME,US,CITY,2,CASES
1916,37,PORTLAND,ME,US,CITY,1,CASES
1916,41,PORTLAND,ME,US,CITY,1,CASES
1916,42,PORTLAND,ME,US,CITY,1,CASES
1917,42,PORTLAND,ME,US,CITY,1,CASES
1920,42,PORTLAND,ME,US,CITY,1,CASES
1921,35,PORTLAND,ME,US,CITY,1,CASES
1921,38,PORTLAND,ME,US,CITY,1,CASES
1922,7,PORTLAND,ME,US,CITY,1,CASES
1923,13,PORTLAND,ME,US,CITY,1,CASES
1923,36,PORTLAND,ME,US,CITY,1,CASES
1923,44,PORTLAND,ME,US,CITY,1,CASES
1924,24,PORTLAND,ME,US,CITY,0,CASES
1924,32,PORTLAND,ME,US,CITY,1,CASES
1924,33,PORTLAND,ME,US,CITY,2,CASES
1924,34,PORTLAND,ME,US,CITY,1,CASES
1924,36,PORTLAND,ME,US,CITY,4,CASES
1924,38,PORTLAND,ME,US,CITY,1,CASES
1924,49,PORTLAND,ME,US,CITY,2,CASES
1925,41,PORTLAND,ME,US,CITY,1,CASES
1925,49,PORTLAND,ME,US,CITY,0,CASES
1925,52,PORTLAND,ME,US,CITY,0,CASES
1926,6,PORTLAND,ME,US,CITY,0,CASES
1926,18,PORTLAND,ME,US,CITY,0,CASES
1926,25,PORTLAND,ME,US,CITY,1,CASES
1926,26,PORTLAND,ME,US,CITY,0,CASES
1927,15,PORTLAND,ME,US,CITY,0,CASES
1927,34,PORTLAND,ME,US,CITY,4,CASES
1927,35,PORTLAND,ME,US,CITY,5,CASES
1927,36,PORTLAND,ME,US,CITY,1,CASES
1927,37,PORTLAND,ME,US,CITY,5,CASES
1927,38,PORTLAND,ME,US,CITY,3,CASES
1927,39,PORTLAND,ME,US,CITY,1,CASES
1927,40,PORTLAND,ME,US,CITY,1,CASES
1927,41,PORTLAND,ME,US,CITY,2,CASES
1927,42,PORTLAND,ME,US,CITY,2,CASES
1927,44,PORTLAND,ME,US,CITY,2,CASES
1927,45,PORTLAND,ME,US,CITY,0,CASES
1927,46,PORTLAND,ME,US,CITY,2,CASES
1927,47,PORTLAND,ME,US,CITY,0,CASES
1928,30,PORTLAND,ME,US,CITY,0,CASES
1928,33,PORTLAND,ME,US,CITY,1,CASES
1928,40,PORTLAND,ME,US,CITY,1,CASES
1928,45,PORTLAND,ME,US,CITY,0,CASES
1928,47,PORTLAND,ME,US,CITY,0,CASES
1928,49,PORTLAND,ME,US,CITY,0,CASES
1929,9,PORTLAND,ME,US,CITY,0,CASES
1929,24,PORTLAND,ME,US,CITY,0,CASES
1929,25,PORTLAND,ME,US,CITY,0,CASES
1929,34,PORTLAND,ME,US,CITY,0,CASES
1929,42,PORTLAND,ME,US,CITY,0,CASES
1929,45,PORTLAND,ME,US,CITY,0,CASES
1929,49,PORTLAND,ME,US,CITY,0,CASES
1929,52,PORTLAND,ME,US,CITY,0,CASES
1930,8,PORTLAND,ME,US,CITY,0,CASES
1930,9,PORTLAND,ME,US,CITY,0,CASES
1930,12,PORTLAND,ME,US,CITY,0,CASES
