year,week,loc,state,country,loc_type,number,event
1908,1,PORTLAND,OR,US,CITY,1,CASES
1908,2,PORTLAND,OR,US,CITY,4,CASES
1908,4,PORTLAND,OR,US,CITY,6,CASES
1908,6,PORTLAND,OR,US,CITY,4,CASES
1908,6,PORTLAND,OR,US,CITY,4,CASES
1908,7,PORTLAND,OR,US,CITY,2,CASES
1908,8,PORTLAND,OR,US,CITY,1,CASES
1908,9,PORTLAND,OR,US,CITY,5,CASES
1908,10,PORTLAND,OR,US,CITY,5,CASES
1913,36,PORTLAND,OR,US,CITY,1,CASES
1914,10,PORTLAND,OR,US,CITY,3,CASES
1914,12,PORTLAND,OR,US,CITY,6,CASES
1914,13,PORTLAND,OR,US,CITY,5,CASES
1914,14,PORTLAND,OR,US,CITY,2,CASES
1914,17,PORTLAND,OR,US,CITY,7,CASES
1914,18,PORTLAND,OR,US,CITY,3,CASES
1914,20,PORTLAND,OR,US,CITY,6,CASES
1914,21,PORTLAND,OR,US,CITY,4,CASES
1914,22,PORTLAND,OR,US,CITY,5,CASES
1914,25,PORTLAND,OR,US,CITY,7,CASES
1914,26,PORTLAND,OR,US,CITY,2,CASES
1914,27,PORTLAND,OR,US,CITY,2,CASES
1914,28,PORTLAND,OR,US,CITY,7,CASES
1914,29,PORTLAND,OR,US,CITY,5,CASES
1914,30,PORTLAND,OR,US,CITY,4,CASES
1914,31,PORTLAND,OR,US,CITY,3,CASES
1914,34,PORTLAND,OR,US,CITY,1,CASES
1914,36,PORTLAND,OR,US,CITY,1,CASES
1914,37,PORTLAND,OR,US,CITY,3,CASES
1914,38,PORTLAND,OR,US,CITY,1,CASES
1914,39,PORTLAND,OR,US,CITY,1,CASES
1914,41,PORTLAND,OR,US,CITY,4,CASES
1914,42,PORTLAND,OR,US,CITY,6,CASES
1914,44,PORTLAND,OR,US,CITY,1,CASES
1914,45,PORTLAND,OR,US,CITY,5,CASES
1914,46,PORTLAND,OR,US,CITY,5,CASES
