year,week,loc,state,country,loc_type,number,event
1911,6,POUGHKEEPSIE,NY,US,CITY,9,CASES
1911,7,POUGHKEEPSIE,NY,US,CITY,13,CASES
1911,8,POUGHKEEPSIE,NY,US,CITY,17,CASES
1911,11,POUGHKEEPSIE,NY,US,CITY,9,CASES
1911,13,POUGHKEEPSIE,NY,US,CITY,9,CASES
1911,15,POUGHKEEPSIE,NY,US,CITY,11,CASES
1911,17,POUGHKEEPSIE,NY,US,CITY,8,CASES
1911,19,POUGHKEEPSIE,NY,US,CITY,1,CASES
1911,20,POUGHKEEPSIE,NY,US,CITY,2,CASES
1911,21,POUGHKEEPSIE,NY,US,CITY,3,CASES
1911,22,POUGHKEEPSIE,NY,US,CITY,1,CASES
1911,23,POUGHKEEPSIE,NY,US,CITY,1,CASES
1911,24,POUGHKEEPSIE,NY,US,CITY,1,CASES
1911,25,POUGHKEEPSIE,NY,US,CITY,1,CASES
1918,9,POUGHKEEPSIE,NY,US,CITY,1,CASES
1918,12,POUGHKEEPSIE,NY,US,CITY,1,CASES
1918,14,POUGHKEEPSIE,NY,US,CITY,1,CASES
1918,15,POUGHKEEPSIE,NY,US,CITY,2,CASES
1918,16,POUGHKEEPSIE,NY,US,CITY,1,CASES
1918,17,POUGHKEEPSIE,NY,US,CITY,1,CASES
1918,19,POUGHKEEPSIE,NY,US,CITY,1,CASES
1918,22,POUGHKEEPSIE,NY,US,CITY,1,CASES
1918,38,POUGHKEEPSIE,NY,US,CITY,3,CASES
1918,46,POUGHKEEPSIE,NY,US,CITY,1,CASES
1918,48,POUGHKEEPSIE,NY,US,CITY,1,CASES
1919,1,POUGHKEEPSIE,NY,US,CITY,1,CASES
1919,3,POUGHKEEPSIE,NY,US,CITY,1,CASES
1919,4,POUGHKEEPSIE,NY,US,CITY,1,CASES
1919,12,POUGHKEEPSIE,NY,US,CITY,3,CASES
1919,14,POUGHKEEPSIE,NY,US,CITY,5,CASES
1919,15,POUGHKEEPSIE,NY,US,CITY,1,CASES
1919,16,POUGHKEEPSIE,NY,US,CITY,1,CASES
1919,17,POUGHKEEPSIE,NY,US,CITY,4,CASES
1919,19,POUGHKEEPSIE,NY,US,CITY,3,CASES
1919,20,POUGHKEEPSIE,NY,US,CITY,2,CASES
1919,21,POUGHKEEPSIE,NY,US,CITY,3,CASES
1919,23,POUGHKEEPSIE,NY,US,CITY,2,CASES
1919,24,POUGHKEEPSIE,NY,US,CITY,2,CASES
1919,25,POUGHKEEPSIE,NY,US,CITY,3,CASES
1919,26,POUGHKEEPSIE,NY,US,CITY,3,CASES
1919,37,POUGHKEEPSIE,NY,US,CITY,1,CASES
1919,39,POUGHKEEPSIE,NY,US,CITY,1,CASES
1919,40,POUGHKEEPSIE,NY,US,CITY,2,CASES
1919,42,POUGHKEEPSIE,NY,US,CITY,1,CASES
1919,48,POUGHKEEPSIE,NY,US,CITY,2,CASES
1919,49,POUGHKEEPSIE,NY,US,CITY,4,CASES
1919,50,POUGHKEEPSIE,NY,US,CITY,3,CASES
1920,2,POUGHKEEPSIE,NY,US,CITY,2,CASES
1920,3,POUGHKEEPSIE,NY,US,CITY,1,CASES
1920,5,POUGHKEEPSIE,NY,US,CITY,2,CASES
1920,7,POUGHKEEPSIE,NY,US,CITY,1,CASES
1920,10,POUGHKEEPSIE,NY,US,CITY,1,CASES
