year,week,loc,state,country,loc_type,number,event
1907,2,PROVIDENCE,RI,US,CITY,1,CASES
1907,8,PROVIDENCE,RI,US,CITY,2,CASES
1907,9,PROVIDENCE,RI,US,CITY,1,CASES
1907,7,PROVIDENCE,RI,US,CITY,1,CASES
1907,13,PROVIDENCE,RI,US,CITY,2,CASES
1907,14,PROVIDENCE,RI,US,CITY,1,CASES
1907,17,PROVIDENCE,RI,US,CITY,1,CASES
1907,21,PROVIDENCE,RI,US,CITY,2,CASES
1907,25,PROVIDENCE,RI,US,CITY,2,CASES
1907,27,PROVIDENCE,RI,US,CITY,1,CASES
1907,33,PROVIDENCE,RI,US,CITY,2,CASES
1907,34,PROVIDENCE,RI,US,CITY,1,CASES
1907,38,PROVIDENCE,RI,US,CITY,1,CASES
1907,39,PROVIDENCE,RI,US,CITY,1,CASES
1907,40,PROVIDENCE,RI,US,CITY,1,CASES
1907,41,PROVIDENCE,RI,US,CITY,3,CASES
1907,42,PROVIDENCE,RI,US,CITY,6,CASES
1907,43,PROVIDENCE,RI,US,CITY,7,CASES
1907,44,PROVIDENCE,RI,US,CITY,6,CASES
1907,45,PROVIDENCE,RI,US,CITY,7,CASES
1907,46,PROVIDENCE,RI,US,CITY,6,CASES
1907,47,PROVIDENCE,RI,US,CITY,9,CASES
1907,48,PROVIDENCE,RI,US,CITY,6,CASES
1907,49,PROVIDENCE,RI,US,CITY,7,CASES
1907,50,PROVIDENCE,RI,US,CITY,11,CASES
1907,51,PROVIDENCE,RI,US,CITY,11,CASES
1907,52,PROVIDENCE,RI,US,CITY,2,CASES
1908,1,PROVIDENCE,RI,US,CITY,11,CASES
1908,2,PROVIDENCE,RI,US,CITY,7,CASES
1908,3,PROVIDENCE,RI,US,CITY,16,CASES
1908,4,PROVIDENCE,RI,US,CITY,8,CASES
1908,5,PROVIDENCE,RI,US,CITY,16,CASES
1908,6,PROVIDENCE,RI,US,CITY,22,CASES
1908,7,PROVIDENCE,RI,US,CITY,19,CASES
1908,8,PROVIDENCE,RI,US,CITY,14,CASES
1908,9,PROVIDENCE,RI,US,CITY,21,CASES
1908,10,PROVIDENCE,RI,US,CITY,27,CASES
1908,11,PROVIDENCE,RI,US,CITY,18,CASES
1908,12,PROVIDENCE,RI,US,CITY,10,CASES
1908,13,PROVIDENCE,RI,US,CITY,13,CASES
1908,14,PROVIDENCE,RI,US,CITY,17,CASES
1908,15,PROVIDENCE,RI,US,CITY,8,CASES
1908,16,PROVIDENCE,RI,US,CITY,9,CASES
1908,17,PROVIDENCE,RI,US,CITY,6,CASES
1908,18,PROVIDENCE,RI,US,CITY,7,CASES
1908,19,PROVIDENCE,RI,US,CITY,7,CASES
1908,20,PROVIDENCE,RI,US,CITY,14,CASES
1908,21,PROVIDENCE,RI,US,CITY,6,CASES
1908,22,PROVIDENCE,RI,US,CITY,3,CASES
1908,23,PROVIDENCE,RI,US,CITY,7,CASES
1908,24,PROVIDENCE,RI,US,CITY,2,CASES
1908,25,PROVIDENCE,RI,US,CITY,3,CASES
1908,26,PROVIDENCE,RI,US,CITY,2,CASES
1908,27,PROVIDENCE,RI,US,CITY,2,CASES
1908,29,PROVIDENCE,RI,US,CITY,3,CASES
1908,30,PROVIDENCE,RI,US,CITY,1,CASES
1908,31,PROVIDENCE,RI,US,CITY,1,CASES
1908,36,PROVIDENCE,RI,US,CITY,1,CASES
1908,41,PROVIDENCE,RI,US,CITY,1,CASES
1908,45,PROVIDENCE,RI,US,CITY,1,CASES
1908,46,PROVIDENCE,RI,US,CITY,2,CASES
1908,51,PROVIDENCE,RI,US,CITY,1,CASES
1909,2,PROVIDENCE,RI,US,CITY,1,CASES
1909,5,PROVIDENCE,RI,US,CITY,2,CASES
1909,6,PROVIDENCE,RI,US,CITY,1,CASES
1909,10,PROVIDENCE,RI,US,CITY,1,CASES
1909,12,PROVIDENCE,RI,US,CITY,2,CASES
1909,14,PROVIDENCE,RI,US,CITY,1,CASES
1909,16,PROVIDENCE,RI,US,CITY,2,CASES
1909,17,PROVIDENCE,RI,US,CITY,1,CASES
1909,18,PROVIDENCE,RI,US,CITY,2,CASES
1909,19,PROVIDENCE,RI,US,CITY,5,CASES
1909,20,PROVIDENCE,RI,US,CITY,3,CASES
1909,21,PROVIDENCE,RI,US,CITY,2,CASES
1909,22,PROVIDENCE,RI,US,CITY,13,CASES
1909,23,PROVIDENCE,RI,US,CITY,11,CASES
1909,24,PROVIDENCE,RI,US,CITY,23,CASES
1909,25,PROVIDENCE,RI,US,CITY,9,CASES
1909,26,PROVIDENCE,RI,US,CITY,15,CASES
1909,27,PROVIDENCE,RI,US,CITY,8,CASES
1909,28,PROVIDENCE,RI,US,CITY,12,CASES
1909,29,PROVIDENCE,RI,US,CITY,7,CASES
1909,30,PROVIDENCE,RI,US,CITY,5,CASES
1909,31,PROVIDENCE,RI,US,CITY,6,CASES
1909,32,PROVIDENCE,RI,US,CITY,3,CASES
1909,33,PROVIDENCE,RI,US,CITY,4,CASES
1909,35,PROVIDENCE,RI,US,CITY,5,CASES
1909,36,PROVIDENCE,RI,US,CITY,3,CASES
1909,37,PROVIDENCE,RI,US,CITY,1,CASES
1909,39,PROVIDENCE,RI,US,CITY,4,CASES
1909,40,PROVIDENCE,RI,US,CITY,3,CASES
1909,41,PROVIDENCE,RI,US,CITY,11,CASES
1909,43,PROVIDENCE,RI,US,CITY,9,CASES
1909,44,PROVIDENCE,RI,US,CITY,4,CASES
1909,45,PROVIDENCE,RI,US,CITY,6,CASES
1909,46,PROVIDENCE,RI,US,CITY,5,CASES
1909,47,PROVIDENCE,RI,US,CITY,14,CASES
1909,48,PROVIDENCE,RI,US,CITY,13,CASES
1909,49,PROVIDENCE,RI,US,CITY,21,CASES
1909,50,PROVIDENCE,RI,US,CITY,11,CASES
1909,51,PROVIDENCE,RI,US,CITY,16,CASES
1909,52,PROVIDENCE,RI,US,CITY,33,CASES
1910,1,PROVIDENCE,RI,US,CITY,53,CASES
1910,2,PROVIDENCE,RI,US,CITY,86,CASES
1910,3,PROVIDENCE,RI,US,CITY,62,CASES
1910,4,PROVIDENCE,RI,US,CITY,36,CASES
1910,5,PROVIDENCE,RI,US,CITY,38,CASES
1910,6,PROVIDENCE,RI,US,CITY,8,CASES
1910,7,PROVIDENCE,RI,US,CITY,72,CASES
1910,8,PROVIDENCE,RI,US,CITY,37,CASES
1910,9,PROVIDENCE,RI,US,CITY,32,CASES
1910,10,PROVIDENCE,RI,US,CITY,20,CASES
1910,11,PROVIDENCE,RI,US,CITY,18,CASES
1910,12,PROVIDENCE,RI,US,CITY,18,CASES
1910,13,PROVIDENCE,RI,US,CITY,21,CASES
1910,14,PROVIDENCE,RI,US,CITY,15,CASES
1910,15,PROVIDENCE,RI,US,CITY,4,CASES
1910,16,PROVIDENCE,RI,US,CITY,8,CASES
1910,17,PROVIDENCE,RI,US,CITY,5,CASES
1910,18,PROVIDENCE,RI,US,CITY,18,CASES
1910,19,PROVIDENCE,RI,US,CITY,2,CASES
1910,20,PROVIDENCE,RI,US,CITY,3,CASES
1910,21,PROVIDENCE,RI,US,CITY,11,CASES
1910,22,PROVIDENCE,RI,US,CITY,4,CASES
