year,week,loc,state,country,loc_type,number,event
1918,51,RALEIGH,NC,US,CITY,1,CASES
1918,52,RALEIGH,NC,US,CITY,1,CASES
1919,3,RALEIGH,NC,US,CITY,1,CASES
1919,9,RALEIGH,NC,US,CITY,1,CASES
1919,10,RALEIGH,NC,US,CITY,1,CASES
1919,14,RALEIGH,NC,US,CITY,2,CASES
1919,18,RALEIGH,NC,US,CITY,1,CASES
1919,22,RALEIGH,NC,US,CITY,2,CASES
1919,50,RALEIGH,NC,US,CITY,1,CASES
1920,12,RALEIGH,NC,US,CITY,1,CASES
1920,17,RALEIGH,NC,US,CITY,1,CASES
1920,19,RALEIGH,NC,US,CITY,1,CASES
1920,20,RALEIGH,NC,US,CITY,1,CASES
1920,24,RALEIGH,NC,US,CITY,1,CASES
1921,23,RALEIGH,NC,US,CITY,1,CASES
1921,26,RALEIGH,NC,US,CITY,4,CASES
1921,29,RALEIGH,NC,US,CITY,2,CASES
1922,23,RALEIGH,NC,US,CITY,1,CASES
1923,2,RALEIGH,NC,US,CITY,1,CASES
1923,9,RALEIGH,NC,US,CITY,1,CASES
1923,17,RALEIGH,NC,US,CITY,2,CASES
1923,23,RALEIGH,NC,US,CITY,3,CASES
1923,27,RALEIGH,NC,US,CITY,1,CASES
1923,28,RALEIGH,NC,US,CITY,1,CASES
1923,42,RALEIGH,NC,US,CITY,1,CASES
1923,43,RALEIGH,NC,US,CITY,5,CASES
1923,46,RALEIGH,NC,US,CITY,1,CASES
1923,52,RALEIGH,NC,US,CITY,1,CASES
1924,1,RALEIGH,NC,US,CITY,0,CASES
1924,2,RALEIGH,NC,US,CITY,0,CASES
1924,3,RALEIGH,NC,US,CITY,2,CASES
1924,4,RALEIGH,NC,US,CITY,1,CASES
1924,5,RALEIGH,NC,US,CITY,0,CASES
1924,6,RALEIGH,NC,US,CITY,5,CASES
1924,7,RALEIGH,NC,US,CITY,2,CASES
1924,8,RALEIGH,NC,US,CITY,2,CASES
1924,9,RALEIGH,NC,US,CITY,3,CASES
1924,10,RALEIGH,NC,US,CITY,8,CASES
1924,11,RALEIGH,NC,US,CITY,10,CASES
1924,12,RALEIGH,NC,US,CITY,12,CASES
1924,13,RALEIGH,NC,US,CITY,19,CASES
1924,14,RALEIGH,NC,US,CITY,0,CASES
1924,15,RALEIGH,NC,US,CITY,15,CASES
1924,16,RALEIGH,NC,US,CITY,9,CASES
1924,17,RALEIGH,NC,US,CITY,5,CASES
1924,18,RALEIGH,NC,US,CITY,13,CASES
1924,19,RALEIGH,NC,US,CITY,9,CASES
1924,20,RALEIGH,NC,US,CITY,10,CASES
1924,21,RALEIGH,NC,US,CITY,6,CASES
1924,22,RALEIGH,NC,US,CITY,2,CASES
1924,23,RALEIGH,NC,US,CITY,4,CASES
1924,24,RALEIGH,NC,US,CITY,1,CASES
1924,25,RALEIGH,NC,US,CITY,2,CASES
1924,26,RALEIGH,NC,US,CITY,4,CASES
1924,27,RALEIGH,NC,US,CITY,0,CASES
1924,28,RALEIGH,NC,US,CITY,0,CASES
1924,29,RALEIGH,NC,US,CITY,1,CASES
1924,30,RALEIGH,NC,US,CITY,0,CASES
1924,31,RALEIGH,NC,US,CITY,0,CASES
1924,32,RALEIGH,NC,US,CITY,0,CASES
1924,34,RALEIGH,NC,US,CITY,0,CASES
1924,36,RALEIGH,NC,US,CITY,0,CASES
1924,37,RALEIGH,NC,US,CITY,1,CASES
1924,38,RALEIGH,NC,US,CITY,0,CASES
1924,39,RALEIGH,NC,US,CITY,1,CASES
1924,40,RALEIGH,NC,US,CITY,1,CASES
1924,41,RALEIGH,NC,US,CITY,0,CASES
1924,42,RALEIGH,NC,US,CITY,0,CASES
1924,43,RALEIGH,NC,US,CITY,0,CASES
1924,44,RALEIGH,NC,US,CITY,0,CASES
1924,45,RALEIGH,NC,US,CITY,0,CASES
1924,46,RALEIGH,NC,US,CITY,0,CASES
1924,47,RALEIGH,NC,US,CITY,0,CASES
1924,48,RALEIGH,NC,US,CITY,0,CASES
1924,49,RALEIGH,NC,US,CITY,3,CASES
1924,50,RALEIGH,NC,US,CITY,1,CASES
1924,52,RALEIGH,NC,US,CITY,4,CASES
1924,53,RALEIGH,NC,US,CITY,2,CASES
1925,1,RALEIGH,NC,US,CITY,2,CASES
1925,2,RALEIGH,NC,US,CITY,7,CASES
1925,3,RALEIGH,NC,US,CITY,8,CASES
1925,4,RALEIGH,NC,US,CITY,2,CASES
1925,5,RALEIGH,NC,US,CITY,4,CASES
1925,6,RALEIGH,NC,US,CITY,2,CASES
1925,7,RALEIGH,NC,US,CITY,4,CASES
1925,8,RALEIGH,NC,US,CITY,0,CASES
1925,9,RALEIGH,NC,US,CITY,1,CASES
1925,10,RALEIGH,NC,US,CITY,1,CASES
1925,11,RALEIGH,NC,US,CITY,7,CASES
1925,12,RALEIGH,NC,US,CITY,5,CASES
1925,13,RALEIGH,NC,US,CITY,0,CASES
1925,14,RALEIGH,NC,US,CITY,5,CASES
1925,15,RALEIGH,NC,US,CITY,8,CASES
1925,16,RALEIGH,NC,US,CITY,1,CASES
1925,17,RALEIGH,NC,US,CITY,0,CASES
1925,18,RALEIGH,NC,US,CITY,2,CASES
1925,19,RALEIGH,NC,US,CITY,1,CASES
1925,20,RALEIGH,NC,US,CITY,1,CASES
1925,21,RALEIGH,NC,US,CITY,0,CASES
1925,22,RALEIGH,NC,US,CITY,5,CASES
1925,23,RALEIGH,NC,US,CITY,0,CASES
1925,24,RALEIGH,NC,US,CITY,2,CASES
1925,25,RALEIGH,NC,US,CITY,0,CASES
1925,26,RALEIGH,NC,US,CITY,0,CASES
1925,27,RALEIGH,NC,US,CITY,2,CASES
1925,28,RALEIGH,NC,US,CITY,0,CASES
1925,29,RALEIGH,NC,US,CITY,2,CASES
1925,30,RALEIGH,NC,US,CITY,0,CASES
1925,31,RALEIGH,NC,US,CITY,0,CASES
1925,32,RALEIGH,NC,US,CITY,0,CASES
1925,33,RALEIGH,NC,US,CITY,0,CASES
1925,34,RALEIGH,NC,US,CITY,0,CASES
1925,35,RALEIGH,NC,US,CITY,0,CASES
1925,36,RALEIGH,NC,US,CITY,0,CASES
1925,37,RALEIGH,NC,US,CITY,0,CASES
1925,38,RALEIGH,NC,US,CITY,0,CASES
1925,39,RALEIGH,NC,US,CITY,0,CASES
1925,40,RALEIGH,NC,US,CITY,0,CASES
1925,41,RALEIGH,NC,US,CITY,0,CASES
1925,42,RALEIGH,NC,US,CITY,0,CASES
1925,43,RALEIGH,NC,US,CITY,0,CASES
1925,44,RALEIGH,NC,US,CITY,0,CASES
1925,45,RALEIGH,NC,US,CITY,0,CASES
1925,46,RALEIGH,NC,US,CITY,0,CASES
1925,47,RALEIGH,NC,US,CITY,0,CASES
1925,48,RALEIGH,NC,US,CITY,0,CASES
1925,49,RALEIGH,NC,US,CITY,0,CASES
1925,50,RALEIGH,NC,US,CITY,0,CASES
