year,week,loc,state,country,loc_type,number,event
1912,10,READING,PA,US,CITY,1,CASES
1912,32,READING,PA,US,CITY,1,CASES
1913,6,READING,PA,US,CITY,1,CASES
1913,7,READING,PA,US,CITY,1,CASES
1913,31,READING,PA,US,CITY,1,CASES
1913,35,READING,PA,US,CITY,1,CASES
1913,52,READING,PA,US,CITY,1,CASES
1914,46,READING,PA,US,CITY,1,CASES
1916,18,READING,PA,US,CITY,1,CASES
1916,51,READING,PA,US,CITY,1,CASES
1917,17,READING,PA,US,CITY,2,CASES
1918,42,READING,PA,US,CITY,1,CASES
1919,1,READING,PA,US,CITY,1,CASES
1919,22,READING,PA,US,CITY,1,CASES
1919,25,READING,PA,US,CITY,1,CASES
1920,22,READING,PA,US,CITY,1,CASES
1921,5,READING,PA,US,CITY,1,CASES
1922,5,READING,PA,US,CITY,1,CASES
1922,49,READING,PA,US,CITY,1,CASES
1923,13,READING,PA,US,CITY,1,CASES
1924,49,READING,PA,US,CITY,0,CASES
1925,28,READING,PA,US,CITY,0,CASES
1926,39,READING,PA,US,CITY,0,CASES
1927,10,READING,PA,US,CITY,1,CASES
1927,18,READING,PA,US,CITY,0,CASES
