year,week,loc,state,country,loc_type,number,event
1920,1,RICHMOND,VA,US,CITY,6,CASES
1920,2,RICHMOND,VA,US,CITY,11,CASES
1920,3,RICHMOND,VA,US,CITY,210,CASES
1920,4,RICHMOND,VA,US,CITY,1866,CASES
1920,5,RICHMOND,VA,US,CITY,2516,CASES
1920,6,RICHMOND,VA,US,CITY,842,CASES
1920,7,RICHMOND,VA,US,CITY,359,CASES
1920,8,RICHMOND,VA,US,CITY,85,CASES
1920,9,RICHMOND,VA,US,CITY,32,CASES
1920,10,RICHMOND,VA,US,CITY,8,CASES
1920,46,RICHMOND,VA,US,CITY,1,CASES
1920,47,RICHMOND,VA,US,CITY,1,CASES
1921,3,RICHMOND,VA,US,CITY,6,CASES
1921,4,RICHMOND,VA,US,CITY,4,CASES
1921,5,RICHMOND,VA,US,CITY,1,CASES
1921,11,RICHMOND,VA,US,CITY,3,CASES
1921,12,RICHMOND,VA,US,CITY,2,CASES
1921,52,RICHMOND,VA,US,CITY,6,CASES
1923,2,RICHMOND,VA,US,CITY,16,CASES
1923,3,RICHMOND,VA,US,CITY,27,CASES
1923,4,RICHMOND,VA,US,CITY,19,CASES
1923,5,RICHMOND,VA,US,CITY,13,CASES
1923,6,RICHMOND,VA,US,CITY,3,CASES
1923,7,RICHMOND,VA,US,CITY,3,CASES
1923,8,RICHMOND,VA,US,CITY,6,CASES
1923,10,RICHMOND,VA,US,CITY,2,CASES
1923,11,RICHMOND,VA,US,CITY,2,CASES
1923,14,RICHMOND,VA,US,CITY,2,CASES
1923,20,RICHMOND,VA,US,CITY,1,CASES
1923,35,RICHMOND,VA,US,CITY,1,CASES
1924,1,RICHMOND,VA,US,CITY,0,CASES
1924,2,RICHMOND,VA,US,CITY,0,CASES
1924,3,RICHMOND,VA,US,CITY,2,CASES
1924,4,RICHMOND,VA,US,CITY,0,CASES
1924,5,RICHMOND,VA,US,CITY,0,CASES
1924,11,RICHMOND,VA,US,CITY,0,CASES
1924,14,RICHMOND,VA,US,CITY,0,CASES
1924,15,RICHMOND,VA,US,CITY,1,CASES
1924,17,RICHMOND,VA,US,CITY,0,CASES
1924,20,RICHMOND,VA,US,CITY,0,CASES
1924,22,RICHMOND,VA,US,CITY,0,CASES
1924,23,RICHMOND,VA,US,CITY,0,CASES
1924,24,RICHMOND,VA,US,CITY,0,CASES
1924,25,RICHMOND,VA,US,CITY,1,CASES
1924,26,RICHMOND,VA,US,CITY,0,CASES
1924,27,RICHMOND,VA,US,CITY,0,CASES
1924,29,RICHMOND,VA,US,CITY,0,CASES
1924,30,RICHMOND,VA,US,CITY,0,CASES
1924,31,RICHMOND,VA,US,CITY,0,CASES
1924,32,RICHMOND,VA,US,CITY,0,CASES
1924,33,RICHMOND,VA,US,CITY,0,CASES
1924,34,RICHMOND,VA,US,CITY,0,CASES
1924,35,RICHMOND,VA,US,CITY,0,CASES
1924,36,RICHMOND,VA,US,CITY,0,CASES
1924,37,RICHMOND,VA,US,CITY,0,CASES
1924,38,RICHMOND,VA,US,CITY,0,CASES
1924,39,RICHMOND,VA,US,CITY,0,CASES
1924,40,RICHMOND,VA,US,CITY,0,CASES
1924,41,RICHMOND,VA,US,CITY,0,CASES
1924,42,RICHMOND,VA,US,CITY,0,CASES
1924,43,RICHMOND,VA,US,CITY,0,CASES
1924,44,RICHMOND,VA,US,CITY,0,CASES
1924,45,RICHMOND,VA,US,CITY,0,CASES
1924,46,RICHMOND,VA,US,CITY,0,CASES
1924,47,RICHMOND,VA,US,CITY,0,CASES
1924,48,RICHMOND,VA,US,CITY,0,CASES
1924,49,RICHMOND,VA,US,CITY,0,CASES
1924,50,RICHMOND,VA,US,CITY,0,CASES
1924,51,RICHMOND,VA,US,CITY,0,CASES
1924,52,RICHMOND,VA,US,CITY,0,CASES
1924,53,RICHMOND,VA,US,CITY,0,CASES
1925,1,RICHMOND,VA,US,CITY,0,CASES
1925,2,RICHMOND,VA,US,CITY,0,CASES
1925,4,RICHMOND,VA,US,CITY,0,CASES
1925,11,RICHMOND,VA,US,CITY,0,CASES
1925,12,RICHMOND,VA,US,CITY,0,CASES
1925,14,RICHMOND,VA,US,CITY,0,CASES
1925,15,RICHMOND,VA,US,CITY,0,CASES
1925,18,RICHMOND,VA,US,CITY,0,CASES
1925,19,RICHMOND,VA,US,CITY,0,CASES
1925,20,RICHMOND,VA,US,CITY,0,CASES
1925,21,RICHMOND,VA,US,CITY,0,CASES
1925,22,RICHMOND,VA,US,CITY,0,CASES
1925,23,RICHMOND,VA,US,CITY,0,CASES
1925,24,RICHMOND,VA,US,CITY,0,CASES
1925,25,RICHMOND,VA,US,CITY,0,CASES
1925,26,RICHMOND,VA,US,CITY,0,CASES
1925,27,RICHMOND,VA,US,CITY,0,CASES
1925,28,RICHMOND,VA,US,CITY,0,CASES
1925,30,RICHMOND,VA,US,CITY,0,CASES
1925,32,RICHMOND,VA,US,CITY,0,CASES
1925,33,RICHMOND,VA,US,CITY,0,CASES
1925,34,RICHMOND,VA,US,CITY,0,CASES
1925,35,RICHMOND,VA,US,CITY,0,CASES
1925,36,RICHMOND,VA,US,CITY,0,CASES
1925,37,RICHMOND,VA,US,CITY,0,CASES
1925,38,RICHMOND,VA,US,CITY,0,CASES
1925,39,RICHMOND,VA,US,CITY,0,CASES
1925,40,RICHMOND,VA,US,CITY,0,CASES
1925,41,RICHMOND,VA,US,CITY,0,CASES
1925,42,RICHMOND,VA,US,CITY,0,CASES
1925,43,RICHMOND,VA,US,CITY,0,CASES
1925,44,RICHMOND,VA,US,CITY,0,CASES
1925,45,RICHMOND,VA,US,CITY,0,CASES
1925,46,RICHMOND,VA,US,CITY,0,CASES
1925,47,RICHMOND,VA,US,CITY,0,CASES
1925,48,RICHMOND,VA,US,CITY,0,CASES
1925,49,RICHMOND,VA,US,CITY,0,CASES
1925,50,RICHMOND,VA,US,CITY,0,CASES
1925,51,RICHMOND,VA,US,CITY,0,CASES
1925,52,RICHMOND,VA,US,CITY,0,CASES
1926,1,RICHMOND,VA,US,CITY,2,CASES
1926,2,RICHMOND,VA,US,CITY,0,CASES
1926,3,RICHMOND,VA,US,CITY,0,CASES
1926,4,RICHMOND,VA,US,CITY,0,CASES
1926,5,RICHMOND,VA,US,CITY,0,CASES
1926,6,RICHMOND,VA,US,CITY,0,CASES
1926,7,RICHMOND,VA,US,CITY,0,CASES
1926,8,RICHMOND,VA,US,CITY,0,CASES
1926,9,RICHMOND,VA,US,CITY,0,CASES
1926,10,RICHMOND,VA,US,CITY,0,CASES
1926,11,RICHMOND,VA,US,CITY,0,CASES
