year,week,loc,state,country,loc_type,number,event
1918,7,RICHMOND,VA,US,CITY,1,CASES
1918,9,RICHMOND,VA,US,CITY,1,CASES
1918,13,RICHMOND,VA,US,CITY,2,CASES
1918,14,RICHMOND,VA,US,CITY,1,CASES
1918,17,RICHMOND,VA,US,CITY,1,CASES
1918,36,RICHMOND,VA,US,CITY,1,CASES
1918,43,RICHMOND,VA,US,CITY,1,CASES
1919,25,RICHMOND,VA,US,CITY,1,CASES
1919,30,RICHMOND,VA,US,CITY,1,CASES
1920,35,RICHMOND,VA,US,CITY,1,CASES
1920,38,RICHMOND,VA,US,CITY,1,CASES
1920,39,RICHMOND,VA,US,CITY,1,CASES
1921,6,RICHMOND,VA,US,CITY,1,CASES
1921,12,RICHMOND,VA,US,CITY,1,CASES
1921,17,RICHMOND,VA,US,CITY,1,CASES
1921,18,RICHMOND,VA,US,CITY,1,CASES
1921,24,RICHMOND,VA,US,CITY,1,CASES
1921,25,RICHMOND,VA,US,CITY,1,CASES
1921,45,RICHMOND,VA,US,CITY,1,CASES
1922,3,RICHMOND,VA,US,CITY,1,CASES
1923,12,RICHMOND,VA,US,CITY,1,CASES
1923,23,RICHMOND,VA,US,CITY,1,CASES
1924,20,RICHMOND,VA,US,CITY,0,CASES
1924,29,RICHMOND,VA,US,CITY,0,CASES
1924,38,RICHMOND,VA,US,CITY,0,CASES
1924,40,RICHMOND,VA,US,CITY,0,CASES
1924,47,RICHMOND,VA,US,CITY,0,CASES
1924,50,RICHMOND,VA,US,CITY,0,CASES
1924,51,RICHMOND,VA,US,CITY,0,CASES
1924,53,RICHMOND,VA,US,CITY,0,CASES
1925,3,RICHMOND,VA,US,CITY,0,CASES
1925,20,RICHMOND,VA,US,CITY,0,CASES
1925,24,RICHMOND,VA,US,CITY,0,CASES
1925,28,RICHMOND,VA,US,CITY,0,CASES
1925,29,RICHMOND,VA,US,CITY,0,CASES
1925,30,RICHMOND,VA,US,CITY,0,CASES
1925,33,RICHMOND,VA,US,CITY,0,CASES
1925,34,RICHMOND,VA,US,CITY,1,CASES
1925,40,RICHMOND,VA,US,CITY,0,CASES
1925,48,RICHMOND,VA,US,CITY,2,CASES
1925,52,RICHMOND,VA,US,CITY,1,CASES
1926,1,RICHMOND,VA,US,CITY,0,CASES
1926,10,RICHMOND,VA,US,CITY,0,CASES
1926,19,RICHMOND,VA,US,CITY,0,CASES
1926,20,RICHMOND,VA,US,CITY,0,CASES
1926,26,RICHMOND,VA,US,CITY,0,CASES
1926,32,RICHMOND,VA,US,CITY,0,CASES
1926,34,RICHMOND,VA,US,CITY,0,CASES
1926,37,RICHMOND,VA,US,CITY,0,CASES
1926,39,RICHMOND,VA,US,CITY,0,CASES
1926,39,RICHMOND,VA,US,CITY,0,CASES
1926,42,RICHMOND,VA,US,CITY,1,CASES
1926,43,RICHMOND,VA,US,CITY,0,CASES
1926,44,RICHMOND,VA,US,CITY,0,CASES
1927,6,RICHMOND,VA,US,CITY,0,CASES
1927,8,RICHMOND,VA,US,CITY,1,CASES
1927,10,RICHMOND,VA,US,CITY,0,CASES
1927,12,RICHMOND,VA,US,CITY,1,CASES
1927,21,RICHMOND,VA,US,CITY,0,CASES
1927,22,RICHMOND,VA,US,CITY,0,CASES
1927,23,RICHMOND,VA,US,CITY,0,CASES
