year,week,loc,state,country,loc_type,number,event
1912,34,RICHMOND,VA,US,CITY,1,CASES
1912,48,RICHMOND,VA,US,CITY,1,CASES
1913,23,RICHMOND,VA,US,CITY,1,CASES
1913,38,RICHMOND,VA,US,CITY,1,CASES
1913,39,RICHMOND,VA,US,CITY,1,CASES
1913,41,RICHMOND,VA,US,CITY,1,CASES
1913,42,RICHMOND,VA,US,CITY,1,CASES
1913,43,RICHMOND,VA,US,CITY,1,CASES
1913,46,RICHMOND,VA,US,CITY,1,CASES
1915,30,RICHMOND,VA,US,CITY,1,CASES
1916,28,RICHMOND,VA,US,CITY,1,CASES
1916,30,RICHMOND,VA,US,CITY,1,CASES
1916,31,RICHMOND,VA,US,CITY,1,CASES
1916,33,RICHMOND,VA,US,CITY,1,CASES
1916,35,RICHMOND,VA,US,CITY,2,CASES
1916,37,RICHMOND,VA,US,CITY,3,CASES
1916,38,RICHMOND,VA,US,CITY,1,CASES
1916,39,RICHMOND,VA,US,CITY,1,CASES
1916,40,RICHMOND,VA,US,CITY,1,CASES
1916,41,RICHMOND,VA,US,CITY,1,CASES
1916,42,RICHMOND,VA,US,CITY,3,CASES
1916,43,RICHMOND,VA,US,CITY,1,CASES
1916,44,RICHMOND,VA,US,CITY,1,CASES
1917,28,RICHMOND,VA,US,CITY,2,CASES
1917,29,RICHMOND,VA,US,CITY,1,CASES
1917,40,RICHMOND,VA,US,CITY,1,CASES
1917,43,RICHMOND,VA,US,CITY,1,CASES
1917,44,RICHMOND,VA,US,CITY,1,CASES
1918,13,RICHMOND,VA,US,CITY,1,CASES
1918,22,RICHMOND,VA,US,CITY,1,CASES
1918,25,RICHMOND,VA,US,CITY,1,CASES
1919,2,RICHMOND,VA,US,CITY,1,CASES
1919,30,RICHMOND,VA,US,CITY,1,CASES
1919,31,RICHMOND,VA,US,CITY,1,CASES
1919,32,RICHMOND,VA,US,CITY,1,CASES
1919,38,RICHMOND,VA,US,CITY,3,CASES
1919,39,RICHMOND,VA,US,CITY,1,CASES
1919,42,RICHMOND,VA,US,CITY,1,CASES
1919,43,RICHMOND,VA,US,CITY,1,CASES
1921,29,RICHMOND,VA,US,CITY,1,CASES
1921,30,RICHMOND,VA,US,CITY,1,CASES
1921,32,RICHMOND,VA,US,CITY,2,CASES
1921,36,RICHMOND,VA,US,CITY,1,CASES
1921,40,RICHMOND,VA,US,CITY,1,CASES
1921,41,RICHMOND,VA,US,CITY,2,CASES
1921,45,RICHMOND,VA,US,CITY,1,CASES
1922,31,RICHMOND,VA,US,CITY,1,CASES
1922,38,RICHMOND,VA,US,CITY,1,CASES
1922,51,RICHMOND,VA,US,CITY,1,CASES
1923,27,RICHMOND,VA,US,CITY,1,CASES
1924,20,RICHMOND,VA,US,CITY,0,CASES
1924,29,RICHMOND,VA,US,CITY,0,CASES
1924,38,RICHMOND,VA,US,CITY,0,CASES
1924,40,RICHMOND,VA,US,CITY,2,CASES
1924,47,RICHMOND,VA,US,CITY,0,CASES
1924,50,RICHMOND,VA,US,CITY,0,CASES
1924,51,RICHMOND,VA,US,CITY,0,CASES
1924,53,RICHMOND,VA,US,CITY,0,CASES
1925,3,RICHMOND,VA,US,CITY,0,CASES
1925,20,RICHMOND,VA,US,CITY,0,CASES
1925,24,RICHMOND,VA,US,CITY,0,CASES
1925,28,RICHMOND,VA,US,CITY,1,CASES
