year,week,loc,state,country,loc_type,number,event
1920,4,RIVERSIDE,CA,US,CITY,3,CASES
1920,5,RIVERSIDE,CA,US,CITY,65,CASES
1920,6,RIVERSIDE,CA,US,CITY,97,CASES
1920,7,RIVERSIDE,CA,US,CITY,106,CASES
1920,10,RIVERSIDE,CA,US,CITY,50,CASES
1920,12,RIVERSIDE,CA,US,CITY,4,CASES
1920,13,RIVERSIDE,CA,US,CITY,41,CASES
1920,14,RIVERSIDE,CA,US,CITY,25,CASES
1920,15,RIVERSIDE,CA,US,CITY,1,CASES
1920,16,RIVERSIDE,CA,US,CITY,5,CASES
1920,18,RIVERSIDE,CA,US,CITY,1,CASES
1920,41,RIVERSIDE,CA,US,CITY,2,CASES
1920,42,RIVERSIDE,CA,US,CITY,2,CASES
1922,7,RIVERSIDE,CA,US,CITY,4,CASES
1922,8,RIVERSIDE,CA,US,CITY,23,CASES
1922,9,RIVERSIDE,CA,US,CITY,10,CASES
1922,10,RIVERSIDE,CA,US,CITY,77,CASES
1922,11,RIVERSIDE,CA,US,CITY,46,CASES
1922,12,RIVERSIDE,CA,US,CITY,6,CASES
1922,13,RIVERSIDE,CA,US,CITY,21,CASES
1922,15,RIVERSIDE,CA,US,CITY,1,CASES
1922,50,RIVERSIDE,CA,US,CITY,3,CASES
1923,2,RIVERSIDE,CA,US,CITY,1,CASES
1923,8,RIVERSIDE,CA,US,CITY,1,CASES
