year,week,loc,state,country,loc_type,number,event
1918,39,RIVERSIDE,CA,US,CITY,1,CASES
1918,46,RIVERSIDE,CA,US,CITY,1,CASES
1918,47,RIVERSIDE,CA,US,CITY,1,CASES
1918,49,RIVERSIDE,CA,US,CITY,3,CASES
1918,50,RIVERSIDE,CA,US,CITY,1,CASES
1918,51,RIVERSIDE,CA,US,CITY,1,CASES
1918,52,RIVERSIDE,CA,US,CITY,1,CASES
1919,4,RIVERSIDE,CA,US,CITY,2,CASES
1919,8,RIVERSIDE,CA,US,CITY,1,CASES
1919,12,RIVERSIDE,CA,US,CITY,1,CASES
1919,13,RIVERSIDE,CA,US,CITY,1,CASES
1919,14,RIVERSIDE,CA,US,CITY,1,CASES
1919,15,RIVERSIDE,CA,US,CITY,5,CASES
1919,16,RIVERSIDE,CA,US,CITY,1,CASES
1919,17,RIVERSIDE,CA,US,CITY,2,CASES
1919,47,RIVERSIDE,CA,US,CITY,1,CASES
1919,48,RIVERSIDE,CA,US,CITY,1,CASES
1920,19,RIVERSIDE,CA,US,CITY,1,CASES
1921,5,RIVERSIDE,CA,US,CITY,1,CASES
1921,8,RIVERSIDE,CA,US,CITY,2,CASES
1921,12,RIVERSIDE,CA,US,CITY,2,CASES
1921,13,RIVERSIDE,CA,US,CITY,20,CASES
1921,18,RIVERSIDE,CA,US,CITY,3,CASES
1921,19,RIVERSIDE,CA,US,CITY,2,CASES
1921,20,RIVERSIDE,CA,US,CITY,2,CASES
1921,22,RIVERSIDE,CA,US,CITY,1,CASES
1921,23,RIVERSIDE,CA,US,CITY,2,CASES
1921,24,RIVERSIDE,CA,US,CITY,2,CASES
1921,25,RIVERSIDE,CA,US,CITY,1,CASES
1921,28,RIVERSIDE,CA,US,CITY,2,CASES
1921,29,RIVERSIDE,CA,US,CITY,3,CASES
1921,34,RIVERSIDE,CA,US,CITY,1,CASES
1921,35,RIVERSIDE,CA,US,CITY,1,CASES
1921,47,RIVERSIDE,CA,US,CITY,2,CASES
1921,48,RIVERSIDE,CA,US,CITY,3,CASES
1921,49,RIVERSIDE,CA,US,CITY,2,CASES
1921,50,RIVERSIDE,CA,US,CITY,1,CASES
1922,5,RIVERSIDE,CA,US,CITY,1,CASES
1922,31,RIVERSIDE,CA,US,CITY,1,CASES
1922,33,RIVERSIDE,CA,US,CITY,2,CASES
1922,35,RIVERSIDE,CA,US,CITY,1,CASES
1922,38,RIVERSIDE,CA,US,CITY,1,CASES
1922,39,RIVERSIDE,CA,US,CITY,1,CASES
1922,42,RIVERSIDE,CA,US,CITY,1,CASES
1922,43,RIVERSIDE,CA,US,CITY,4,CASES
1922,44,RIVERSIDE,CA,US,CITY,1,CASES
1922,45,RIVERSIDE,CA,US,CITY,1,CASES
1922,47,RIVERSIDE,CA,US,CITY,3,CASES
1923,2,RIVERSIDE,CA,US,CITY,4,CASES
1923,3,RIVERSIDE,CA,US,CITY,4,CASES
1923,5,RIVERSIDE,CA,US,CITY,1,CASES
1923,9,RIVERSIDE,CA,US,CITY,1,CASES
1923,10,RIVERSIDE,CA,US,CITY,2,CASES
1923,11,RIVERSIDE,CA,US,CITY,1,CASES
1923,13,RIVERSIDE,CA,US,CITY,2,CASES
1923,14,RIVERSIDE,CA,US,CITY,2,CASES
1923,15,RIVERSIDE,CA,US,CITY,1,CASES
1923,16,RIVERSIDE,CA,US,CITY,1,CASES
1923,19,RIVERSIDE,CA,US,CITY,2,CASES
1923,20,RIVERSIDE,CA,US,CITY,3,CASES
1923,21,RIVERSIDE,CA,US,CITY,4,CASES
1923,23,RIVERSIDE,CA,US,CITY,1,CASES
1923,25,RIVERSIDE,CA,US,CITY,1,CASES
1923,26,RIVERSIDE,CA,US,CITY,1,CASES
1923,27,RIVERSIDE,CA,US,CITY,1,CASES
1923,30,RIVERSIDE,CA,US,CITY,2,CASES
1923,32,RIVERSIDE,CA,US,CITY,3,CASES
1923,40,RIVERSIDE,CA,US,CITY,1,CASES
1923,42,RIVERSIDE,CA,US,CITY,7,CASES
1923,43,RIVERSIDE,CA,US,CITY,6,CASES
1923,45,RIVERSIDE,CA,US,CITY,1,CASES
1923,46,RIVERSIDE,CA,US,CITY,3,CASES
1923,47,RIVERSIDE,CA,US,CITY,2,CASES
1923,48,RIVERSIDE,CA,US,CITY,3,CASES
1923,49,RIVERSIDE,CA,US,CITY,7,CASES
1923,50,RIVERSIDE,CA,US,CITY,6,CASES
1923,51,RIVERSIDE,CA,US,CITY,1,CASES
1923,52,RIVERSIDE,CA,US,CITY,10,CASES
