year,week,loc,state,country,loc_type,number,event
1910,52,ROANOKE,VA,US,CITY,3,CASES
1911,1,ROANOKE,VA,US,CITY,2,CASES
1911,2,ROANOKE,VA,US,CITY,3,CASES
1911,4,ROANOKE,VA,US,CITY,4,CASES
1911,7,ROANOKE,VA,US,CITY,1,CASES
1911,8,ROANOKE,VA,US,CITY,4,CASES
1911,14,ROANOKE,VA,US,CITY,2,CASES
1911,17,ROANOKE,VA,US,CITY,2,CASES
1911,18,ROANOKE,VA,US,CITY,1,CASES
1911,19,ROANOKE,VA,US,CITY,2,CASES
1911,21,ROANOKE,VA,US,CITY,1,CASES
1911,23,ROANOKE,VA,US,CITY,4,CASES
1911,24,ROANOKE,VA,US,CITY,2,CASES
1911,33,ROANOKE,VA,US,CITY,1,CASES
1911,36,ROANOKE,VA,US,CITY,3,CASES
1911,37,ROANOKE,VA,US,CITY,4,CASES
1911,38,ROANOKE,VA,US,CITY,4,CASES
1911,39,ROANOKE,VA,US,CITY,12,CASES
1911,42,ROANOKE,VA,US,CITY,7,CASES
1911,43,ROANOKE,VA,US,CITY,9,CASES
1911,44,ROANOKE,VA,US,CITY,7,CASES
1911,45,ROANOKE,VA,US,CITY,26,CASES
1911,46,ROANOKE,VA,US,CITY,11,CASES
1911,47,ROANOKE,VA,US,CITY,12,CASES
1911,48,ROANOKE,VA,US,CITY,7,CASES
1911,49,ROANOKE,VA,US,CITY,12,CASES
1911,50,ROANOKE,VA,US,CITY,11,CASES
1911,51,ROANOKE,VA,US,CITY,4,CASES
1911,52,ROANOKE,VA,US,CITY,4,CASES
1912,1,ROANOKE,VA,US,CITY,5,CASES
1912,2,ROANOKE,VA,US,CITY,3,CASES
1912,3,ROANOKE,VA,US,CITY,1,CASES
1912,4,ROANOKE,VA,US,CITY,3,CASES
1912,5,ROANOKE,VA,US,CITY,2,CASES
1912,6,ROANOKE,VA,US,CITY,1,CASES
1912,7,ROANOKE,VA,US,CITY,2,CASES
1912,8,ROANOKE,VA,US,CITY,1,CASES
1912,10,ROANOKE,VA,US,CITY,2,CASES
1912,11,ROANOKE,VA,US,CITY,1,CASES
1912,12,ROANOKE,VA,US,CITY,3,CASES
1912,14,ROANOKE,VA,US,CITY,2,CASES
1912,18,ROANOKE,VA,US,CITY,1,CASES
1912,20,ROANOKE,VA,US,CITY,1,CASES
1912,31,ROANOKE,VA,US,CITY,1,CASES
1912,33,ROANOKE,VA,US,CITY,4,CASES
1912,35,ROANOKE,VA,US,CITY,1,CASES
1912,39,ROANOKE,VA,US,CITY,2,CASES
1912,40,ROANOKE,VA,US,CITY,7,CASES
1912,41,ROANOKE,VA,US,CITY,5,CASES
1912,42,ROANOKE,VA,US,CITY,6,CASES
1912,43,ROANOKE,VA,US,CITY,4,CASES
1912,44,ROANOKE,VA,US,CITY,3,CASES
1912,45,ROANOKE,VA,US,CITY,7,CASES
1912,46,ROANOKE,VA,US,CITY,3,CASES
1912,47,ROANOKE,VA,US,CITY,4,CASES
1912,48,ROANOKE,VA,US,CITY,1,CASES
1912,49,ROANOKE,VA,US,CITY,5,CASES
1912,50,ROANOKE,VA,US,CITY,6,CASES
1912,51,ROANOKE,VA,US,CITY,1,CASES
1912,52,ROANOKE,VA,US,CITY,3,CASES
1913,1,ROANOKE,VA,US,CITY,3,CASES
1913,3,ROANOKE,VA,US,CITY,1,CASES
1913,4,ROANOKE,VA,US,CITY,2,CASES
1913,6,ROANOKE,VA,US,CITY,1,CASES
1913,7,ROANOKE,VA,US,CITY,1,CASES
1913,8,ROANOKE,VA,US,CITY,1,CASES
1913,9,ROANOKE,VA,US,CITY,1,CASES
1913,11,ROANOKE,VA,US,CITY,1,CASES
1913,12,ROANOKE,VA,US,CITY,1,CASES
1913,13,ROANOKE,VA,US,CITY,1,CASES
1913,24,ROANOKE,VA,US,CITY,2,CASES
1913,33,ROANOKE,VA,US,CITY,2,CASES
1913,34,ROANOKE,VA,US,CITY,2,CASES
1913,35,ROANOKE,VA,US,CITY,2,CASES
1913,36,ROANOKE,VA,US,CITY,1,CASES
1913,37,ROANOKE,VA,US,CITY,1,CASES
1913,38,ROANOKE,VA,US,CITY,5,CASES
1913,39,ROANOKE,VA,US,CITY,2,CASES
1913,40,ROANOKE,VA,US,CITY,5,CASES
1913,41,ROANOKE,VA,US,CITY,7,CASES
1913,42,ROANOKE,VA,US,CITY,8,CASES
1913,43,ROANOKE,VA,US,CITY,7,CASES
1913,44,ROANOKE,VA,US,CITY,2,CASES
1913,45,ROANOKE,VA,US,CITY,4,CASES
1913,46,ROANOKE,VA,US,CITY,3,CASES
1913,47,ROANOKE,VA,US,CITY,2,CASES
1913,48,ROANOKE,VA,US,CITY,7,CASES
1913,49,ROANOKE,VA,US,CITY,1,CASES
1913,50,ROANOKE,VA,US,CITY,1,CASES
1913,52,ROANOKE,VA,US,CITY,3,CASES
1914,2,ROANOKE,VA,US,CITY,2,CASES
1914,4,ROANOKE,VA,US,CITY,1,CASES
1914,6,ROANOKE,VA,US,CITY,1,CASES
1914,7,ROANOKE,VA,US,CITY,1,CASES
1914,9,ROANOKE,VA,US,CITY,4,CASES
1914,13,ROANOKE,VA,US,CITY,1,CASES
1914,15,ROANOKE,VA,US,CITY,1,CASES
1914,18,ROANOKE,VA,US,CITY,1,CASES
1914,19,ROANOKE,VA,US,CITY,1,CASES
1914,21,ROANOKE,VA,US,CITY,1,CASES
1914,23,ROANOKE,VA,US,CITY,1,CASES
1914,24,ROANOKE,VA,US,CITY,1,CASES
1914,27,ROANOKE,VA,US,CITY,4,CASES
1914,28,ROANOKE,VA,US,CITY,2,CASES
1914,29,ROANOKE,VA,US,CITY,6,CASES
1914,30,ROANOKE,VA,US,CITY,4,CASES
1914,31,ROANOKE,VA,US,CITY,4,CASES
1914,33,ROANOKE,VA,US,CITY,6,CASES
1914,34,ROANOKE,VA,US,CITY,16,CASES
1914,35,ROANOKE,VA,US,CITY,16,CASES
1914,36,ROANOKE,VA,US,CITY,8,CASES
1914,37,ROANOKE,VA,US,CITY,19,CASES
1914,38,ROANOKE,VA,US,CITY,14,CASES
1914,39,ROANOKE,VA,US,CITY,35,CASES
1914,40,ROANOKE,VA,US,CITY,31,CASES
1914,41,ROANOKE,VA,US,CITY,19,CASES
1914,42,ROANOKE,VA,US,CITY,20,CASES
1914,43,ROANOKE,VA,US,CITY,15,CASES
1914,44,ROANOKE,VA,US,CITY,30,CASES
1914,45,ROANOKE,VA,US,CITY,11,CASES
1914,46,ROANOKE,VA,US,CITY,11,CASES
1914,47,ROANOKE,VA,US,CITY,17,CASES
1914,48,ROANOKE,VA,US,CITY,6,CASES
1914,49,ROANOKE,VA,US,CITY,5,CASES
1914,50,ROANOKE,VA,US,CITY,5,CASES
1914,51,ROANOKE,VA,US,CITY,2,CASES
1914,52,ROANOKE,VA,US,CITY,2,CASES
1915,1,ROANOKE,VA,US,CITY,6,CASES
1915,2,ROANOKE,VA,US,CITY,5,CASES
1915,3,ROANOKE,VA,US,CITY,3,CASES
1915,9,ROANOKE,VA,US,CITY,5,CASES
1915,10,ROANOKE,VA,US,CITY,2,CASES
1915,11,ROANOKE,VA,US,CITY,1,CASES
1915,12,ROANOKE,VA,US,CITY,1,CASES
1915,31,ROANOKE,VA,US,CITY,4,CASES
1915,32,ROANOKE,VA,US,CITY,6,CASES
1915,33,ROANOKE,VA,US,CITY,10,CASES
1915,34,ROANOKE,VA,US,CITY,11,CASES
1915,35,ROANOKE,VA,US,CITY,18,CASES
1915,36,ROANOKE,VA,US,CITY,11,CASES
1915,37,ROANOKE,VA,US,CITY,22,CASES
1915,38,ROANOKE,VA,US,CITY,40,CASES
1915,39,ROANOKE,VA,US,CITY,43,CASES
1915,40,ROANOKE,VA,US,CITY,52,CASES
1915,41,ROANOKE,VA,US,CITY,29,CASES
