year,week,loc,state,country,loc_type,number,event
1915,2,ROCK ISLAND,IL,US,CITY,2,CASES
1915,3,ROCK ISLAND,IL,US,CITY,1,CASES
1915,5,ROCK ISLAND,IL,US,CITY,1,CASES
1915,6,ROCK ISLAND,IL,US,CITY,2,CASES
1915,7,ROCK ISLAND,IL,US,CITY,2,CASES
1915,10,ROCK ISLAND,IL,US,CITY,2,CASES
1915,15,ROCK ISLAND,IL,US,CITY,2,CASES
1915,16,ROCK ISLAND,IL,US,CITY,2,CASES
1915,17,ROCK ISLAND,IL,US,CITY,2,CASES
1915,18,ROCK ISLAND,IL,US,CITY,1,CASES
1918,42,ROCK ISLAND,IL,US,CITY,10,CASES
1919,53,ROCK ISLAND,IL,US,CITY,1,CASES
1920,1,ROCK ISLAND,IL,US,CITY,1,CASES
1920,2,ROCK ISLAND,IL,US,CITY,2,CASES
1920,3,ROCK ISLAND,IL,US,CITY,7,CASES
1920,4,ROCK ISLAND,IL,US,CITY,10,CASES
1920,5,ROCK ISLAND,IL,US,CITY,26,CASES
1920,6,ROCK ISLAND,IL,US,CITY,18,CASES
1920,7,ROCK ISLAND,IL,US,CITY,7,CASES
1920,8,ROCK ISLAND,IL,US,CITY,8,CASES
1920,9,ROCK ISLAND,IL,US,CITY,2,CASES
1920,10,ROCK ISLAND,IL,US,CITY,4,CASES
1920,11,ROCK ISLAND,IL,US,CITY,3,CASES
1920,12,ROCK ISLAND,IL,US,CITY,1,CASES
1920,13,ROCK ISLAND,IL,US,CITY,1,CASES
1920,14,ROCK ISLAND,IL,US,CITY,1,CASES
1920,15,ROCK ISLAND,IL,US,CITY,1,CASES
1920,16,ROCK ISLAND,IL,US,CITY,1,CASES
1920,17,ROCK ISLAND,IL,US,CITY,2,CASES
1920,18,ROCK ISLAND,IL,US,CITY,2,CASES
1920,19,ROCK ISLAND,IL,US,CITY,4,CASES
1920,20,ROCK ISLAND,IL,US,CITY,2,CASES
1920,21,ROCK ISLAND,IL,US,CITY,3,CASES
1920,22,ROCK ISLAND,IL,US,CITY,3,CASES
1920,23,ROCK ISLAND,IL,US,CITY,1,CASES
1920,35,ROCK ISLAND,IL,US,CITY,1,CASES
1920,39,ROCK ISLAND,IL,US,CITY,1,CASES
1920,40,ROCK ISLAND,IL,US,CITY,1,CASES
1920,41,ROCK ISLAND,IL,US,CITY,2,CASES
1920,42,ROCK ISLAND,IL,US,CITY,2,CASES
1920,45,ROCK ISLAND,IL,US,CITY,1,CASES
1920,46,ROCK ISLAND,IL,US,CITY,4,CASES
1920,47,ROCK ISLAND,IL,US,CITY,3,CASES
1920,48,ROCK ISLAND,IL,US,CITY,3,CASES
1920,50,ROCK ISLAND,IL,US,CITY,1,CASES
1920,51,ROCK ISLAND,IL,US,CITY,2,CASES
1920,52,ROCK ISLAND,IL,US,CITY,4,CASES
1921,1,ROCK ISLAND,IL,US,CITY,3,CASES
1921,2,ROCK ISLAND,IL,US,CITY,3,CASES
1921,3,ROCK ISLAND,IL,US,CITY,2,CASES
1921,5,ROCK ISLAND,IL,US,CITY,4,CASES
1921,6,ROCK ISLAND,IL,US,CITY,4,CASES
1921,7,ROCK ISLAND,IL,US,CITY,3,CASES
1921,9,ROCK ISLAND,IL,US,CITY,4,CASES
1921,10,ROCK ISLAND,IL,US,CITY,4,CASES
1921,12,ROCK ISLAND,IL,US,CITY,1,CASES
1921,13,ROCK ISLAND,IL,US,CITY,1,CASES
1921,14,ROCK ISLAND,IL,US,CITY,1,CASES
1921,17,ROCK ISLAND,IL,US,CITY,5,CASES
1921,18,ROCK ISLAND,IL,US,CITY,2,CASES
1921,19,ROCK ISLAND,IL,US,CITY,1,CASES
1921,35,ROCK ISLAND,IL,US,CITY,2,CASES
1921,45,ROCK ISLAND,IL,US,CITY,1,CASES
1921,46,ROCK ISLAND,IL,US,CITY,2,CASES
1921,47,ROCK ISLAND,IL,US,CITY,1,CASES
1921,49,ROCK ISLAND,IL,US,CITY,2,CASES
1921,50,ROCK ISLAND,IL,US,CITY,2,CASES
1921,51,ROCK ISLAND,IL,US,CITY,1,CASES
1921,52,ROCK ISLAND,IL,US,CITY,3,CASES
1922,2,ROCK ISLAND,IL,US,CITY,5,CASES
1922,6,ROCK ISLAND,IL,US,CITY,5,CASES
1922,7,ROCK ISLAND,IL,US,CITY,2,CASES
1922,9,ROCK ISLAND,IL,US,CITY,7,CASES
1922,10,ROCK ISLAND,IL,US,CITY,5,CASES
1922,12,ROCK ISLAND,IL,US,CITY,3,CASES
1922,15,ROCK ISLAND,IL,US,CITY,3,CASES
1922,16,ROCK ISLAND,IL,US,CITY,1,CASES
1922,18,ROCK ISLAND,IL,US,CITY,2,CASES
1922,19,ROCK ISLAND,IL,US,CITY,3,CASES
1923,8,ROCK ISLAND,IL,US,CITY,4,CASES
1923,18,ROCK ISLAND,IL,US,CITY,2,CASES
1923,21,ROCK ISLAND,IL,US,CITY,1,CASES
1923,23,ROCK ISLAND,IL,US,CITY,1,CASES
1923,29,ROCK ISLAND,IL,US,CITY,1,CASES
1923,39,ROCK ISLAND,IL,US,CITY,1,CASES
1923,41,ROCK ISLAND,IL,US,CITY,1,CASES
1923,42,ROCK ISLAND,IL,US,CITY,1,CASES
1923,45,ROCK ISLAND,IL,US,CITY,1,CASES
1923,46,ROCK ISLAND,IL,US,CITY,1,CASES
1923,48,ROCK ISLAND,IL,US,CITY,1,CASES
1923,52,ROCK ISLAND,IL,US,CITY,2,CASES
