year,week,loc,state,country,loc_type,number,event
1908,7,ROCK ISLAND,IL,US,CITY,2,CASES
1908,8,ROCK ISLAND,IL,US,CITY,1,CASES
1908,9,ROCK ISLAND,IL,US,CITY,1,CASES
1908,12,ROCK ISLAND,IL,US,CITY,1,CASES
1908,15,ROCK ISLAND,IL,US,CITY,1,CASES
1908,23,ROCK ISLAND,IL,US,CITY,1,CASES
1908,24,ROCK ISLAND,IL,US,CITY,1,CASES
1908,37,ROCK ISLAND,IL,US,CITY,3,CASES
1908,38,ROCK ISLAND,IL,US,CITY,1,CASES
1908,42,ROCK ISLAND,IL,US,CITY,3,CASES
1908,43,ROCK ISLAND,IL,US,CITY,2,CASES
1908,44,ROCK ISLAND,IL,US,CITY,1,CASES
1908,45,ROCK ISLAND,IL,US,CITY,2,CASES
1908,46,ROCK ISLAND,IL,US,CITY,3,CASES
1908,47,ROCK ISLAND,IL,US,CITY,1,CASES
1908,48,ROCK ISLAND,IL,US,CITY,2,CASES
1908,49,ROCK ISLAND,IL,US,CITY,1,CASES
1908,50,ROCK ISLAND,IL,US,CITY,1,CASES
1909,2,ROCK ISLAND,IL,US,CITY,1,CASES
1909,4,ROCK ISLAND,IL,US,CITY,1,CASES
1909,8,ROCK ISLAND,IL,US,CITY,1,CASES
1909,10,ROCK ISLAND,IL,US,CITY,1,CASES
1909,12,ROCK ISLAND,IL,US,CITY,1,CASES
1909,27,ROCK ISLAND,IL,US,CITY,2,CASES
1910,3,ROCK ISLAND,IL,US,CITY,1,CASES
1910,5,ROCK ISLAND,IL,US,CITY,1,CASES
1910,6,ROCK ISLAND,IL,US,CITY,1,CASES
1910,8,ROCK ISLAND,IL,US,CITY,2,CASES
1910,9,ROCK ISLAND,IL,US,CITY,3,CASES
1910,11,ROCK ISLAND,IL,US,CITY,2,CASES
1910,15,ROCK ISLAND,IL,US,CITY,2,CASES
1910,16,ROCK ISLAND,IL,US,CITY,1,CASES
1910,17,ROCK ISLAND,IL,US,CITY,2,CASES
1910,18,ROCK ISLAND,IL,US,CITY,1,CASES
1910,19,ROCK ISLAND,IL,US,CITY,2,CASES
1910,20,ROCK ISLAND,IL,US,CITY,4,CASES
1910,21,ROCK ISLAND,IL,US,CITY,4,CASES
1910,22,ROCK ISLAND,IL,US,CITY,5,CASES
1910,24,ROCK ISLAND,IL,US,CITY,6,CASES
1910,25,ROCK ISLAND,IL,US,CITY,1,CASES
1910,26,ROCK ISLAND,IL,US,CITY,1,CASES
1910,30,ROCK ISLAND,IL,US,CITY,1,CASES
1910,32,ROCK ISLAND,IL,US,CITY,2,CASES
1910,33,ROCK ISLAND,IL,US,CITY,1,CASES
1910,34,ROCK ISLAND,IL,US,CITY,1,CASES
1910,36,ROCK ISLAND,IL,US,CITY,1,CASES
1910,52,ROCK ISLAND,IL,US,CITY,1,CASES
1911,2,ROCK ISLAND,IL,US,CITY,1,CASES
1911,4,ROCK ISLAND,IL,US,CITY,1,CASES
1911,6,ROCK ISLAND,IL,US,CITY,3,CASES
1911,7,ROCK ISLAND,IL,US,CITY,2,CASES
1911,8,ROCK ISLAND,IL,US,CITY,1,CASES
1911,13,ROCK ISLAND,IL,US,CITY,1,CASES
1914,52,ROCK ISLAND,IL,US,CITY,1,CASES
1915,1,ROCK ISLAND,IL,US,CITY,1,CASES
1915,2,ROCK ISLAND,IL,US,CITY,3,CASES
1915,4,ROCK ISLAND,IL,US,CITY,2,CASES
1915,5,ROCK ISLAND,IL,US,CITY,1,CASES
1915,8,ROCK ISLAND,IL,US,CITY,1,CASES
1915,9,ROCK ISLAND,IL,US,CITY,1,CASES
1915,11,ROCK ISLAND,IL,US,CITY,2,CASES
1915,12,ROCK ISLAND,IL,US,CITY,1,CASES
1915,13,ROCK ISLAND,IL,US,CITY,1,CASES
1915,16,ROCK ISLAND,IL,US,CITY,1,CASES
1915,17,ROCK ISLAND,IL,US,CITY,1,CASES
1915,23,ROCK ISLAND,IL,US,CITY,1,CASES
1915,24,ROCK ISLAND,IL,US,CITY,1,CASES
1915,25,ROCK ISLAND,IL,US,CITY,1,CASES
1915,30,ROCK ISLAND,IL,US,CITY,2,CASES
1915,32,ROCK ISLAND,IL,US,CITY,2,CASES
1915,36,ROCK ISLAND,IL,US,CITY,1,CASES
1915,38,ROCK ISLAND,IL,US,CITY,1,CASES
1915,39,ROCK ISLAND,IL,US,CITY,2,CASES
1915,41,ROCK ISLAND,IL,US,CITY,3,CASES
1915,44,ROCK ISLAND,IL,US,CITY,4,CASES
1915,45,ROCK ISLAND,IL,US,CITY,4,CASES
1915,46,ROCK ISLAND,IL,US,CITY,3,CASES
1915,47,ROCK ISLAND,IL,US,CITY,2,CASES
1915,48,ROCK ISLAND,IL,US,CITY,3,CASES
1915,49,ROCK ISLAND,IL,US,CITY,3,CASES
1915,50,ROCK ISLAND,IL,US,CITY,3,CASES
1916,1,ROCK ISLAND,IL,US,CITY,2,CASES
1916,2,ROCK ISLAND,IL,US,CITY,1,CASES
1916,3,ROCK ISLAND,IL,US,CITY,2,CASES
1916,9,ROCK ISLAND,IL,US,CITY,2,CASES
1916,12,ROCK ISLAND,IL,US,CITY,2,CASES
1916,15,ROCK ISLAND,IL,US,CITY,1,CASES
1916,16,ROCK ISLAND,IL,US,CITY,1,CASES
1916,17,ROCK ISLAND,IL,US,CITY,4,CASES
1916,21,ROCK ISLAND,IL,US,CITY,4,CASES
1916,24,ROCK ISLAND,IL,US,CITY,3,CASES
1916,26,ROCK ISLAND,IL,US,CITY,1,CASES
1916,27,ROCK ISLAND,IL,US,CITY,2,CASES
1916,45,ROCK ISLAND,IL,US,CITY,2,CASES
1916,46,ROCK ISLAND,IL,US,CITY,1,CASES
1916,47,ROCK ISLAND,IL,US,CITY,1,CASES
1917,24,ROCK ISLAND,IL,US,CITY,2,CASES
1917,27,ROCK ISLAND,IL,US,CITY,1,CASES
1917,28,ROCK ISLAND,IL,US,CITY,1,CASES
1917,30,ROCK ISLAND,IL,US,CITY,1,CASES
1917,45,ROCK ISLAND,IL,US,CITY,1,CASES
1917,46,ROCK ISLAND,IL,US,CITY,2,CASES
1917,47,ROCK ISLAND,IL,US,CITY,1,CASES
1918,2,ROCK ISLAND,IL,US,CITY,2,CASES
1918,3,ROCK ISLAND,IL,US,CITY,3,CASES
1918,6,ROCK ISLAND,IL,US,CITY,2,CASES
1918,7,ROCK ISLAND,IL,US,CITY,9,CASES
1918,8,ROCK ISLAND,IL,US,CITY,4,CASES
1918,9,ROCK ISLAND,IL,US,CITY,3,CASES
1918,11,ROCK ISLAND,IL,US,CITY,3,CASES
1918,12,ROCK ISLAND,IL,US,CITY,2,CASES
1918,13,ROCK ISLAND,IL,US,CITY,4,CASES
1918,14,ROCK ISLAND,IL,US,CITY,3,CASES
1918,15,ROCK ISLAND,IL,US,CITY,3,CASES
1918,16,ROCK ISLAND,IL,US,CITY,1,CASES
1918,17,ROCK ISLAND,IL,US,CITY,6,CASES
1918,18,ROCK ISLAND,IL,US,CITY,3,CASES
1918,19,ROCK ISLAND,IL,US,CITY,6,CASES
1918,20,ROCK ISLAND,IL,US,CITY,2,CASES
1918,21,ROCK ISLAND,IL,US,CITY,6,CASES
1918,24,ROCK ISLAND,IL,US,CITY,3,CASES
1918,26,ROCK ISLAND,IL,US,CITY,4,CASES
1918,27,ROCK ISLAND,IL,US,CITY,2,CASES
1918,30,ROCK ISLAND,IL,US,CITY,1,CASES
1918,49,ROCK ISLAND,IL,US,CITY,2,CASES
1918,51,ROCK ISLAND,IL,US,CITY,1,CASES
1919,11,ROCK ISLAND,IL,US,CITY,1,CASES
1919,20,ROCK ISLAND,IL,US,CITY,2,CASES
