year,week,loc,state,country,loc_type,number,event
1912,16,RUTLAND,VT,US,CITY,2,CASES
1912,23,RUTLAND,VT,US,CITY,1,CASES
1912,40,RUTLAND,VT,US,CITY,1,CASES
1913,45,RUTLAND,VT,US,CITY,1,CASES
1913,46,RUTLAND,VT,US,CITY,3,CASES
1914,1,RUTLAND,VT,US,CITY,4,CASES
1914,8,RUTLAND,VT,US,CITY,4,CASES
1914,14,RUTLAND,VT,US,CITY,1,CASES
1914,20,RUTLAND,VT,US,CITY,1,CASES
1914,37,RUTLAND,VT,US,CITY,1,CASES
1915,42,RUTLAND,VT,US,CITY,1,CASES
1917,40,RUTLAND,VT,US,CITY,1,CASES
1917,41,RUTLAND,VT,US,CITY,1,CASES
1917,50,RUTLAND,VT,US,CITY,1,CASES
1918,8,RUTLAND,VT,US,CITY,1,CASES
1918,9,RUTLAND,VT,US,CITY,1,CASES
1918,12,RUTLAND,VT,US,CITY,2,CASES
1918,13,RUTLAND,VT,US,CITY,1,CASES
1918,14,RUTLAND,VT,US,CITY,1,CASES
1918,20,RUTLAND,VT,US,CITY,4,CASES
1918,21,RUTLAND,VT,US,CITY,2,CASES
1918,39,RUTLAND,VT,US,CITY,2,CASES
1918,40,RUTLAND,VT,US,CITY,4,CASES
1918,41,RUTLAND,VT,US,CITY,16,CASES
1918,50,RUTLAND,VT,US,CITY,2,CASES
1919,49,RUTLAND,VT,US,CITY,2,CASES
1919,53,RUTLAND,VT,US,CITY,1,CASES
1920,1,RUTLAND,VT,US,CITY,1,CASES
1920,5,RUTLAND,VT,US,CITY,2,CASES
1920,6,RUTLAND,VT,US,CITY,2,CASES
1920,12,RUTLAND,VT,US,CITY,1,CASES
1920,21,RUTLAND,VT,US,CITY,2,CASES
1920,26,RUTLAND,VT,US,CITY,1,CASES
1920,45,RUTLAND,VT,US,CITY,1,CASES
1921,3,RUTLAND,VT,US,CITY,2,CASES
1921,20,RUTLAND,VT,US,CITY,1,CASES
1921,50,RUTLAND,VT,US,CITY,1,CASES
1922,3,RUTLAND,VT,US,CITY,1,CASES
1922,4,RUTLAND,VT,US,CITY,1,CASES
1922,9,RUTLAND,VT,US,CITY,3,CASES
1922,10,RUTLAND,VT,US,CITY,2,CASES
1922,14,RUTLAND,VT,US,CITY,1,CASES
1922,15,RUTLAND,VT,US,CITY,1,CASES
1922,37,RUTLAND,VT,US,CITY,1,CASES
1923,4,RUTLAND,VT,US,CITY,1,CASES
1923,7,RUTLAND,VT,US,CITY,1,CASES
1923,23,RUTLAND,VT,US,CITY,1,CASES
