year,week,loc,state,country,loc_type,number,event
1912,41,SACRAMENTO,CA,US,CITY,1,CASES
1912,42,SACRAMENTO,CA,US,CITY,2,CASES
1913,42,SACRAMENTO,CA,US,CITY,1,CASES
1914,40,SACRAMENTO,CA,US,CITY,1,CASES
1916,47,SACRAMENTO,CA,US,CITY,1,CASES
1921,23,SACRAMENTO,CA,US,CITY,1,CASES
1921,29,SACRAMENTO,CA,US,CITY,1,CASES
1921,30,SACRAMENTO,CA,US,CITY,1,CASES
1921,32,SACRAMENTO,CA,US,CITY,1,CASES
1921,33,SACRAMENTO,CA,US,CITY,3,CASES
1921,34,SACRAMENTO,CA,US,CITY,2,CASES
1921,35,SACRAMENTO,CA,US,CITY,6,CASES
1921,36,SACRAMENTO,CA,US,CITY,1,CASES
1921,37,SACRAMENTO,CA,US,CITY,1,CASES
1921,38,SACRAMENTO,CA,US,CITY,2,CASES
1921,39,SACRAMENTO,CA,US,CITY,2,CASES
1921,42,SACRAMENTO,CA,US,CITY,1,CASES
1923,31,SACRAMENTO,CA,US,CITY,1,CASES
1923,40,SACRAMENTO,CA,US,CITY,2,CASES
1923,41,SACRAMENTO,CA,US,CITY,1,CASES
1923,43,SACRAMENTO,CA,US,CITY,1,CASES
1924,17,SACRAMENTO,CA,US,CITY,0,CASES
1924,23,SACRAMENTO,CA,US,CITY,0,CASES
1924,43,SACRAMENTO,CA,US,CITY,0,CASES
1925,1,SACRAMENTO,CA,US,CITY,1,CASES
1925,13,SACRAMENTO,CA,US,CITY,0,CASES
1925,21,SACRAMENTO,CA,US,CITY,1,CASES
1925,23,SACRAMENTO,CA,US,CITY,0,CASES
1925,24,SACRAMENTO,CA,US,CITY,0,CASES
1925,26,SACRAMENTO,CA,US,CITY,5,CASES
1925,27,SACRAMENTO,CA,US,CITY,0,CASES
1925,29,SACRAMENTO,CA,US,CITY,0,CASES
1925,31,SACRAMENTO,CA,US,CITY,2,CASES
1925,32,SACRAMENTO,CA,US,CITY,1,CASES
1925,33,SACRAMENTO,CA,US,CITY,1,CASES
1925,34,SACRAMENTO,CA,US,CITY,1,CASES
1925,35,SACRAMENTO,CA,US,CITY,0,CASES
1925,36,SACRAMENTO,CA,US,CITY,1,CASES
1925,37,SACRAMENTO,CA,US,CITY,0,CASES
1925,39,SACRAMENTO,CA,US,CITY,0,CASES
1925,42,SACRAMENTO,CA,US,CITY,1,CASES
1925,43,SACRAMENTO,CA,US,CITY,0,CASES
1925,44,SACRAMENTO,CA,US,CITY,1,CASES
1925,52,SACRAMENTO,CA,US,CITY,1,CASES
1926,2,SACRAMENTO,CA,US,CITY,0,CASES
1926,5,SACRAMENTO,CA,US,CITY,0,CASES
1926,7,SACRAMENTO,CA,US,CITY,0,CASES
1926,8,SACRAMENTO,CA,US,CITY,0,CASES
1926,9,SACRAMENTO,CA,US,CITY,0,CASES
1926,10,SACRAMENTO,CA,US,CITY,0,CASES
1926,13,SACRAMENTO,CA,US,CITY,0,CASES
1926,15,SACRAMENTO,CA,US,CITY,0,CASES
1926,16,SACRAMENTO,CA,US,CITY,0,CASES
1926,17,SACRAMENTO,CA,US,CITY,0,CASES
1926,18,SACRAMENTO,CA,US,CITY,0,CASES
1926,20,SACRAMENTO,CA,US,CITY,0,CASES
1926,23,SACRAMENTO,CA,US,CITY,0,CASES
1926,26,SACRAMENTO,CA,US,CITY,1,CASES
1926,28,SACRAMENTO,CA,US,CITY,1,CASES
1926,31,SACRAMENTO,CA,US,CITY,0,CASES
1926,33,SACRAMENTO,CA,US,CITY,0,CASES
1926,34,SACRAMENTO,CA,US,CITY,0,CASES
