year,week,loc,state,country,loc_type,number,event
1924,1,SALT LAKE CITY,UT,US,CITY,34,CASES
1924,2,SALT LAKE CITY,UT,US,CITY,42,CASES
1924,3,SALT LAKE CITY,UT,US,CITY,20,CASES
1924,4,SALT LAKE CITY,UT,US,CITY,46,CASES
1924,5,SALT LAKE CITY,UT,US,CITY,23,CASES
1924,6,SALT LAKE CITY,UT,US,CITY,23,CASES
1924,7,SALT LAKE CITY,UT,US,CITY,24,CASES
1924,8,SALT LAKE CITY,UT,US,CITY,30,CASES
1924,9,SALT LAKE CITY,UT,US,CITY,23,CASES
1924,10,SALT LAKE CITY,UT,US,CITY,17,CASES
1924,11,SALT LAKE CITY,UT,US,CITY,26,CASES
1924,12,SALT LAKE CITY,UT,US,CITY,18,CASES
1924,14,SALT LAKE CITY,UT,US,CITY,8,CASES
1924,15,SALT LAKE CITY,UT,US,CITY,72,CASES
1924,16,SALT LAKE CITY,UT,US,CITY,17,CASES
1924,17,SALT LAKE CITY,UT,US,CITY,22,CASES
1924,18,SALT LAKE CITY,UT,US,CITY,28,CASES
1924,19,SALT LAKE CITY,UT,US,CITY,7,CASES
1924,20,SALT LAKE CITY,UT,US,CITY,35,CASES
1924,21,SALT LAKE CITY,UT,US,CITY,22,CASES
1924,22,SALT LAKE CITY,UT,US,CITY,24,CASES
1924,23,SALT LAKE CITY,UT,US,CITY,24,CASES
1924,24,SALT LAKE CITY,UT,US,CITY,24,CASES
1924,25,SALT LAKE CITY,UT,US,CITY,27,CASES
1924,26,SALT LAKE CITY,UT,US,CITY,19,CASES
1924,27,SALT LAKE CITY,UT,US,CITY,6,CASES
1924,28,SALT LAKE CITY,UT,US,CITY,14,CASES
1924,29,SALT LAKE CITY,UT,US,CITY,13,CASES
1924,30,SALT LAKE CITY,UT,US,CITY,4,CASES
1924,32,SALT LAKE CITY,UT,US,CITY,4,CASES
1924,33,SALT LAKE CITY,UT,US,CITY,2,CASES
1924,34,SALT LAKE CITY,UT,US,CITY,2,CASES
1924,35,SALT LAKE CITY,UT,US,CITY,2,CASES
1924,36,SALT LAKE CITY,UT,US,CITY,3,CASES
1924,37,SALT LAKE CITY,UT,US,CITY,7,CASES
1924,38,SALT LAKE CITY,UT,US,CITY,3,CASES
1924,40,SALT LAKE CITY,UT,US,CITY,11,CASES
1924,41,SALT LAKE CITY,UT,US,CITY,19,CASES
1924,42,SALT LAKE CITY,UT,US,CITY,22,CASES
1924,43,SALT LAKE CITY,UT,US,CITY,22,CASES
1924,44,SALT LAKE CITY,UT,US,CITY,24,CASES
1924,45,SALT LAKE CITY,UT,US,CITY,26,CASES
1924,46,SALT LAKE CITY,UT,US,CITY,32,CASES
1924,47,SALT LAKE CITY,UT,US,CITY,56,CASES
1924,48,SALT LAKE CITY,UT,US,CITY,44,CASES
1924,49,SALT LAKE CITY,UT,US,CITY,70,CASES
1924,50,SALT LAKE CITY,UT,US,CITY,75,CASES
1924,51,SALT LAKE CITY,UT,US,CITY,41,CASES
1924,52,SALT LAKE CITY,UT,US,CITY,44,CASES
1924,53,SALT LAKE CITY,UT,US,CITY,30,CASES
1925,1,SALT LAKE CITY,UT,US,CITY,75,CASES
1925,2,SALT LAKE CITY,UT,US,CITY,53,CASES
1925,3,SALT LAKE CITY,UT,US,CITY,50,CASES
1925,4,SALT LAKE CITY,UT,US,CITY,39,CASES
1925,5,SALT LAKE CITY,UT,US,CITY,41,CASES
1925,6,SALT LAKE CITY,UT,US,CITY,43,CASES
1925,7,SALT LAKE CITY,UT,US,CITY,42,CASES
1925,8,SALT LAKE CITY,UT,US,CITY,28,CASES
1925,9,SALT LAKE CITY,UT,US,CITY,20,CASES
1925,10,SALT LAKE CITY,UT,US,CITY,19,CASES
1925,11,SALT LAKE CITY,UT,US,CITY,12,CASES
1925,12,SALT LAKE CITY,UT,US,CITY,18,CASES
1925,13,SALT LAKE CITY,UT,US,CITY,16,CASES
1925,14,SALT LAKE CITY,UT,US,CITY,10,CASES
1925,15,SALT LAKE CITY,UT,US,CITY,0,CASES
1925,16,SALT LAKE CITY,UT,US,CITY,12,CASES
1925,17,SALT LAKE CITY,UT,US,CITY,17,CASES
1925,18,SALT LAKE CITY,UT,US,CITY,13,CASES
1925,19,SALT LAKE CITY,UT,US,CITY,23,CASES
1925,20,SALT LAKE CITY,UT,US,CITY,29,CASES
1925,21,SALT LAKE CITY,UT,US,CITY,21,CASES
1925,22,SALT LAKE CITY,UT,US,CITY,55,CASES
1925,23,SALT LAKE CITY,UT,US,CITY,11,CASES
1925,24,SALT LAKE CITY,UT,US,CITY,48,CASES
1925,25,SALT LAKE CITY,UT,US,CITY,29,CASES
1925,26,SALT LAKE CITY,UT,US,CITY,39,CASES
1925,27,SALT LAKE CITY,UT,US,CITY,22,CASES
1925,28,SALT LAKE CITY,UT,US,CITY,9,CASES
1925,29,SALT LAKE CITY,UT,US,CITY,12,CASES
1925,30,SALT LAKE CITY,UT,US,CITY,5,CASES
1925,31,SALT LAKE CITY,UT,US,CITY,5,CASES
1925,32,SALT LAKE CITY,UT,US,CITY,3,CASES
1925,33,SALT LAKE CITY,UT,US,CITY,1,CASES
1925,34,SALT LAKE CITY,UT,US,CITY,2,CASES
1925,35,SALT LAKE CITY,UT,US,CITY,4,CASES
1925,36,SALT LAKE CITY,UT,US,CITY,2,CASES
1925,37,SALT LAKE CITY,UT,US,CITY,2,CASES
1925,38,SALT LAKE CITY,UT,US,CITY,5,CASES
1925,39,SALT LAKE CITY,UT,US,CITY,7,CASES
1925,40,SALT LAKE CITY,UT,US,CITY,6,CASES
1925,41,SALT LAKE CITY,UT,US,CITY,10,CASES
1925,42,SALT LAKE CITY,UT,US,CITY,25,CASES
1925,43,SALT LAKE CITY,UT,US,CITY,29,CASES
1925,44,SALT LAKE CITY,UT,US,CITY,47,CASES
1925,45,SALT LAKE CITY,UT,US,CITY,33,CASES
1925,46,SALT LAKE CITY,UT,US,CITY,60,CASES
1925,47,SALT LAKE CITY,UT,US,CITY,37,CASES
1925,48,SALT LAKE CITY,UT,US,CITY,62,CASES
