year,week,loc,state,country,loc_type,number,event
1920,3,SALT LAKE CITY,UT,US,CITY,76,CASES
1920,4,SALT LAKE CITY,UT,US,CITY,1233,CASES
1920,5,SALT LAKE CITY,UT,US,CITY,1288,CASES
1920,6,SALT LAKE CITY,UT,US,CITY,476,CASES
1920,7,SALT LAKE CITY,UT,US,CITY,74,CASES
1920,8,SALT LAKE CITY,UT,US,CITY,10,CASES
1920,9,SALT LAKE CITY,UT,US,CITY,12,CASES
1920,46,SALT LAKE CITY,UT,US,CITY,1,CASES
1920,48,SALT LAKE CITY,UT,US,CITY,1,CASES
1920,51,SALT LAKE CITY,UT,US,CITY,1,CASES
1921,4,SALT LAKE CITY,UT,US,CITY,1,CASES
1921,13,SALT LAKE CITY,UT,US,CITY,1,CASES
1922,8,SALT LAKE CITY,UT,US,CITY,8,CASES
1922,9,SALT LAKE CITY,UT,US,CITY,1,CASES
1922,10,SALT LAKE CITY,UT,US,CITY,10,CASES
1922,11,SALT LAKE CITY,UT,US,CITY,15,CASES
1924,1,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,2,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,3,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,5,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,7,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,10,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,11,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,15,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,16,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,17,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,18,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,19,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,20,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,21,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,22,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,23,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,24,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,25,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,26,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,27,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,28,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,29,SALT LAKE CITY,UT,US,CITY,0,CASES
1924,30,SALT LAKE CITY,UT,US,CITY,0,CASES
