year,week,loc,state,country,loc_type,number,event
1923,28,SAN ANTONIO,TX,US,CITY,1,CASES
1924,3,SAN ANTONIO,TX,US,CITY,0,CASES
1924,4,SAN ANTONIO,TX,US,CITY,0,CASES
1924,14,SAN ANTONIO,TX,US,CITY,0,CASES
1924,16,SAN ANTONIO,TX,US,CITY,0,CASES
1924,17,SAN ANTONIO,TX,US,CITY,0,CASES
1924,20,SAN ANTONIO,TX,US,CITY,0,CASES
1924,21,SAN ANTONIO,TX,US,CITY,0,CASES
1924,27,SAN ANTONIO,TX,US,CITY,0,CASES
1924,28,SAN ANTONIO,TX,US,CITY,0,CASES
1924,29,SAN ANTONIO,TX,US,CITY,0,CASES
1924,34,SAN ANTONIO,TX,US,CITY,1,CASES
1924,46,SAN ANTONIO,TX,US,CITY,0,CASES
1924,53,SAN ANTONIO,TX,US,CITY,0,CASES
1925,1,SAN ANTONIO,TX,US,CITY,0,CASES
1925,2,SAN ANTONIO,TX,US,CITY,0,CASES
1925,7,SAN ANTONIO,TX,US,CITY,0,CASES
1925,8,SAN ANTONIO,TX,US,CITY,0,CASES
1925,9,SAN ANTONIO,TX,US,CITY,0,CASES
1925,11,SAN ANTONIO,TX,US,CITY,0,CASES
1925,16,SAN ANTONIO,TX,US,CITY,0,CASES
1925,18,SAN ANTONIO,TX,US,CITY,0,CASES
1925,19,SAN ANTONIO,TX,US,CITY,0,CASES
1925,20,SAN ANTONIO,TX,US,CITY,0,CASES
1925,21,SAN ANTONIO,TX,US,CITY,0,CASES
1925,22,SAN ANTONIO,TX,US,CITY,0,CASES
1925,23,SAN ANTONIO,TX,US,CITY,1,CASES
1925,24,SAN ANTONIO,TX,US,CITY,1,CASES
1925,25,SAN ANTONIO,TX,US,CITY,2,CASES
1925,28,SAN ANTONIO,TX,US,CITY,0,CASES
1925,29,SAN ANTONIO,TX,US,CITY,0,CASES
1925,31,SAN ANTONIO,TX,US,CITY,0,CASES
1925,35,SAN ANTONIO,TX,US,CITY,0,CASES
1925,39,SAN ANTONIO,TX,US,CITY,1,CASES
1925,40,SAN ANTONIO,TX,US,CITY,0,CASES
1925,49,SAN ANTONIO,TX,US,CITY,0,CASES
1925,50,SAN ANTONIO,TX,US,CITY,0,CASES
1926,3,SAN ANTONIO,TX,US,CITY,0,CASES
1926,4,SAN ANTONIO,TX,US,CITY,0,CASES
1926,6,SAN ANTONIO,TX,US,CITY,0,CASES
1926,10,SAN ANTONIO,TX,US,CITY,0,CASES
1926,12,SAN ANTONIO,TX,US,CITY,0,CASES
1926,21,SAN ANTONIO,TX,US,CITY,0,CASES
1926,26,SAN ANTONIO,TX,US,CITY,1,CASES
