year,week,loc,state,country,loc_type,number,event
1911,13,SAN JOSE,CA,US,CITY,1,CASES
1911,18,SAN JOSE,CA,US,CITY,1,CASES
1911,25,SAN JOSE,CA,US,CITY,1,CASES
1916,13,SAN JOSE,CA,US,CITY,1,CASES
1916,15,SAN JOSE,CA,US,CITY,1,CASES
1916,19,SAN JOSE,CA,US,CITY,1,CASES
1916,20,SAN JOSE,CA,US,CITY,3,CASES
1916,21,SAN JOSE,CA,US,CITY,1,CASES
1916,23,SAN JOSE,CA,US,CITY,1,CASES
1916,27,SAN JOSE,CA,US,CITY,2,CASES
1916,28,SAN JOSE,CA,US,CITY,2,CASES
1916,29,SAN JOSE,CA,US,CITY,1,CASES
1916,30,SAN JOSE,CA,US,CITY,1,CASES
1916,32,SAN JOSE,CA,US,CITY,2,CASES
1916,33,SAN JOSE,CA,US,CITY,1,CASES
1916,34,SAN JOSE,CA,US,CITY,1,CASES
1916,35,SAN JOSE,CA,US,CITY,1,CASES
1916,36,SAN JOSE,CA,US,CITY,3,CASES
1916,37,SAN JOSE,CA,US,CITY,10,CASES
1916,39,SAN JOSE,CA,US,CITY,1,CASES
1916,40,SAN JOSE,CA,US,CITY,1,CASES
1916,42,SAN JOSE,CA,US,CITY,1,CASES
1916,43,SAN JOSE,CA,US,CITY,10,CASES
1916,44,SAN JOSE,CA,US,CITY,2,CASES
1916,45,SAN JOSE,CA,US,CITY,1,CASES
1916,46,SAN JOSE,CA,US,CITY,1,CASES
1916,47,SAN JOSE,CA,US,CITY,1,CASES
1916,48,SAN JOSE,CA,US,CITY,2,CASES
1916,49,SAN JOSE,CA,US,CITY,3,CASES
1917,4,SAN JOSE,CA,US,CITY,2,CASES
1917,6,SAN JOSE,CA,US,CITY,1,CASES
1917,8,SAN JOSE,CA,US,CITY,1,CASES
1917,10,SAN JOSE,CA,US,CITY,2,CASES
1917,15,SAN JOSE,CA,US,CITY,2,CASES
1917,19,SAN JOSE,CA,US,CITY,3,CASES
1917,20,SAN JOSE,CA,US,CITY,6,CASES
1917,21,SAN JOSE,CA,US,CITY,1,CASES
1917,22,SAN JOSE,CA,US,CITY,6,CASES
1917,23,SAN JOSE,CA,US,CITY,1,CASES
1917,35,SAN JOSE,CA,US,CITY,1,CASES
1917,45,SAN JOSE,CA,US,CITY,1,CASES
1917,51,SAN JOSE,CA,US,CITY,1,CASES
1918,5,SAN JOSE,CA,US,CITY,1,CASES
1918,7,SAN JOSE,CA,US,CITY,3,CASES
1918,8,SAN JOSE,CA,US,CITY,1,CASES
1918,18,SAN JOSE,CA,US,CITY,1,CASES
1918,32,SAN JOSE,CA,US,CITY,2,CASES
1918,40,SAN JOSE,CA,US,CITY,1,CASES
1919,9,SAN JOSE,CA,US,CITY,1,CASES
1919,18,SAN JOSE,CA,US,CITY,1,CASES
1919,20,SAN JOSE,CA,US,CITY,1,CASES
1919,36,SAN JOSE,CA,US,CITY,1,CASES
1919,45,SAN JOSE,CA,US,CITY,1,CASES
1919,48,SAN JOSE,CA,US,CITY,1,CASES
1919,50,SAN JOSE,CA,US,CITY,1,CASES
1919,51,SAN JOSE,CA,US,CITY,1,CASES
1919,52,SAN JOSE,CA,US,CITY,2,CASES
1920,43,SAN JOSE,CA,US,CITY,1,CASES
1920,44,SAN JOSE,CA,US,CITY,1,CASES
1920,45,SAN JOSE,CA,US,CITY,2,CASES
1921,42,SAN JOSE,CA,US,CITY,5,CASES
1922,49,SAN JOSE,CA,US,CITY,1,CASES
1922,51,SAN JOSE,CA,US,CITY,6,CASES
1923,1,SAN JOSE,CA,US,CITY,3,CASES
1923,12,SAN JOSE,CA,US,CITY,1,CASES
1923,47,SAN JOSE,CA,US,CITY,3,CASES
1916,26,SAN JOSE,CA,US,CITY,2,CASES
