year,week,loc,state,country,loc_type,number,event
1916,20,SAN JOSE,CA,US,CITY,1,CASES
1916,44,SAN JOSE,CA,US,CITY,1,CASES
1916,46,SAN JOSE,CA,US,CITY,1,CASES
1916,48,SAN JOSE,CA,US,CITY,1,CASES
1916,49,SAN JOSE,CA,US,CITY,1,CASES
1917,2,SAN JOSE,CA,US,CITY,2,CASES
1917,4,SAN JOSE,CA,US,CITY,2,CASES
1917,5,SAN JOSE,CA,US,CITY,1,CASES
1917,6,SAN JOSE,CA,US,CITY,5,CASES
1917,7,SAN JOSE,CA,US,CITY,2,CASES
1917,9,SAN JOSE,CA,US,CITY,4,CASES
1917,10,SAN JOSE,CA,US,CITY,1,CASES
1917,11,SAN JOSE,CA,US,CITY,8,CASES
1917,12,SAN JOSE,CA,US,CITY,3,CASES
1917,13,SAN JOSE,CA,US,CITY,11,CASES
1917,14,SAN JOSE,CA,US,CITY,5,CASES
1917,15,SAN JOSE,CA,US,CITY,13,CASES
1917,16,SAN JOSE,CA,US,CITY,7,CASES
1917,17,SAN JOSE,CA,US,CITY,32,CASES
1917,18,SAN JOSE,CA,US,CITY,12,CASES
1917,19,SAN JOSE,CA,US,CITY,36,CASES
1917,20,SAN JOSE,CA,US,CITY,21,CASES
1917,21,SAN JOSE,CA,US,CITY,26,CASES
1917,22,SAN JOSE,CA,US,CITY,19,CASES
1917,23,SAN JOSE,CA,US,CITY,10,CASES
1917,25,SAN JOSE,CA,US,CITY,7,CASES
1917,26,SAN JOSE,CA,US,CITY,5,CASES
1917,27,SAN JOSE,CA,US,CITY,5,CASES
1917,28,SAN JOSE,CA,US,CITY,5,CASES
1917,29,SAN JOSE,CA,US,CITY,6,CASES
1917,31,SAN JOSE,CA,US,CITY,1,CASES
1917,48,SAN JOSE,CA,US,CITY,1,CASES
1917,49,SAN JOSE,CA,US,CITY,1,CASES
1917,50,SAN JOSE,CA,US,CITY,3,CASES
1917,51,SAN JOSE,CA,US,CITY,7,CASES
1917,52,SAN JOSE,CA,US,CITY,1,CASES
1918,1,SAN JOSE,CA,US,CITY,7,CASES
1918,2,SAN JOSE,CA,US,CITY,6,CASES
1918,3,SAN JOSE,CA,US,CITY,3,CASES
1918,4,SAN JOSE,CA,US,CITY,15,CASES
1918,5,SAN JOSE,CA,US,CITY,7,CASES
1918,6,SAN JOSE,CA,US,CITY,6,CASES
1918,7,SAN JOSE,CA,US,CITY,22,CASES
1918,8,SAN JOSE,CA,US,CITY,31,CASES
1918,9,SAN JOSE,CA,US,CITY,17,CASES
1918,10,SAN JOSE,CA,US,CITY,27,CASES
1918,11,SAN JOSE,CA,US,CITY,27,CASES
1918,12,SAN JOSE,CA,US,CITY,28,CASES
1918,13,SAN JOSE,CA,US,CITY,32,CASES
1918,14,SAN JOSE,CA,US,CITY,15,CASES
1918,15,SAN JOSE,CA,US,CITY,6,CASES
1918,16,SAN JOSE,CA,US,CITY,22,CASES
1918,17,SAN JOSE,CA,US,CITY,17,CASES
1918,18,SAN JOSE,CA,US,CITY,10,CASES
1918,19,SAN JOSE,CA,US,CITY,18,CASES
1918,20,SAN JOSE,CA,US,CITY,12,CASES
1918,21,SAN JOSE,CA,US,CITY,8,CASES
1918,22,SAN JOSE,CA,US,CITY,8,CASES
1918,23,SAN JOSE,CA,US,CITY,3,CASES
1918,24,SAN JOSE,CA,US,CITY,8,CASES
1918,25,SAN JOSE,CA,US,CITY,4,CASES
1918,26,SAN JOSE,CA,US,CITY,2,CASES
1918,27,SAN JOSE,CA,US,CITY,2,CASES
1918,28,SAN JOSE,CA,US,CITY,4,CASES
1918,29,SAN JOSE,CA,US,CITY,1,CASES
1918,30,SAN JOSE,CA,US,CITY,2,CASES
1918,31,SAN JOSE,CA,US,CITY,2,CASES
1918,37,SAN JOSE,CA,US,CITY,2,CASES
1918,39,SAN JOSE,CA,US,CITY,1,CASES
1918,40,SAN JOSE,CA,US,CITY,1,CASES
1919,16,SAN JOSE,CA,US,CITY,1,CASES
1919,32,SAN JOSE,CA,US,CITY,1,CASES
1919,45,SAN JOSE,CA,US,CITY,2,CASES
1919,46,SAN JOSE,CA,US,CITY,1,CASES
1919,47,SAN JOSE,CA,US,CITY,7,CASES
1919,48,SAN JOSE,CA,US,CITY,2,CASES
1919,49,SAN JOSE,CA,US,CITY,12,CASES
1919,50,SAN JOSE,CA,US,CITY,2,CASES
1919,51,SAN JOSE,CA,US,CITY,8,CASES
1919,52,SAN JOSE,CA,US,CITY,4,CASES
1919,53,SAN JOSE,CA,US,CITY,7,CASES
1921,42,SAN JOSE,CA,US,CITY,1,CASES
1922,49,SAN JOSE,CA,US,CITY,1,CASES
1923,12,SAN JOSE,CA,US,CITY,1,CASES
1923,13,SAN JOSE,CA,US,CITY,3,CASES
1923,15,SAN JOSE,CA,US,CITY,10,CASES
1923,27,SAN JOSE,CA,US,CITY,8,CASES
1923,46,SAN JOSE,CA,US,CITY,4,CASES
1923,47,SAN JOSE,CA,US,CITY,5,CASES
