year,week,loc,state,country,loc_type,number,event
1919,31,SANTA CRUZ,CA,US,CITY,3,CASES
1919,35,SANTA CRUZ,CA,US,CITY,2,CASES
1920,14,SANTA CRUZ,CA,US,CITY,5,CASES
1920,16,SANTA CRUZ,CA,US,CITY,2,CASES
1920,17,SANTA CRUZ,CA,US,CITY,2,CASES
1920,18,SANTA CRUZ,CA,US,CITY,1,CASES
1920,20,SANTA CRUZ,CA,US,CITY,1,CASES
1920,23,SANTA CRUZ,CA,US,CITY,2,CASES
1920,30,SANTA CRUZ,CA,US,CITY,1,CASES
1920,33,SANTA CRUZ,CA,US,CITY,1,CASES
1920,36,SANTA CRUZ,CA,US,CITY,1,CASES
1920,41,SANTA CRUZ,CA,US,CITY,1,CASES
1920,43,SANTA CRUZ,CA,US,CITY,1,CASES
1920,45,SANTA CRUZ,CA,US,CITY,1,CASES
1920,46,SANTA CRUZ,CA,US,CITY,4,CASES
1920,47,SANTA CRUZ,CA,US,CITY,4,CASES
1921,5,SANTA CRUZ,CA,US,CITY,1,CASES
1921,8,SANTA CRUZ,CA,US,CITY,1,CASES
1921,9,SANTA CRUZ,CA,US,CITY,1,CASES
1921,26,SANTA CRUZ,CA,US,CITY,2,CASES
1921,34,SANTA CRUZ,CA,US,CITY,1,CASES
1921,36,SANTA CRUZ,CA,US,CITY,1,CASES
1921,37,SANTA CRUZ,CA,US,CITY,1,CASES
1921,39,SANTA CRUZ,CA,US,CITY,2,CASES
1921,40,SANTA CRUZ,CA,US,CITY,2,CASES
1921,42,SANTA CRUZ,CA,US,CITY,1,CASES
1922,2,SANTA CRUZ,CA,US,CITY,2,CASES
1922,3,SANTA CRUZ,CA,US,CITY,1,CASES
1922,12,SANTA CRUZ,CA,US,CITY,1,CASES
1923,17,SANTA CRUZ,CA,US,CITY,1,CASES
