year,week,loc,state,country,loc_type,number,event
1920,2,SAUGUS,MA,US,CITY,2,CASES
1920,3,SAUGUS,MA,US,CITY,14,CASES
1920,15,SAUGUS,MA,US,CITY,1,CASES
1920,19,SAUGUS,MA,US,CITY,1,CASES
1920,43,SAUGUS,MA,US,CITY,1,CASES
1921,12,SAUGUS,MA,US,CITY,2,CASES
1921,13,SAUGUS,MA,US,CITY,3,CASES
1921,14,SAUGUS,MA,US,CITY,4,CASES
1921,15,SAUGUS,MA,US,CITY,3,CASES
1921,17,SAUGUS,MA,US,CITY,3,CASES
1921,19,SAUGUS,MA,US,CITY,6,CASES
1921,21,SAUGUS,MA,US,CITY,1,CASES
1921,22,SAUGUS,MA,US,CITY,1,CASES
1921,41,SAUGUS,MA,US,CITY,2,CASES
1921,44,SAUGUS,MA,US,CITY,4,CASES
1921,52,SAUGUS,MA,US,CITY,1,CASES
1922,1,SAUGUS,MA,US,CITY,2,CASES
1922,5,SAUGUS,MA,US,CITY,10,CASES
1922,8,SAUGUS,MA,US,CITY,41,CASES
1922,9,SAUGUS,MA,US,CITY,27,CASES
1922,12,SAUGUS,MA,US,CITY,2,CASES
1922,14,SAUGUS,MA,US,CITY,3,CASES
1922,15,SAUGUS,MA,US,CITY,1,CASES
1922,17,SAUGUS,MA,US,CITY,1,CASES
1922,23,SAUGUS,MA,US,CITY,2,CASES
1922,49,SAUGUS,MA,US,CITY,2,CASES
1923,1,SAUGUS,MA,US,CITY,6,CASES
1923,5,SAUGUS,MA,US,CITY,11,CASES
1923,6,SAUGUS,MA,US,CITY,7,CASES
1923,10,SAUGUS,MA,US,CITY,1,CASES
1923,14,SAUGUS,MA,US,CITY,1,CASES
1923,20,SAUGUS,MA,US,CITY,1,CASES
