year,week,loc,state,country,loc_type,number,event
1924,1,SAVANNAH,GA,US,CITY,2,CASES
1924,2,SAVANNAH,GA,US,CITY,0,CASES
1924,3,SAVANNAH,GA,US,CITY,0,CASES
1924,4,SAVANNAH,GA,US,CITY,0,CASES
1924,5,SAVANNAH,GA,US,CITY,2,CASES
1924,6,SAVANNAH,GA,US,CITY,4,CASES
1924,7,SAVANNAH,GA,US,CITY,3,CASES
1924,8,SAVANNAH,GA,US,CITY,2,CASES
1924,9,SAVANNAH,GA,US,CITY,6,CASES
1924,10,SAVANNAH,GA,US,CITY,0,CASES
1924,11,SAVANNAH,GA,US,CITY,0,CASES
1924,12,SAVANNAH,GA,US,CITY,6,CASES
1924,14,SAVANNAH,GA,US,CITY,5,CASES
1924,17,SAVANNAH,GA,US,CITY,0,CASES
1924,18,SAVANNAH,GA,US,CITY,0,CASES
1924,19,SAVANNAH,GA,US,CITY,1,CASES
1924,20,SAVANNAH,GA,US,CITY,5,CASES
1924,21,SAVANNAH,GA,US,CITY,0,CASES
1924,22,SAVANNAH,GA,US,CITY,0,CASES
1924,23,SAVANNAH,GA,US,CITY,3,CASES
1924,24,SAVANNAH,GA,US,CITY,0,CASES
1924,25,SAVANNAH,GA,US,CITY,0,CASES
1924,26,SAVANNAH,GA,US,CITY,0,CASES
1924,27,SAVANNAH,GA,US,CITY,1,CASES
1924,28,SAVANNAH,GA,US,CITY,0,CASES
1924,29,SAVANNAH,GA,US,CITY,0,CASES
1924,30,SAVANNAH,GA,US,CITY,0,CASES
1924,31,SAVANNAH,GA,US,CITY,0,CASES
1924,32,SAVANNAH,GA,US,CITY,0,CASES
1924,33,SAVANNAH,GA,US,CITY,0,CASES
1924,34,SAVANNAH,GA,US,CITY,0,CASES
1924,35,SAVANNAH,GA,US,CITY,0,CASES
1924,36,SAVANNAH,GA,US,CITY,0,CASES
1924,37,SAVANNAH,GA,US,CITY,0,CASES
1924,38,SAVANNAH,GA,US,CITY,0,CASES
1924,39,SAVANNAH,GA,US,CITY,0,CASES
1924,40,SAVANNAH,GA,US,CITY,0,CASES
1924,41,SAVANNAH,GA,US,CITY,0,CASES
1924,42,SAVANNAH,GA,US,CITY,0,CASES
1924,43,SAVANNAH,GA,US,CITY,0,CASES
1924,44,SAVANNAH,GA,US,CITY,0,CASES
1924,45,SAVANNAH,GA,US,CITY,0,CASES
1924,46,SAVANNAH,GA,US,CITY,0,CASES
1924,47,SAVANNAH,GA,US,CITY,0,CASES
