year,week,loc,state,country,loc_type,number,event
1909,7,SCHENECTADY,NY,US,CITY,2,CASES
1909,9,SCHENECTADY,NY,US,CITY,1,CASES
1909,10,SCHENECTADY,NY,US,CITY,1,CASES
1909,11,SCHENECTADY,NY,US,CITY,5,CASES
1909,15,SCHENECTADY,NY,US,CITY,7,CASES
1909,16,SCHENECTADY,NY,US,CITY,2,CASES
1909,17,SCHENECTADY,NY,US,CITY,10,CASES
1909,18,SCHENECTADY,NY,US,CITY,1,CASES
1909,19,SCHENECTADY,NY,US,CITY,2,CASES
1909,21,SCHENECTADY,NY,US,CITY,1,CASES
1909,22,SCHENECTADY,NY,US,CITY,1,CASES
1909,24,SCHENECTADY,NY,US,CITY,9,CASES
1909,25,SCHENECTADY,NY,US,CITY,4,CASES
1909,26,SCHENECTADY,NY,US,CITY,11,CASES
1909,27,SCHENECTADY,NY,US,CITY,1,CASES
1909,28,SCHENECTADY,NY,US,CITY,1,CASES
1909,29,SCHENECTADY,NY,US,CITY,1,CASES
1909,30,SCHENECTADY,NY,US,CITY,1,CASES
1909,32,SCHENECTADY,NY,US,CITY,1,CASES
1909,41,SCHENECTADY,NY,US,CITY,1,CASES
1909,44,SCHENECTADY,NY,US,CITY,23,CASES
1909,46,SCHENECTADY,NY,US,CITY,13,CASES
1909,47,SCHENECTADY,NY,US,CITY,37,CASES
1909,48,SCHENECTADY,NY,US,CITY,40,CASES
1909,49,SCHENECTADY,NY,US,CITY,53,CASES
1909,50,SCHENECTADY,NY,US,CITY,56,CASES
1909,51,SCHENECTADY,NY,US,CITY,50,CASES
1909,52,SCHENECTADY,NY,US,CITY,94,CASES
1910,1,SCHENECTADY,NY,US,CITY,200,CASES
1910,2,SCHENECTADY,NY,US,CITY,140,CASES
1910,3,SCHENECTADY,NY,US,CITY,190,CASES
1910,4,SCHENECTADY,NY,US,CITY,155,CASES
1910,5,SCHENECTADY,NY,US,CITY,124,CASES
1910,6,SCHENECTADY,NY,US,CITY,148,CASES
1910,7,SCHENECTADY,NY,US,CITY,107,CASES
1910,8,SCHENECTADY,NY,US,CITY,73,CASES
1910,9,SCHENECTADY,NY,US,CITY,55,CASES
1910,10,SCHENECTADY,NY,US,CITY,42,CASES
1910,11,SCHENECTADY,NY,US,CITY,36,CASES
1910,12,SCHENECTADY,NY,US,CITY,17,CASES
1910,13,SCHENECTADY,NY,US,CITY,19,CASES
1910,14,SCHENECTADY,NY,US,CITY,12,CASES
1910,15,SCHENECTADY,NY,US,CITY,7,CASES
1910,16,SCHENECTADY,NY,US,CITY,13,CASES
1910,17,SCHENECTADY,NY,US,CITY,9,CASES
1910,18,SCHENECTADY,NY,US,CITY,6,CASES
1910,19,SCHENECTADY,NY,US,CITY,6,CASES
1910,21,SCHENECTADY,NY,US,CITY,5,CASES
1910,23,SCHENECTADY,NY,US,CITY,2,CASES
1910,24,SCHENECTADY,NY,US,CITY,5,CASES
1910,25,SCHENECTADY,NY,US,CITY,2,CASES
1910,26,SCHENECTADY,NY,US,CITY,1,CASES
1910,28,SCHENECTADY,NY,US,CITY,2,CASES
1910,29,SCHENECTADY,NY,US,CITY,2,CASES
1910,30,SCHENECTADY,NY,US,CITY,3,CASES
1910,32,SCHENECTADY,NY,US,CITY,1,CASES
1910,33,SCHENECTADY,NY,US,CITY,1,CASES
1910,34,SCHENECTADY,NY,US,CITY,7,CASES
1910,50,SCHENECTADY,NY,US,CITY,1,CASES
1911,2,SCHENECTADY,NY,US,CITY,1,CASES
1911,6,SCHENECTADY,NY,US,CITY,2,CASES
1911,8,SCHENECTADY,NY,US,CITY,2,CASES
1911,13,SCHENECTADY,NY,US,CITY,2,CASES
1911,18,SCHENECTADY,NY,US,CITY,3,CASES
1911,19,SCHENECTADY,NY,US,CITY,1,CASES
1911,21,SCHENECTADY,NY,US,CITY,3,CASES
1911,23,SCHENECTADY,NY,US,CITY,2,CASES
1911,24,SCHENECTADY,NY,US,CITY,3,CASES
1911,25,SCHENECTADY,NY,US,CITY,3,CASES
1911,45,SCHENECTADY,NY,US,CITY,1,CASES
1911,47,SCHENECTADY,NY,US,CITY,4,CASES
1911,48,SCHENECTADY,NY,US,CITY,2,CASES
1911,49,SCHENECTADY,NY,US,CITY,2,CASES
1911,50,SCHENECTADY,NY,US,CITY,3,CASES
1911,51,SCHENECTADY,NY,US,CITY,1,CASES
1912,1,SCHENECTADY,NY,US,CITY,2,CASES
1912,2,SCHENECTADY,NY,US,CITY,1,CASES
1912,3,SCHENECTADY,NY,US,CITY,2,CASES
1912,5,SCHENECTADY,NY,US,CITY,1,CASES
1912,6,SCHENECTADY,NY,US,CITY,1,CASES
1912,8,SCHENECTADY,NY,US,CITY,14,CASES
1912,10,SCHENECTADY,NY,US,CITY,29,CASES
1912,12,SCHENECTADY,NY,US,CITY,43,CASES
1912,13,SCHENECTADY,NY,US,CITY,37,CASES
1912,14,SCHENECTADY,NY,US,CITY,62,CASES
1912,15,SCHENECTADY,NY,US,CITY,45,CASES
1912,16,SCHENECTADY,NY,US,CITY,81,CASES
1912,18,SCHENECTADY,NY,US,CITY,55,CASES
1912,19,SCHENECTADY,NY,US,CITY,62,CASES
1912,20,SCHENECTADY,NY,US,CITY,60,CASES
1912,21,SCHENECTADY,NY,US,CITY,52,CASES
1912,22,SCHENECTADY,NY,US,CITY,60,CASES
1912,23,SCHENECTADY,NY,US,CITY,59,CASES
1912,26,SCHENECTADY,NY,US,CITY,28,CASES
1912,27,SCHENECTADY,NY,US,CITY,23,CASES
1912,28,SCHENECTADY,NY,US,CITY,6,CASES
1912,29,SCHENECTADY,NY,US,CITY,13,CASES
1912,32,SCHENECTADY,NY,US,CITY,2,CASES
1912,33,SCHENECTADY,NY,US,CITY,1,CASES
1912,34,SCHENECTADY,NY,US,CITY,1,CASES
1912,42,SCHENECTADY,NY,US,CITY,1,CASES
1912,47,SCHENECTADY,NY,US,CITY,1,CASES
1912,48,SCHENECTADY,NY,US,CITY,1,CASES
1912,50,SCHENECTADY,NY,US,CITY,1,CASES
1912,51,SCHENECTADY,NY,US,CITY,1,CASES
1912,52,SCHENECTADY,NY,US,CITY,3,CASES
1913,1,SCHENECTADY,NY,US,CITY,4,CASES
1913,3,SCHENECTADY,NY,US,CITY,2,CASES
1913,4,SCHENECTADY,NY,US,CITY,8,CASES
1913,5,SCHENECTADY,NY,US,CITY,5,CASES
1913,6,SCHENECTADY,NY,US,CITY,9,CASES
1913,7,SCHENECTADY,NY,US,CITY,2,CASES
1913,8,SCHENECTADY,NY,US,CITY,18,CASES
1913,9,SCHENECTADY,NY,US,CITY,14,CASES
1913,10,SCHENECTADY,NY,US,CITY,13,CASES
1913,11,SCHENECTADY,NY,US,CITY,35,CASES
1913,12,SCHENECTADY,NY,US,CITY,21,CASES
1913,13,SCHENECTADY,NY,US,CITY,17,CASES
1913,14,SCHENECTADY,NY,US,CITY,18,CASES
1913,15,SCHENECTADY,NY,US,CITY,26,CASES
1913,17,SCHENECTADY,NY,US,CITY,14,CASES
1913,18,SCHENECTADY,NY,US,CITY,15,CASES
1913,19,SCHENECTADY,NY,US,CITY,19,CASES
1913,20,SCHENECTADY,NY,US,CITY,15,CASES
1913,21,SCHENECTADY,NY,US,CITY,23,CASES
1913,22,SCHENECTADY,NY,US,CITY,12,CASES
1913,23,SCHENECTADY,NY,US,CITY,17,CASES
1913,24,SCHENECTADY,NY,US,CITY,4,CASES
1913,25,SCHENECTADY,NY,US,CITY,4,CASES
1913,26,SCHENECTADY,NY,US,CITY,7,CASES
1913,28,SCHENECTADY,NY,US,CITY,1,CASES
1913,29,SCHENECTADY,NY,US,CITY,5,CASES
1913,30,SCHENECTADY,NY,US,CITY,3,CASES
1913,31,SCHENECTADY,NY,US,CITY,2,CASES
1913,32,SCHENECTADY,NY,US,CITY,3,CASES
1913,36,SCHENECTADY,NY,US,CITY,1,CASES
1913,39,SCHENECTADY,NY,US,CITY,1,CASES
1913,41,SCHENECTADY,NY,US,CITY,1,CASES
1913,45,SCHENECTADY,NY,US,CITY,1,CASES
1913,46,SCHENECTADY,NY,US,CITY,1,CASES
1913,49,SCHENECTADY,NY,US,CITY,1,CASES
1913,51,SCHENECTADY,NY,US,CITY,1,CASES
