year,week,loc,state,country,loc_type,number,event
1918,18,SOUTHBRIDGE,MA,US,CITY,2,CASES
1918,46,SOUTHBRIDGE,MA,US,CITY,3,CASES
1919,9,SOUTHBRIDGE,MA,US,CITY,2,CASES
1919,13,SOUTHBRIDGE,MA,US,CITY,1,CASES
1919,17,SOUTHBRIDGE,MA,US,CITY,1,CASES
1920,2,SOUTHBRIDGE,MA,US,CITY,1,CASES
1920,7,SOUTHBRIDGE,MA,US,CITY,1,CASES
1920,14,SOUTHBRIDGE,MA,US,CITY,1,CASES
1920,40,SOUTHBRIDGE,MA,US,CITY,1,CASES
1921,49,SOUTHBRIDGE,MA,US,CITY,1,CASES
1922,18,SOUTHBRIDGE,MA,US,CITY,1,CASES
1922,35,SOUTHBRIDGE,MA,US,CITY,3,CASES
1922,37,SOUTHBRIDGE,MA,US,CITY,1,CASES
1922,38,SOUTHBRIDGE,MA,US,CITY,2,CASES
1922,41,SOUTHBRIDGE,MA,US,CITY,1,CASES
1922,43,SOUTHBRIDGE,MA,US,CITY,2,CASES
1922,44,SOUTHBRIDGE,MA,US,CITY,2,CASES
1922,47,SOUTHBRIDGE,MA,US,CITY,2,CASES
1922,48,SOUTHBRIDGE,MA,US,CITY,1,CASES
1922,49,SOUTHBRIDGE,MA,US,CITY,3,CASES
1923,2,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,3,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,7,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,9,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,10,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,11,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,12,SOUTHBRIDGE,MA,US,CITY,3,CASES
1923,20,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,30,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,32,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,35,SOUTHBRIDGE,MA,US,CITY,2,CASES
1923,41,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,44,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,45,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,46,SOUTHBRIDGE,MA,US,CITY,3,CASES
1923,47,SOUTHBRIDGE,MA,US,CITY,2,CASES
1923,48,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,49,SOUTHBRIDGE,MA,US,CITY,3,CASES
1923,50,SOUTHBRIDGE,MA,US,CITY,1,CASES
1923,51,SOUTHBRIDGE,MA,US,CITY,2,CASES
