year,week,loc,state,country,loc_type,number,event
1917,51,SPARTANBURG,SC,US,CITY,1,CASES
1918,2,SPARTANBURG,SC,US,CITY,1,CASES
1918,4,SPARTANBURG,SC,US,CITY,2,CASES
1918,12,SPARTANBURG,SC,US,CITY,1,CASES
1918,13,SPARTANBURG,SC,US,CITY,2,CASES
1918,30,SPARTANBURG,SC,US,CITY,2,CASES
1918,39,SPARTANBURG,SC,US,CITY,1,CASES
1918,40,SPARTANBURG,SC,US,CITY,1,CASES
1919,14,SPARTANBURG,SC,US,CITY,1,CASES
1919,15,SPARTANBURG,SC,US,CITY,1,CASES
1919,39,SPARTANBURG,SC,US,CITY,1,CASES
1919,42,SPARTANBURG,SC,US,CITY,1,CASES
1919,44,SPARTANBURG,SC,US,CITY,1,CASES
1919,47,SPARTANBURG,SC,US,CITY,1,CASES
1920,1,SPARTANBURG,SC,US,CITY,1,CASES
1920,9,SPARTANBURG,SC,US,CITY,1,CASES
1920,12,SPARTANBURG,SC,US,CITY,1,CASES
1920,13,SPARTANBURG,SC,US,CITY,1,CASES
1920,14,SPARTANBURG,SC,US,CITY,2,CASES
1920,15,SPARTANBURG,SC,US,CITY,1,CASES
1920,22,SPARTANBURG,SC,US,CITY,1,CASES
1920,38,SPARTANBURG,SC,US,CITY,1,CASES
1920,44,SPARTANBURG,SC,US,CITY,1,CASES
1920,46,SPARTANBURG,SC,US,CITY,1,CASES
1921,1,SPARTANBURG,SC,US,CITY,1,CASES
1921,35,SPARTANBURG,SC,US,CITY,2,CASES
