year,week,loc,state,country,loc_type,number,event
1912,15,SPOKANE,WA,US,CITY,2,CASES
1913,3,SPOKANE,WA,US,CITY,1,CASES
1913,50,SPOKANE,WA,US,CITY,1,CASES
1914,2,SPOKANE,WA,US,CITY,2,CASES
1914,3,SPOKANE,WA,US,CITY,4,CASES
1914,4,SPOKANE,WA,US,CITY,2,CASES
1914,5,SPOKANE,WA,US,CITY,1,CASES
1914,6,SPOKANE,WA,US,CITY,4,CASES
1914,9,SPOKANE,WA,US,CITY,2,CASES
1914,11,SPOKANE,WA,US,CITY,2,CASES
1914,15,SPOKANE,WA,US,CITY,2,CASES
1915,11,SPOKANE,WA,US,CITY,2,CASES
1915,12,SPOKANE,WA,US,CITY,3,CASES
1915,14,SPOKANE,WA,US,CITY,1,CASES
1916,3,SPOKANE,WA,US,CITY,3,CASES
1916,4,SPOKANE,WA,US,CITY,3,CASES
1920,7,SPOKANE,WA,US,CITY,9,CASES
