year,week,loc,state,country,loc_type,number,event
1920,3,SPRINGFIELD,MA,US,CITY,4,CASES
1920,4,SPRINGFIELD,MA,US,CITY,36,CASES
1920,5,SPRINGFIELD,MA,US,CITY,188,CASES
1920,6,SPRINGFIELD,MA,US,CITY,201,CASES
1920,7,SPRINGFIELD,MA,US,CITY,78,CASES
1920,8,SPRINGFIELD,MA,US,CITY,15,CASES
1920,10,SPRINGFIELD,MA,US,CITY,6,CASES
1920,11,SPRINGFIELD,MA,US,CITY,1,CASES
1920,12,SPRINGFIELD,MA,US,CITY,1,CASES
1920,13,SPRINGFIELD,MA,US,CITY,1,CASES
1920,38,SPRINGFIELD,MA,US,CITY,1,CASES
1920,50,SPRINGFIELD,MA,US,CITY,1,CASES
1922,2,SPRINGFIELD,MA,US,CITY,1,CASES
1922,4,SPRINGFIELD,MA,US,CITY,4,CASES
1922,5,SPRINGFIELD,MA,US,CITY,2,CASES
1922,6,SPRINGFIELD,MA,US,CITY,7,CASES
1922,7,SPRINGFIELD,MA,US,CITY,12,CASES
1922,8,SPRINGFIELD,MA,US,CITY,3,CASES
1922,9,SPRINGFIELD,MA,US,CITY,5,CASES
1922,10,SPRINGFIELD,MA,US,CITY,7,CASES
1922,11,SPRINGFIELD,MA,US,CITY,1,CASES
1922,12,SPRINGFIELD,MA,US,CITY,3,CASES
1922,13,SPRINGFIELD,MA,US,CITY,3,CASES
1922,21,SPRINGFIELD,MA,US,CITY,1,CASES
1922,47,SPRINGFIELD,MA,US,CITY,2,CASES
1922,52,SPRINGFIELD,MA,US,CITY,1,CASES
1923,2,SPRINGFIELD,MA,US,CITY,3,CASES
1923,3,SPRINGFIELD,MA,US,CITY,1,CASES
1923,4,SPRINGFIELD,MA,US,CITY,1,CASES
1923,5,SPRINGFIELD,MA,US,CITY,1,CASES
1923,6,SPRINGFIELD,MA,US,CITY,31,CASES
1923,7,SPRINGFIELD,MA,US,CITY,10,CASES
1923,8,SPRINGFIELD,MA,US,CITY,6,CASES
1923,9,SPRINGFIELD,MA,US,CITY,8,CASES
1923,10,SPRINGFIELD,MA,US,CITY,5,CASES
1923,13,SPRINGFIELD,MA,US,CITY,2,CASES
1923,18,SPRINGFIELD,MA,US,CITY,1,CASES
1923,19,SPRINGFIELD,MA,US,CITY,1,CASES
1923,23,SPRINGFIELD,MA,US,CITY,1,CASES
1923,25,SPRINGFIELD,MA,US,CITY,3,CASES
1923,26,SPRINGFIELD,MA,US,CITY,1,CASES
1923,32,SPRINGFIELD,MA,US,CITY,1,CASES
1923,38,SPRINGFIELD,MA,US,CITY,1,CASES
1923,44,SPRINGFIELD,MA,US,CITY,1,CASES
1923,49,SPRINGFIELD,MA,US,CITY,2,CASES
1923,50,SPRINGFIELD,MA,US,CITY,1,CASES
1923,52,SPRINGFIELD,MA,US,CITY,1,CASES
1924,1,SPRINGFIELD,MA,US,CITY,0,CASES
1924,2,SPRINGFIELD,MA,US,CITY,1,CASES
1924,3,SPRINGFIELD,MA,US,CITY,0,CASES
1924,4,SPRINGFIELD,MA,US,CITY,1,CASES
1924,5,SPRINGFIELD,MA,US,CITY,0,CASES
1924,6,SPRINGFIELD,MA,US,CITY,0,CASES
1924,7,SPRINGFIELD,MA,US,CITY,2,CASES
1924,8,SPRINGFIELD,MA,US,CITY,0,CASES
1924,9,SPRINGFIELD,MA,US,CITY,0,CASES
1924,11,SPRINGFIELD,MA,US,CITY,2,CASES
1924,12,SPRINGFIELD,MA,US,CITY,1,CASES
1924,13,SPRINGFIELD,MA,US,CITY,1,CASES
1924,14,SPRINGFIELD,MA,US,CITY,1,CASES
1924,15,SPRINGFIELD,MA,US,CITY,1,CASES
1924,16,SPRINGFIELD,MA,US,CITY,0,CASES
1924,17,SPRINGFIELD,MA,US,CITY,1,CASES
1924,18,SPRINGFIELD,MA,US,CITY,1,CASES
1924,19,SPRINGFIELD,MA,US,CITY,1,CASES
1924,20,SPRINGFIELD,MA,US,CITY,0,CASES
1924,21,SPRINGFIELD,MA,US,CITY,1,CASES
1924,22,SPRINGFIELD,MA,US,CITY,0,CASES
1924,23,SPRINGFIELD,MA,US,CITY,0,CASES
1924,24,SPRINGFIELD,MA,US,CITY,1,CASES
1924,25,SPRINGFIELD,MA,US,CITY,0,CASES
1924,26,SPRINGFIELD,MA,US,CITY,0,CASES
1924,27,SPRINGFIELD,MA,US,CITY,0,CASES
1924,28,SPRINGFIELD,MA,US,CITY,0,CASES
1924,29,SPRINGFIELD,MA,US,CITY,0,CASES
1924,30,SPRINGFIELD,MA,US,CITY,0,CASES
1924,31,SPRINGFIELD,MA,US,CITY,0,CASES
1924,32,SPRINGFIELD,MA,US,CITY,0,CASES
1924,33,SPRINGFIELD,MA,US,CITY,0,CASES
1924,34,SPRINGFIELD,MA,US,CITY,0,CASES
1924,35,SPRINGFIELD,MA,US,CITY,0,CASES
1924,36,SPRINGFIELD,MA,US,CITY,0,CASES
1924,37,SPRINGFIELD,MA,US,CITY,0,CASES
