year,week,loc,state,country,loc_type,number,event
1907,28,SPRINGFIELD,OH,US,CITY,2,CASES
1907,31,SPRINGFIELD,OH,US,CITY,4,CASES
1907,32,SPRINGFIELD,OH,US,CITY,1,CASES
1907,34,SPRINGFIELD,OH,US,CITY,1,CASES
1907,35,SPRINGFIELD,OH,US,CITY,2,CASES
1907,36,SPRINGFIELD,OH,US,CITY,1,CASES
1907,37,SPRINGFIELD,OH,US,CITY,2,CASES
1907,38,SPRINGFIELD,OH,US,CITY,3,CASES
1907,39,SPRINGFIELD,OH,US,CITY,6,CASES
1907,41,SPRINGFIELD,OH,US,CITY,14,CASES
1907,42,SPRINGFIELD,OH,US,CITY,9,CASES
1907,43,SPRINGFIELD,OH,US,CITY,11,CASES
1907,44,SPRINGFIELD,OH,US,CITY,3,CASES
1907,45,SPRINGFIELD,OH,US,CITY,8,CASES
1907,46,SPRINGFIELD,OH,US,CITY,6,CASES
1907,47,SPRINGFIELD,OH,US,CITY,6,CASES
1907,48,SPRINGFIELD,OH,US,CITY,11,CASES
1907,49,SPRINGFIELD,OH,US,CITY,5,CASES
1907,50,SPRINGFIELD,OH,US,CITY,3,CASES
1907,51,SPRINGFIELD,OH,US,CITY,1,CASES
1907,52,SPRINGFIELD,OH,US,CITY,3,CASES
1908,1,SPRINGFIELD,OH,US,CITY,2,CASES
1908,5,SPRINGFIELD,OH,US,CITY,1,CASES
1908,6,SPRINGFIELD,OH,US,CITY,1,CASES
1908,16,SPRINGFIELD,OH,US,CITY,1,CASES
1908,22,SPRINGFIELD,OH,US,CITY,1,CASES
1908,26,SPRINGFIELD,OH,US,CITY,1,CASES
1908,27,SPRINGFIELD,OH,US,CITY,2,CASES
1908,31,SPRINGFIELD,OH,US,CITY,1,CASES
1908,34,SPRINGFIELD,OH,US,CITY,1,CASES
1908,36,SPRINGFIELD,OH,US,CITY,1,CASES
1908,37,SPRINGFIELD,OH,US,CITY,3,CASES
1908,39,SPRINGFIELD,OH,US,CITY,1,CASES
1908,46,SPRINGFIELD,OH,US,CITY,1,CASES
1908,47,SPRINGFIELD,OH,US,CITY,1,CASES
1908,48,SPRINGFIELD,OH,US,CITY,1,CASES
1908,49,SPRINGFIELD,OH,US,CITY,2,CASES
1908,50,SPRINGFIELD,OH,US,CITY,2,CASES
1908,51,SPRINGFIELD,OH,US,CITY,2,CASES
1908,53,SPRINGFIELD,OH,US,CITY,1,CASES
1909,1,SPRINGFIELD,OH,US,CITY,1,CASES
1909,2,SPRINGFIELD,OH,US,CITY,1,CASES
1909,4,SPRINGFIELD,OH,US,CITY,1,CASES
1909,5,SPRINGFIELD,OH,US,CITY,1,CASES
1909,7,SPRINGFIELD,OH,US,CITY,2,CASES
1909,8,SPRINGFIELD,OH,US,CITY,3,CASES
1909,9,SPRINGFIELD,OH,US,CITY,2,CASES
1909,11,SPRINGFIELD,OH,US,CITY,1,CASES
1909,12,SPRINGFIELD,OH,US,CITY,1,CASES
1909,18,SPRINGFIELD,OH,US,CITY,1,CASES
1909,19,SPRINGFIELD,OH,US,CITY,1,CASES
1909,24,SPRINGFIELD,OH,US,CITY,1,CASES
1909,27,SPRINGFIELD,OH,US,CITY,1,CASES
1909,33,SPRINGFIELD,OH,US,CITY,2,CASES
1909,34,SPRINGFIELD,OH,US,CITY,2,CASES
1909,36,SPRINGFIELD,OH,US,CITY,1,CASES
1909,38,SPRINGFIELD,OH,US,CITY,1,CASES
1909,39,SPRINGFIELD,OH,US,CITY,1,CASES
1909,40,SPRINGFIELD,OH,US,CITY,2,CASES
1909,42,SPRINGFIELD,OH,US,CITY,4,CASES
1909,43,SPRINGFIELD,OH,US,CITY,6,CASES
1909,44,SPRINGFIELD,OH,US,CITY,5,CASES
1909,45,SPRINGFIELD,OH,US,CITY,4,CASES
1909,46,SPRINGFIELD,OH,US,CITY,3,CASES
1909,47,SPRINGFIELD,OH,US,CITY,11,CASES
1909,48,SPRINGFIELD,OH,US,CITY,2,CASES
1909,49,SPRINGFIELD,OH,US,CITY,7,CASES
1909,50,SPRINGFIELD,OH,US,CITY,3,CASES
1909,51,SPRINGFIELD,OH,US,CITY,5,CASES
1909,52,SPRINGFIELD,OH,US,CITY,5,CASES
1910,1,SPRINGFIELD,OH,US,CITY,3,CASES
1910,2,SPRINGFIELD,OH,US,CITY,2,CASES
