year,week,loc,state,country,loc_type,number,event
1952,12,ST LOUIS,MO,US,CITY,1,CASES
1952,17,ST LOUIS,MO,US,CITY,1,CASES
1952,19,ST LOUIS,MO,US,CITY,1,CASES
1952,23,ST LOUIS,MO,US,CITY,1,CASES
1952,26,ST LOUIS,MO,US,CITY,1,CASES
1952,29,ST LOUIS,MO,US,CITY,2,CASES
1952,38,ST LOUIS,MO,US,CITY,1,CASES
1953,1,ST LOUIS,MO,US,CITY,2,CASES
1953,9,ST LOUIS,MO,US,CITY,1,CASES
1953,14,ST LOUIS,MO,US,CITY,1,CASES
1953,16,ST LOUIS,MO,US,CITY,1,CASES
1953,34,ST LOUIS,MO,US,CITY,1,CASES
1953,43,ST LOUIS,MO,US,CITY,1,CASES
