year,week,loc,state,country,loc_type,number,event
1916,27,ST PAUL,MN,US,CITY,1,CASES
1916,30,ST PAUL,MN,US,CITY,5,CASES
1916,31,ST PAUL,MN,US,CITY,13,CASES
1916,32,ST PAUL,MN,US,CITY,6,CASES
1916,33,ST PAUL,MN,US,CITY,9,CASES
1916,35,ST PAUL,MN,US,CITY,8,CASES
1916,36,ST PAUL,MN,US,CITY,7,CASES
1916,37,ST PAUL,MN,US,CITY,2,CASES
1916,38,ST PAUL,MN,US,CITY,3,CASES
1916,39,ST PAUL,MN,US,CITY,2,CASES
1916,40,ST PAUL,MN,US,CITY,4,CASES
1916,42,ST PAUL,MN,US,CITY,1,CASES
1916,44,ST PAUL,MN,US,CITY,1,CASES
1917,8,ST PAUL,MN,US,CITY,1,CASES
1918,26,ST PAUL,MN,US,CITY,1,CASES
1918,36,ST PAUL,MN,US,CITY,1,CASES
1918,37,ST PAUL,MN,US,CITY,1,CASES
1919,37,ST PAUL,MN,US,CITY,1,CASES
1919,39,ST PAUL,MN,US,CITY,1,CASES
1919,40,ST PAUL,MN,US,CITY,1,CASES
1920,13,ST PAUL,MN,US,CITY,1,CASES
1920,27,ST PAUL,MN,US,CITY,1,CASES
1920,35,ST PAUL,MN,US,CITY,2,CASES
1920,36,ST PAUL,MN,US,CITY,1,CASES
1920,37,ST PAUL,MN,US,CITY,1,CASES
1920,39,ST PAUL,MN,US,CITY,1,CASES
1920,44,ST PAUL,MN,US,CITY,1,CASES
1920,45,ST PAUL,MN,US,CITY,1,CASES
1920,47,ST PAUL,MN,US,CITY,1,CASES
1921,2,ST PAUL,MN,US,CITY,1,CASES
1921,21,ST PAUL,MN,US,CITY,1,CASES
1921,28,ST PAUL,MN,US,CITY,1,CASES
1921,30,ST PAUL,MN,US,CITY,1,CASES
1921,32,ST PAUL,MN,US,CITY,1,CASES
1921,33,ST PAUL,MN,US,CITY,2,CASES
1921,34,ST PAUL,MN,US,CITY,3,CASES
1921,35,ST PAUL,MN,US,CITY,5,CASES
1921,36,ST PAUL,MN,US,CITY,1,CASES
1921,37,ST PAUL,MN,US,CITY,1,CASES
1921,38,ST PAUL,MN,US,CITY,2,CASES
1921,39,ST PAUL,MN,US,CITY,4,CASES
1921,40,ST PAUL,MN,US,CITY,4,CASES
1921,41,ST PAUL,MN,US,CITY,2,CASES
1921,42,ST PAUL,MN,US,CITY,1,CASES
