year,week,loc,state,country,loc_type,number,event
1923,3,ST PETERSBURG,FL,US,CITY,4,CASES
1923,4,ST PETERSBURG,FL,US,CITY,6,CASES
1923,5,ST PETERSBURG,FL,US,CITY,13,CASES
1923,6,ST PETERSBURG,FL,US,CITY,1,CASES
1923,7,ST PETERSBURG,FL,US,CITY,2,CASES
1923,8,ST PETERSBURG,FL,US,CITY,2,CASES
1923,9,ST PETERSBURG,FL,US,CITY,4,CASES
1923,17,ST PETERSBURG,FL,US,CITY,1,CASES
1924,1,ST PETERSBURG,FL,US,CITY,0,CASES
1924,2,ST PETERSBURG,FL,US,CITY,0,CASES
1924,3,ST PETERSBURG,FL,US,CITY,0,CASES
1924,4,ST PETERSBURG,FL,US,CITY,0,CASES
1924,5,ST PETERSBURG,FL,US,CITY,0,CASES
1924,6,ST PETERSBURG,FL,US,CITY,0,CASES
1924,8,ST PETERSBURG,FL,US,CITY,0,CASES
1924,9,ST PETERSBURG,FL,US,CITY,0,CASES
1924,10,ST PETERSBURG,FL,US,CITY,0,CASES
1924,11,ST PETERSBURG,FL,US,CITY,0,CASES
1924,12,ST PETERSBURG,FL,US,CITY,0,CASES
1924,13,ST PETERSBURG,FL,US,CITY,0,CASES
1924,14,ST PETERSBURG,FL,US,CITY,0,CASES
1924,15,ST PETERSBURG,FL,US,CITY,0,CASES
1924,16,ST PETERSBURG,FL,US,CITY,0,CASES
1924,17,ST PETERSBURG,FL,US,CITY,0,CASES
1924,18,ST PETERSBURG,FL,US,CITY,0,CASES
1924,19,ST PETERSBURG,FL,US,CITY,0,CASES
1924,20,ST PETERSBURG,FL,US,CITY,0,CASES
1924,21,ST PETERSBURG,FL,US,CITY,0,CASES
1924,27,ST PETERSBURG,FL,US,CITY,0,CASES
1924,28,ST PETERSBURG,FL,US,CITY,0,CASES
1924,29,ST PETERSBURG,FL,US,CITY,0,CASES
1924,30,ST PETERSBURG,FL,US,CITY,0,CASES
1924,31,ST PETERSBURG,FL,US,CITY,0,CASES
1924,32,ST PETERSBURG,FL,US,CITY,0,CASES
1924,33,ST PETERSBURG,FL,US,CITY,0,CASES
1924,34,ST PETERSBURG,FL,US,CITY,0,CASES
1924,35,ST PETERSBURG,FL,US,CITY,0,CASES
1924,36,ST PETERSBURG,FL,US,CITY,0,CASES
1924,37,ST PETERSBURG,FL,US,CITY,0,CASES
1924,38,ST PETERSBURG,FL,US,CITY,0,CASES
1924,39,ST PETERSBURG,FL,US,CITY,0,CASES
1924,40,ST PETERSBURG,FL,US,CITY,0,CASES
1924,41,ST PETERSBURG,FL,US,CITY,0,CASES
1924,42,ST PETERSBURG,FL,US,CITY,0,CASES
1924,43,ST PETERSBURG,FL,US,CITY,0,CASES
1924,44,ST PETERSBURG,FL,US,CITY,0,CASES
1924,45,ST PETERSBURG,FL,US,CITY,0,CASES
1924,46,ST PETERSBURG,FL,US,CITY,0,CASES
1924,47,ST PETERSBURG,FL,US,CITY,0,CASES
1924,48,ST PETERSBURG,FL,US,CITY,0,CASES
1924,49,ST PETERSBURG,FL,US,CITY,0,CASES
1924,50,ST PETERSBURG,FL,US,CITY,0,CASES
1924,51,ST PETERSBURG,FL,US,CITY,0,CASES
1924,52,ST PETERSBURG,FL,US,CITY,0,CASES
1924,53,ST PETERSBURG,FL,US,CITY,0,CASES
1925,1,ST PETERSBURG,FL,US,CITY,0,CASES
1925,2,ST PETERSBURG,FL,US,CITY,0,CASES
1925,3,ST PETERSBURG,FL,US,CITY,0,CASES
1925,4,ST PETERSBURG,FL,US,CITY,0,CASES
1925,5,ST PETERSBURG,FL,US,CITY,0,CASES
1925,6,ST PETERSBURG,FL,US,CITY,0,CASES
1925,7,ST PETERSBURG,FL,US,CITY,0,CASES
1925,8,ST PETERSBURG,FL,US,CITY,0,CASES
1925,9,ST PETERSBURG,FL,US,CITY,0,CASES
1925,10,ST PETERSBURG,FL,US,CITY,0,CASES
1925,11,ST PETERSBURG,FL,US,CITY,0,CASES
1925,12,ST PETERSBURG,FL,US,CITY,0,CASES
1925,13,ST PETERSBURG,FL,US,CITY,0,CASES
1925,14,ST PETERSBURG,FL,US,CITY,0,CASES
1925,16,ST PETERSBURG,FL,US,CITY,0,CASES
1925,17,ST PETERSBURG,FL,US,CITY,0,CASES
1925,18,ST PETERSBURG,FL,US,CITY,0,CASES
1925,19,ST PETERSBURG,FL,US,CITY,0,CASES
1925,20,ST PETERSBURG,FL,US,CITY,0,CASES
1925,21,ST PETERSBURG,FL,US,CITY,0,CASES
1925,22,ST PETERSBURG,FL,US,CITY,0,CASES
1925,25,ST PETERSBURG,FL,US,CITY,0,CASES
1925,26,ST PETERSBURG,FL,US,CITY,0,CASES
1925,27,ST PETERSBURG,FL,US,CITY,0,CASES
1925,28,ST PETERSBURG,FL,US,CITY,0,CASES
1925,29,ST PETERSBURG,FL,US,CITY,0,CASES
1925,31,ST PETERSBURG,FL,US,CITY,0,CASES
1925,32,ST PETERSBURG,FL,US,CITY,0,CASES
1925,35,ST PETERSBURG,FL,US,CITY,0,CASES
1925,37,ST PETERSBURG,FL,US,CITY,0,CASES
1925,38,ST PETERSBURG,FL,US,CITY,0,CASES
1925,41,ST PETERSBURG,FL,US,CITY,0,CASES
1925,44,ST PETERSBURG,FL,US,CITY,0,CASES
1925,45,ST PETERSBURG,FL,US,CITY,0,CASES
1925,46,ST PETERSBURG,FL,US,CITY,0,CASES
1925,47,ST PETERSBURG,FL,US,CITY,0,CASES
1925,48,ST PETERSBURG,FL,US,CITY,0,CASES
1925,49,ST PETERSBURG,FL,US,CITY,0,CASES
1925,50,ST PETERSBURG,FL,US,CITY,0,CASES
1925,51,ST PETERSBURG,FL,US,CITY,0,CASES
1925,52,ST PETERSBURG,FL,US,CITY,0,CASES
1926,1,ST PETERSBURG,FL,US,CITY,0,CASES
1926,3,ST PETERSBURG,FL,US,CITY,0,CASES
1926,4,ST PETERSBURG,FL,US,CITY,0,CASES
1926,5,ST PETERSBURG,FL,US,CITY,0,CASES
1926,22,ST PETERSBURG,FL,US,CITY,0,CASES
1926,25,ST PETERSBURG,FL,US,CITY,0,CASES
1927,29,ST PETERSBURG,FL,US,CITY,0,CASES
1927,30,ST PETERSBURG,FL,US,CITY,0,CASES
1927,31,ST PETERSBURG,FL,US,CITY,0,CASES
1928,11,ST PETERSBURG,FL,US,CITY,0,CASES
1928,17,ST PETERSBURG,FL,US,CITY,0,CASES
1928,50,ST PETERSBURG,FL,US,CITY,7,CASES
1928,51,ST PETERSBURG,FL,US,CITY,3,CASES
1928,52,ST PETERSBURG,FL,US,CITY,25,CASES
1929,1,ST PETERSBURG,FL,US,CITY,15,CASES
1929,2,ST PETERSBURG,FL,US,CITY,20,CASES
1929,3,ST PETERSBURG,FL,US,CITY,10,CASES
1929,6,ST PETERSBURG,FL,US,CITY,5,CASES
