year,week,loc,state,country,loc_type,number,event
1912,50,STEELTON,PA,US,CITY,2,CASES
1913,2,STEELTON,PA,US,CITY,1,CASES
1913,3,STEELTON,PA,US,CITY,1,CASES
1913,5,STEELTON,PA,US,CITY,1,CASES
1913,13,STEELTON,PA,US,CITY,1,CASES
1913,39,STEELTON,PA,US,CITY,1,CASES
1913,47,STEELTON,PA,US,CITY,1,CASES
1913,49,STEELTON,PA,US,CITY,2,CASES
1913,50,STEELTON,PA,US,CITY,1,CASES
1914,1,STEELTON,PA,US,CITY,1,CASES
1914,4,STEELTON,PA,US,CITY,2,CASES
1914,6,STEELTON,PA,US,CITY,1,CASES
1914,7,STEELTON,PA,US,CITY,1,CASES
1914,9,STEELTON,PA,US,CITY,1,CASES
1914,11,STEELTON,PA,US,CITY,2,CASES
1914,14,STEELTON,PA,US,CITY,1,CASES
1914,15,STEELTON,PA,US,CITY,1,CASES
1914,17,STEELTON,PA,US,CITY,1,CASES
1914,44,STEELTON,PA,US,CITY,1,CASES
1914,45,STEELTON,PA,US,CITY,1,CASES
1915,5,STEELTON,PA,US,CITY,1,CASES
1915,7,STEELTON,PA,US,CITY,3,CASES
1915,9,STEELTON,PA,US,CITY,1,CASES
1915,11,STEELTON,PA,US,CITY,2,CASES
1915,12,STEELTON,PA,US,CITY,2,CASES
1915,13,STEELTON,PA,US,CITY,1,CASES
1915,15,STEELTON,PA,US,CITY,2,CASES
1915,16,STEELTON,PA,US,CITY,1,CASES
1915,18,STEELTON,PA,US,CITY,1,CASES
1915,22,STEELTON,PA,US,CITY,2,CASES
1915,24,STEELTON,PA,US,CITY,1,CASES
1915,52,STEELTON,PA,US,CITY,1,CASES
1916,2,STEELTON,PA,US,CITY,3,CASES
1916,3,STEELTON,PA,US,CITY,2,CASES
1916,8,STEELTON,PA,US,CITY,1,CASES
1916,10,STEELTON,PA,US,CITY,1,CASES
1916,11,STEELTON,PA,US,CITY,1,CASES
1916,12,STEELTON,PA,US,CITY,4,CASES
1916,13,STEELTON,PA,US,CITY,1,CASES
1916,14,STEELTON,PA,US,CITY,1,CASES
1916,16,STEELTON,PA,US,CITY,1,CASES
1916,17,STEELTON,PA,US,CITY,2,CASES
1916,18,STEELTON,PA,US,CITY,1,CASES
1916,21,STEELTON,PA,US,CITY,1,CASES
1916,23,STEELTON,PA,US,CITY,2,CASES
1916,24,STEELTON,PA,US,CITY,1,CASES
1916,37,STEELTON,PA,US,CITY,1,CASES
1916,49,STEELTON,PA,US,CITY,1,CASES
1916,52,STEELTON,PA,US,CITY,2,CASES
1917,1,STEELTON,PA,US,CITY,3,CASES
1917,3,STEELTON,PA,US,CITY,4,CASES
1917,6,STEELTON,PA,US,CITY,3,CASES
1917,8,STEELTON,PA,US,CITY,4,CASES
1917,11,STEELTON,PA,US,CITY,1,CASES
1917,12,STEELTON,PA,US,CITY,2,CASES
1917,14,STEELTON,PA,US,CITY,2,CASES
1917,18,STEELTON,PA,US,CITY,1,CASES
1917,21,STEELTON,PA,US,CITY,3,CASES
1917,22,STEELTON,PA,US,CITY,1,CASES
1917,23,STEELTON,PA,US,CITY,4,CASES
1917,34,STEELTON,PA,US,CITY,1,CASES
1917,43,STEELTON,PA,US,CITY,1,CASES
1917,45,STEELTON,PA,US,CITY,1,CASES
1917,46,STEELTON,PA,US,CITY,1,CASES
1917,47,STEELTON,PA,US,CITY,1,CASES
1918,13,STEELTON,PA,US,CITY,3,CASES
1918,15,STEELTON,PA,US,CITY,1,CASES
1918,16,STEELTON,PA,US,CITY,1,CASES
