year,week,loc,state,country,loc_type,number,event
1915,12,STOCKTON,CA,US,CITY,1,CASES
1915,16,STOCKTON,CA,US,CITY,1,CASES
1915,17,STOCKTON,CA,US,CITY,2,CASES
1915,18,STOCKTON,CA,US,CITY,1,CASES
1915,20,STOCKTON,CA,US,CITY,2,CASES
1915,21,STOCKTON,CA,US,CITY,1,CASES
1915,22,STOCKTON,CA,US,CITY,1,CASES
1915,27,STOCKTON,CA,US,CITY,1,CASES
1915,30,STOCKTON,CA,US,CITY,2,CASES
1915,29,STOCKTON,CA,US,CITY,1,CASES
1915,35,STOCKTON,CA,US,CITY,1,CASES
1915,37,STOCKTON,CA,US,CITY,3,CASES
1915,39,STOCKTON,CA,US,CITY,2,CASES
1915,40,STOCKTON,CA,US,CITY,1,CASES
1915,41,STOCKTON,CA,US,CITY,1,CASES
1915,44,STOCKTON,CA,US,CITY,1,CASES
1915,45,STOCKTON,CA,US,CITY,1,CASES
1915,48,STOCKTON,CA,US,CITY,1,CASES
1915,49,STOCKTON,CA,US,CITY,4,CASES
1915,50,STOCKTON,CA,US,CITY,3,CASES
1915,52,STOCKTON,CA,US,CITY,3,CASES
1916,1,STOCKTON,CA,US,CITY,3,CASES
1916,2,STOCKTON,CA,US,CITY,1,CASES
1916,3,STOCKTON,CA,US,CITY,1,CASES
1916,6,STOCKTON,CA,US,CITY,2,CASES
1916,7,STOCKTON,CA,US,CITY,1,CASES
1916,8,STOCKTON,CA,US,CITY,1,CASES
1916,10,STOCKTON,CA,US,CITY,2,CASES
1916,12,STOCKTON,CA,US,CITY,1,CASES
1916,14,STOCKTON,CA,US,CITY,1,CASES
1916,16,STOCKTON,CA,US,CITY,1,CASES
1916,17,STOCKTON,CA,US,CITY,2,CASES
1916,18,STOCKTON,CA,US,CITY,1,CASES
1916,20,STOCKTON,CA,US,CITY,1,CASES
1916,21,STOCKTON,CA,US,CITY,1,CASES
1916,22,STOCKTON,CA,US,CITY,1,CASES
1916,24,STOCKTON,CA,US,CITY,1,CASES
1916,26,STOCKTON,CA,US,CITY,2,CASES
1916,27,STOCKTON,CA,US,CITY,1,CASES
1916,29,STOCKTON,CA,US,CITY,3,CASES
1916,31,STOCKTON,CA,US,CITY,1,CASES
1916,34,STOCKTON,CA,US,CITY,2,CASES
1916,35,STOCKTON,CA,US,CITY,1,CASES
1916,36,STOCKTON,CA,US,CITY,3,CASES
1916,39,STOCKTON,CA,US,CITY,3,CASES
1916,40,STOCKTON,CA,US,CITY,2,CASES
1916,41,STOCKTON,CA,US,CITY,1,CASES
1916,43,STOCKTON,CA,US,CITY,1,CASES
1916,44,STOCKTON,CA,US,CITY,1,CASES
1916,45,STOCKTON,CA,US,CITY,3,CASES
1916,46,STOCKTON,CA,US,CITY,2,CASES
1916,47,STOCKTON,CA,US,CITY,2,CASES
1916,48,STOCKTON,CA,US,CITY,6,CASES
1916,50,STOCKTON,CA,US,CITY,2,CASES
1916,51,STOCKTON,CA,US,CITY,3,CASES
1916,52,STOCKTON,CA,US,CITY,7,CASES
1917,1,STOCKTON,CA,US,CITY,3,CASES
1917,38,STOCKTON,CA,US,CITY,2,CASES
1917,40,STOCKTON,CA,US,CITY,1,CASES
1917,41,STOCKTON,CA,US,CITY,3,CASES
1917,42,STOCKTON,CA,US,CITY,1,CASES
1917,47,STOCKTON,CA,US,CITY,5,CASES
1917,48,STOCKTON,CA,US,CITY,7,CASES
1917,49,STOCKTON,CA,US,CITY,4,CASES
1917,50,STOCKTON,CA,US,CITY,8,CASES
1917,52,STOCKTON,CA,US,CITY,4,CASES
1918,2,STOCKTON,CA,US,CITY,1,CASES
1918,4,STOCKTON,CA,US,CITY,2,CASES
1918,6,STOCKTON,CA,US,CITY,10,CASES
