year,week,loc,state,country,loc_type,number,event
1916,26,STOCKTON,CA,US,CITY,1,CASES
1916,33,STOCKTON,CA,US,CITY,1,CASES
1916,37,STOCKTON,CA,US,CITY,2,CASES
1921,41,STOCKTON,CA,US,CITY,1,CASES
1921,42,STOCKTON,CA,US,CITY,6,CASES
1921,43,STOCKTON,CA,US,CITY,7,CASES
1921,45,STOCKTON,CA,US,CITY,1,CASES
1921,47,STOCKTON,CA,US,CITY,2,CASES
1921,48,STOCKTON,CA,US,CITY,1,CASES
1921,50,STOCKTON,CA,US,CITY,1,CASES
1922,28,STOCKTON,CA,US,CITY,1,CASES
1923,6,STOCKTON,CA,US,CITY,1,CASES
1923,43,STOCKTON,CA,US,CITY,1,CASES
