year,week,loc,state,country,loc_type,number,event
1921,9,SUMMIT,NJ,US,CITY,1,CASES
1921,10,SUMMIT,NJ,US,CITY,1,CASES
1921,11,SUMMIT,NJ,US,CITY,2,CASES
1921,12,SUMMIT,NJ,US,CITY,1,CASES
1921,13,SUMMIT,NJ,US,CITY,1,CASES
1921,14,SUMMIT,NJ,US,CITY,1,CASES
1921,16,SUMMIT,NJ,US,CITY,1,CASES
1921,19,SUMMIT,NJ,US,CITY,2,CASES
1921,21,SUMMIT,NJ,US,CITY,1,CASES
1921,22,SUMMIT,NJ,US,CITY,1,CASES
1921,23,SUMMIT,NJ,US,CITY,1,CASES
1921,28,SUMMIT,NJ,US,CITY,1,CASES
1921,33,SUMMIT,NJ,US,CITY,1,CASES
1921,51,SUMMIT,NJ,US,CITY,1,CASES
1922,3,SUMMIT,NJ,US,CITY,2,CASES
1922,4,SUMMIT,NJ,US,CITY,4,CASES
1922,5,SUMMIT,NJ,US,CITY,2,CASES
1922,6,SUMMIT,NJ,US,CITY,1,CASES
1922,7,SUMMIT,NJ,US,CITY,3,CASES
1922,9,SUMMIT,NJ,US,CITY,1,CASES
1922,11,SUMMIT,NJ,US,CITY,1,CASES
1922,13,SUMMIT,NJ,US,CITY,1,CASES
1922,14,SUMMIT,NJ,US,CITY,2,CASES
1922,16,SUMMIT,NJ,US,CITY,1,CASES
1922,22,SUMMIT,NJ,US,CITY,1,CASES
1922,32,SUMMIT,NJ,US,CITY,1,CASES
1922,35,SUMMIT,NJ,US,CITY,1,CASES
1922,39,SUMMIT,NJ,US,CITY,6,CASES
1922,40,SUMMIT,NJ,US,CITY,1,CASES
1922,42,SUMMIT,NJ,US,CITY,1,CASES
1922,44,SUMMIT,NJ,US,CITY,1,CASES
1922,46,SUMMIT,NJ,US,CITY,1,CASES
1922,52,SUMMIT,NJ,US,CITY,1,CASES
1923,2,SUMMIT,NJ,US,CITY,1,CASES
1923,13,SUMMIT,NJ,US,CITY,1,CASES
1923,15,SUMMIT,NJ,US,CITY,1,CASES
1923,39,SUMMIT,NJ,US,CITY,1,CASES
1923,43,SUMMIT,NJ,US,CITY,1,CASES
