year,week,loc,state,country,loc_type,number,event
1924,2,SUPERIOR,WI,US,CITY,1,CASES
1924,3,SUPERIOR,WI,US,CITY,2,CASES
1924,5,SUPERIOR,WI,US,CITY,1,CASES
1924,6,SUPERIOR,WI,US,CITY,0,CASES
1924,7,SUPERIOR,WI,US,CITY,0,CASES
1924,8,SUPERIOR,WI,US,CITY,0,CASES
1924,9,SUPERIOR,WI,US,CITY,0,CASES
1924,15,SUPERIOR,WI,US,CITY,0,CASES
1924,16,SUPERIOR,WI,US,CITY,1,CASES
1924,17,SUPERIOR,WI,US,CITY,3,CASES
1924,19,SUPERIOR,WI,US,CITY,1,CASES
1924,22,SUPERIOR,WI,US,CITY,2,CASES
1924,23,SUPERIOR,WI,US,CITY,0,CASES
1924,24,SUPERIOR,WI,US,CITY,0,CASES
1924,25,SUPERIOR,WI,US,CITY,2,CASES
1924,26,SUPERIOR,WI,US,CITY,0,CASES
1924,28,SUPERIOR,WI,US,CITY,0,CASES
1924,29,SUPERIOR,WI,US,CITY,1,CASES
1924,30,SUPERIOR,WI,US,CITY,0,CASES
1924,31,SUPERIOR,WI,US,CITY,0,CASES
1924,32,SUPERIOR,WI,US,CITY,0,CASES
1924,33,SUPERIOR,WI,US,CITY,0,CASES
1924,34,SUPERIOR,WI,US,CITY,0,CASES
1924,35,SUPERIOR,WI,US,CITY,0,CASES
1924,36,SUPERIOR,WI,US,CITY,0,CASES
1924,37,SUPERIOR,WI,US,CITY,0,CASES
1924,39,SUPERIOR,WI,US,CITY,0,CASES
1924,40,SUPERIOR,WI,US,CITY,0,CASES
1924,41,SUPERIOR,WI,US,CITY,0,CASES
1924,42,SUPERIOR,WI,US,CITY,0,CASES
1924,43,SUPERIOR,WI,US,CITY,1,CASES
1924,44,SUPERIOR,WI,US,CITY,0,CASES
1924,45,SUPERIOR,WI,US,CITY,0,CASES
1924,46,SUPERIOR,WI,US,CITY,1,CASES
1924,47,SUPERIOR,WI,US,CITY,0,CASES
1924,48,SUPERIOR,WI,US,CITY,0,CASES
1924,49,SUPERIOR,WI,US,CITY,1,CASES
1924,50,SUPERIOR,WI,US,CITY,0,CASES
1924,51,SUPERIOR,WI,US,CITY,2,CASES
1924,52,SUPERIOR,WI,US,CITY,0,CASES
1924,53,SUPERIOR,WI,US,CITY,0,CASES
1925,1,SUPERIOR,WI,US,CITY,1,CASES
1925,2,SUPERIOR,WI,US,CITY,1,CASES
1925,3,SUPERIOR,WI,US,CITY,0,CASES
1925,4,SUPERIOR,WI,US,CITY,1,CASES
1925,5,SUPERIOR,WI,US,CITY,3,CASES
1925,6,SUPERIOR,WI,US,CITY,3,CASES
1925,7,SUPERIOR,WI,US,CITY,15,CASES
1925,8,SUPERIOR,WI,US,CITY,2,CASES
1925,9,SUPERIOR,WI,US,CITY,7,CASES
