year,week,loc,state,country,loc_type,number,event
1916,31,SYRACUSE,NY,US,CITY,9,CASES
1916,33,SYRACUSE,NY,US,CITY,23,CASES
1916,36,SYRACUSE,NY,US,CITY,49,CASES
1916,37,SYRACUSE,NY,US,CITY,29,CASES
1916,38,SYRACUSE,NY,US,CITY,20,CASES
1916,39,SYRACUSE,NY,US,CITY,12,CASES
1916,40,SYRACUSE,NY,US,CITY,11,CASES
1916,41,SYRACUSE,NY,US,CITY,5,CASES
1916,43,SYRACUSE,NY,US,CITY,4,CASES
1916,45,SYRACUSE,NY,US,CITY,2,CASES
1917,30,SYRACUSE,NY,US,CITY,1,CASES
1917,31,SYRACUSE,NY,US,CITY,1,CASES
1917,40,SYRACUSE,NY,US,CITY,1,CASES
1920,49,SYRACUSE,NY,US,CITY,1,CASES
1921,26,SYRACUSE,NY,US,CITY,1,CASES
1921,38,SYRACUSE,NY,US,CITY,3,CASES
1921,39,SYRACUSE,NY,US,CITY,2,CASES
1921,40,SYRACUSE,NY,US,CITY,6,CASES
1921,41,SYRACUSE,NY,US,CITY,3,CASES
1922,32,SYRACUSE,NY,US,CITY,2,CASES
1922,33,SYRACUSE,NY,US,CITY,4,CASES
1922,34,SYRACUSE,NY,US,CITY,2,CASES
1922,35,SYRACUSE,NY,US,CITY,4,CASES
1922,36,SYRACUSE,NY,US,CITY,7,CASES
1922,37,SYRACUSE,NY,US,CITY,7,CASES
1922,38,SYRACUSE,NY,US,CITY,4,CASES
1922,40,SYRACUSE,NY,US,CITY,3,CASES
1922,41,SYRACUSE,NY,US,CITY,1,CASES
1922,42,SYRACUSE,NY,US,CITY,3,CASES
1922,44,SYRACUSE,NY,US,CITY,1,CASES
1922,47,SYRACUSE,NY,US,CITY,1,CASES
1922,48,SYRACUSE,NY,US,CITY,1,CASES
1922,49,SYRACUSE,NY,US,CITY,1,CASES
1923,32,SYRACUSE,NY,US,CITY,3,CASES
1923,36,SYRACUSE,NY,US,CITY,2,CASES
1923,39,SYRACUSE,NY,US,CITY,1,CASES
1923,40,SYRACUSE,NY,US,CITY,1,CASES
1923,47,SYRACUSE,NY,US,CITY,1,CASES
1924,23,SYRACUSE,NY,US,CITY,2,CASES
1924,24,SYRACUSE,NY,US,CITY,1,CASES
1924,25,SYRACUSE,NY,US,CITY,4,CASES
1924,26,SYRACUSE,NY,US,CITY,1,CASES
1924,27,SYRACUSE,NY,US,CITY,3,CASES
1924,28,SYRACUSE,NY,US,CITY,3,CASES
1924,29,SYRACUSE,NY,US,CITY,3,CASES
1924,30,SYRACUSE,NY,US,CITY,21,CASES
1924,31,SYRACUSE,NY,US,CITY,15,CASES
1924,32,SYRACUSE,NY,US,CITY,14,CASES
1924,33,SYRACUSE,NY,US,CITY,21,CASES
1924,34,SYRACUSE,NY,US,CITY,12,CASES
1924,35,SYRACUSE,NY,US,CITY,10,CASES
1924,36,SYRACUSE,NY,US,CITY,7,CASES
1924,37,SYRACUSE,NY,US,CITY,3,CASES
1924,38,SYRACUSE,NY,US,CITY,3,CASES
1924,39,SYRACUSE,NY,US,CITY,4,CASES
1924,40,SYRACUSE,NY,US,CITY,2,CASES
1924,41,SYRACUSE,NY,US,CITY,1,CASES
1924,42,SYRACUSE,NY,US,CITY,3,CASES
1924,43,SYRACUSE,NY,US,CITY,1,CASES
1924,53,SYRACUSE,NY,US,CITY,0,CASES
1925,2,SYRACUSE,NY,US,CITY,0,CASES
1925,5,SYRACUSE,NY,US,CITY,0,CASES
1925,8,SYRACUSE,NY,US,CITY,0,CASES
1925,24,SYRACUSE,NY,US,CITY,1,CASES
1925,25,SYRACUSE,NY,US,CITY,0,CASES
1925,30,SYRACUSE,NY,US,CITY,2,CASES
1925,37,SYRACUSE,NY,US,CITY,1,CASES
1925,38,SYRACUSE,NY,US,CITY,1,CASES
1925,47,SYRACUSE,NY,US,CITY,0,CASES
1926,28,SYRACUSE,NY,US,CITY,1,CASES
1926,29,SYRACUSE,NY,US,CITY,7,CASES
