year,week,loc,state,country,loc_type,number,event
1914,32,TACOMA,WA,US,CITY,1,CASES
1915,20,TACOMA,WA,US,CITY,1,CASES
1915,31,TACOMA,WA,US,CITY,1,CASES
1918,10,TACOMA,WA,US,CITY,1,CASES
1918,11,TACOMA,WA,US,CITY,1,CASES
1918,13,TACOMA,WA,US,CITY,1,CASES
1918,15,TACOMA,WA,US,CITY,1,CASES
1918,17,TACOMA,WA,US,CITY,1,CASES
1918,20,TACOMA,WA,US,CITY,1,CASES
1918,22,TACOMA,WA,US,CITY,1,CASES
1918,29,TACOMA,WA,US,CITY,1,CASES
1918,39,TACOMA,WA,US,CITY,1,CASES
1918,41,TACOMA,WA,US,CITY,1,CASES
1919,3,TACOMA,WA,US,CITY,1,CASES
1919,10,TACOMA,WA,US,CITY,1,CASES
1919,14,TACOMA,WA,US,CITY,1,CASES
1921,50,TACOMA,WA,US,CITY,1,CASES
1921,52,TACOMA,WA,US,CITY,1,CASES
1923,50,TACOMA,WA,US,CITY,2,CASES
1924,37,TACOMA,WA,US,CITY,0,CASES
1924,39,TACOMA,WA,US,CITY,0,CASES
1924,40,TACOMA,WA,US,CITY,0,CASES
1924,41,TACOMA,WA,US,CITY,0,CASES
1924,42,TACOMA,WA,US,CITY,0,CASES
1924,43,TACOMA,WA,US,CITY,0,CASES
1924,44,TACOMA,WA,US,CITY,0,CASES
1924,45,TACOMA,WA,US,CITY,0,CASES
1924,47,TACOMA,WA,US,CITY,0,CASES
1924,49,TACOMA,WA,US,CITY,0,CASES
1924,50,TACOMA,WA,US,CITY,0,CASES
1924,51,TACOMA,WA,US,CITY,0,CASES
1925,1,TACOMA,WA,US,CITY,0,CASES
1925,18,TACOMA,WA,US,CITY,1,CASES
1925,20,TACOMA,WA,US,CITY,3,CASES
1925,22,TACOMA,WA,US,CITY,1,CASES
1925,24,TACOMA,WA,US,CITY,1,CASES
1925,32,TACOMA,WA,US,CITY,0,CASES
1925,33,TACOMA,WA,US,CITY,0,CASES
1925,34,TACOMA,WA,US,CITY,0,CASES
1925,35,TACOMA,WA,US,CITY,1,CASES
1925,36,TACOMA,WA,US,CITY,0,CASES
1925,39,TACOMA,WA,US,CITY,0,CASES
1925,40,TACOMA,WA,US,CITY,0,CASES
1925,41,TACOMA,WA,US,CITY,0,CASES
1925,42,TACOMA,WA,US,CITY,0,CASES
1925,43,TACOMA,WA,US,CITY,0,CASES
1925,44,TACOMA,WA,US,CITY,0,CASES
1925,45,TACOMA,WA,US,CITY,1,CASES
1925,46,TACOMA,WA,US,CITY,1,CASES
1925,48,TACOMA,WA,US,CITY,1,CASES
1925,49,TACOMA,WA,US,CITY,0,CASES
1925,52,TACOMA,WA,US,CITY,1,CASES
1926,5,TACOMA,WA,US,CITY,1,CASES
1926,10,TACOMA,WA,US,CITY,1,CASES
1926,13,TACOMA,WA,US,CITY,1,CASES
1926,14,TACOMA,WA,US,CITY,1,CASES
1926,19,TACOMA,WA,US,CITY,1,CASES
1926,27,TACOMA,WA,US,CITY,1,CASES
1926,29,TACOMA,WA,US,CITY,0,CASES
1927,1,TACOMA,WA,US,CITY,2,CASES
1927,3,TACOMA,WA,US,CITY,1,CASES
1927,4,TACOMA,WA,US,CITY,2,CASES
1927,6,TACOMA,WA,US,CITY,1,CASES
1927,7,TACOMA,WA,US,CITY,1,CASES
1927,12,TACOMA,WA,US,CITY,0,CASES
1927,16,TACOMA,WA,US,CITY,0,CASES
1927,35,TACOMA,WA,US,CITY,0,CASES
1928,15,TACOMA,WA,US,CITY,0,CASES
