year,week,loc,state,country,loc_type,number,event
1921,10,TAMAQUA,PA,US,CITY,1,CASES
1921,12,TAMAQUA,PA,US,CITY,2,CASES
1921,17,TAMAQUA,PA,US,CITY,2,CASES
1921,19,TAMAQUA,PA,US,CITY,1,CASES
1921,28,TAMAQUA,PA,US,CITY,1,CASES
1921,51,TAMAQUA,PA,US,CITY,1,CASES
1922,2,TAMAQUA,PA,US,CITY,3,CASES
1922,6,TAMAQUA,PA,US,CITY,2,CASES
1922,8,TAMAQUA,PA,US,CITY,9,CASES
1922,9,TAMAQUA,PA,US,CITY,7,CASES
1922,10,TAMAQUA,PA,US,CITY,7,CASES
1922,11,TAMAQUA,PA,US,CITY,3,CASES
1922,12,TAMAQUA,PA,US,CITY,5,CASES
1922,13,TAMAQUA,PA,US,CITY,10,CASES
1922,14,TAMAQUA,PA,US,CITY,4,CASES
1922,15,TAMAQUA,PA,US,CITY,14,CASES
1922,16,TAMAQUA,PA,US,CITY,4,CASES
1922,17,TAMAQUA,PA,US,CITY,9,CASES
1922,18,TAMAQUA,PA,US,CITY,7,CASES
1922,19,TAMAQUA,PA,US,CITY,7,CASES
1922,21,TAMAQUA,PA,US,CITY,5,CASES
1922,22,TAMAQUA,PA,US,CITY,15,CASES
1922,24,TAMAQUA,PA,US,CITY,24,CASES
1922,25,TAMAQUA,PA,US,CITY,3,CASES
1922,27,TAMAQUA,PA,US,CITY,2,CASES
1922,28,TAMAQUA,PA,US,CITY,5,CASES
1922,29,TAMAQUA,PA,US,CITY,1,CASES
1922,32,TAMAQUA,PA,US,CITY,2,CASES
1922,45,TAMAQUA,PA,US,CITY,1,CASES
1922,47,TAMAQUA,PA,US,CITY,1,CASES
1922,48,TAMAQUA,PA,US,CITY,1,CASES
1922,52,TAMAQUA,PA,US,CITY,2,CASES
1923,1,TAMAQUA,PA,US,CITY,6,CASES
1923,2,TAMAQUA,PA,US,CITY,8,CASES
1923,3,TAMAQUA,PA,US,CITY,12,CASES
1923,4,TAMAQUA,PA,US,CITY,13,CASES
1923,5,TAMAQUA,PA,US,CITY,5,CASES
1923,6,TAMAQUA,PA,US,CITY,13,CASES
1923,7,TAMAQUA,PA,US,CITY,10,CASES
1923,8,TAMAQUA,PA,US,CITY,5,CASES
1923,9,TAMAQUA,PA,US,CITY,16,CASES
1923,11,TAMAQUA,PA,US,CITY,6,CASES
1923,12,TAMAQUA,PA,US,CITY,7,CASES
1923,13,TAMAQUA,PA,US,CITY,6,CASES
1923,14,TAMAQUA,PA,US,CITY,2,CASES
1923,15,TAMAQUA,PA,US,CITY,7,CASES
1923,16,TAMAQUA,PA,US,CITY,6,CASES
1923,18,TAMAQUA,PA,US,CITY,7,CASES
1923,19,TAMAQUA,PA,US,CITY,12,CASES
1923,20,TAMAQUA,PA,US,CITY,12,CASES
1923,21,TAMAQUA,PA,US,CITY,10,CASES
1923,23,TAMAQUA,PA,US,CITY,10,CASES
1923,24,TAMAQUA,PA,US,CITY,3,CASES
1923,25,TAMAQUA,PA,US,CITY,1,CASES
1923,26,TAMAQUA,PA,US,CITY,6,CASES
1923,27,TAMAQUA,PA,US,CITY,3,CASES
1923,29,TAMAQUA,PA,US,CITY,5,CASES
1923,36,TAMAQUA,PA,US,CITY,2,CASES
1923,37,TAMAQUA,PA,US,CITY,1,CASES
1923,38,TAMAQUA,PA,US,CITY,2,CASES
1923,39,TAMAQUA,PA,US,CITY,3,CASES
1923,40,TAMAQUA,PA,US,CITY,6,CASES
1923,42,TAMAQUA,PA,US,CITY,2,CASES
1923,49,TAMAQUA,PA,US,CITY,1,CASES
1923,52,TAMAQUA,PA,US,CITY,1,CASES
