year,week,loc,state,country,loc_type,number,event
1921,47,TAMPA,FL,US,CITY,4,CASES
1921,52,TAMPA,FL,US,CITY,2,CASES
1922,3,TAMPA,FL,US,CITY,2,CASES
1922,10,TAMPA,FL,US,CITY,1,CASES
1922,17,TAMPA,FL,US,CITY,2,CASES
1922,19,TAMPA,FL,US,CITY,3,CASES
1922,24,TAMPA,FL,US,CITY,1,CASES
1922,25,TAMPA,FL,US,CITY,2,CASES
1922,29,TAMPA,FL,US,CITY,1,CASES
1922,30,TAMPA,FL,US,CITY,2,CASES
1922,39,TAMPA,FL,US,CITY,1,CASES
1923,3,TAMPA,FL,US,CITY,2,CASES
1923,5,TAMPA,FL,US,CITY,1,CASES
1923,23,TAMPA,FL,US,CITY,1,CASES
1923,25,TAMPA,FL,US,CITY,1,CASES
1923,26,TAMPA,FL,US,CITY,1,CASES
1923,45,TAMPA,FL,US,CITY,1,CASES
