year,week,loc,state,country,loc_type,number,event
1907,47,TAUNTON,MA,US,CITY,2,CASES
1907,50,TAUNTON,MA,US,CITY,2,CASES
1907,52,TAUNTON,MA,US,CITY,2,CASES
1908,2,TAUNTON,MA,US,CITY,3,CASES
1908,4,TAUNTON,MA,US,CITY,3,CASES
1908,5,TAUNTON,MA,US,CITY,4,CASES
1908,10,TAUNTON,MA,US,CITY,2,CASES
1908,12,TAUNTON,MA,US,CITY,4,CASES
1908,13,TAUNTON,MA,US,CITY,3,CASES
1908,15,TAUNTON,MA,US,CITY,1,CASES
1908,16,TAUNTON,MA,US,CITY,2,CASES
1908,17,TAUNTON,MA,US,CITY,1,CASES
1908,19,TAUNTON,MA,US,CITY,3,CASES
1908,20,TAUNTON,MA,US,CITY,8,CASES
1908,21,TAUNTON,MA,US,CITY,4,CASES
1908,22,TAUNTON,MA,US,CITY,2,CASES
1908,23,TAUNTON,MA,US,CITY,1,CASES
1908,26,TAUNTON,MA,US,CITY,2,CASES
1909,8,TAUNTON,MA,US,CITY,1,CASES
1909,14,TAUNTON,MA,US,CITY,1,CASES
1909,15,TAUNTON,MA,US,CITY,2,CASES
1909,16,TAUNTON,MA,US,CITY,1,CASES
1909,19,TAUNTON,MA,US,CITY,7,CASES
1909,20,TAUNTON,MA,US,CITY,9,CASES
1909,21,TAUNTON,MA,US,CITY,28,CASES
1909,22,TAUNTON,MA,US,CITY,15,CASES
1909,23,TAUNTON,MA,US,CITY,19,CASES
1909,24,TAUNTON,MA,US,CITY,3,CASES
1909,25,TAUNTON,MA,US,CITY,7,CASES
1909,26,TAUNTON,MA,US,CITY,9,CASES
1909,27,TAUNTON,MA,US,CITY,3,CASES
1909,28,TAUNTON,MA,US,CITY,3,CASES
1909,29,TAUNTON,MA,US,CITY,3,CASES
1909,52,TAUNTON,MA,US,CITY,8,CASES
1910,1,TAUNTON,MA,US,CITY,2,CASES
1910,2,TAUNTON,MA,US,CITY,8,CASES
1910,3,TAUNTON,MA,US,CITY,11,CASES
1910,4,TAUNTON,MA,US,CITY,10,CASES
1910,5,TAUNTON,MA,US,CITY,4,CASES
1910,6,TAUNTON,MA,US,CITY,4,CASES
1910,7,TAUNTON,MA,US,CITY,7,CASES
1910,8,TAUNTON,MA,US,CITY,2,CASES
1910,9,TAUNTON,MA,US,CITY,10,CASES
1910,10,TAUNTON,MA,US,CITY,5,CASES
1910,11,TAUNTON,MA,US,CITY,2,CASES
1910,12,TAUNTON,MA,US,CITY,3,CASES
1910,13,TAUNTON,MA,US,CITY,6,CASES
1910,14,TAUNTON,MA,US,CITY,10,CASES
1910,15,TAUNTON,MA,US,CITY,5,CASES
1910,16,TAUNTON,MA,US,CITY,7,CASES
